concert_id,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional,bt_lang
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,en
nf_ct_128,But the album version doesnt have the drums :crying_face:,,X,X,,,X,en
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,en
air_ct_524,:face_with_tears_of_joy:,X,,,,,X,en
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X,en
air_ct_160,i'm in tears !! so amazing <3,X,,,,,X,en
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,en
moby_ct_662,:eyes-purple-crying:,X,,,,,X,en
moby_ct_351,ooohh :violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X,en
moby_ct_346,My temperature rises from the music :smiling_cat_with_heart_eyes:,X,,x,,,X,en
moby_ct_486,have chills,X,,,,,X,en
moby_ct_261,Alright. Let them tears flow,X,,,,,X,en
moby_ct_271,chills and thrills,X,,,,,X,en
air_ct_39,definitely goosebumps from the start,X,,,,,X,en
moby_ct_268,Tears,X,,,,,X,en
nf_ct_81,Give me your layered shit synthdaddy :sweat_droplets::drooling_face:,X,,x,,,X,en
moby_ct_74,I have chills,X,,,,,X,en
moby_ct_333,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,en
moby_ct_576,:crying_face:,,,,,,X,en
moby_ct_570,==References====External links==*Official website,X,,,,,X,de
nf_ct_128,But the album version doesn't have the drums :criying_face:,,X,X,,,X,de
moby_ct_582,==References====External links==*Official website,X,,,,,X,de
air_ct_524,:face_with_tears_of_joy:,X,,,,,X,de
air_ct_424,:Flashlight: :grinning_face_with_sweat:,X,,,,,X,de
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X,de
moby_ct_332,==References====External links==*Official website,X,,,,,X,de
moby_ct_662,:Eye-lila-Crying:,X,,,,,X,de
moby_ct_351,*: Musical notes::Musical notes::Musical results::Spokesman_high volume::Dizzy:,X,,x,,,X,de
moby_ct_346,My temperature rises from the music :smiling_cat_with_heart_eyes:,X,,x,,,X,de
moby_ct_486,have chills,X,,,,,X,de
moby_ct_261,Let the tears flow.,X,,,,,X,de
moby_ct_271,Chills and thrills,X,,,,,X,de
air_ct_39,Definitely goose bumps from the beginning,X,,,,,X,de
moby_ct_268,Tears,X,,,,,X,de
nf_ct_81,Give me your layered shit synthdaddy :sweat_droplets::drooling_face:,X,,x,,,X,de
