concert_id,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional
moby_ct_433,"such a delight to watch. I've known Moby for decades, first time watching him perform... such a delight. thanks Arte for this",X,,,,,
air_ct_538,They are amazing!!!,X,,,,,
air_ct_417,@ARTE Concert thx again for sharing :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_17,A full Sportpaleis will hold 17000,,,,,,
moby_ct_217,The Prodigy,,,,,,
air_ct_423,You guys and gals in the comments are great give yourselves a round of applause. Thanks for making this even more fun,X,,,,,
nf_ct_95,"this is just wonderful. danke, thx and merci nils and arte.",X,,,,,
air_ct_427,This is amazing!!!! :weary_cat::smiling_cat_with_heart_eyes:,X,,,,,
moby_ct_320,Also the sound of the drums. Perfect Mix!,X,,X,,,
moby_ct_347,Crazy how many songs I know from Moby without even being an hardcore fan haha,X,,X,,,
moby_ct_671,boy you're the one..,,,,,,
air_ct_516,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,X,,,,,
moby_ct_466,:musical_notes::musical_note::sparkles::sparkles:,X,,,,,
moby_ct_666,thanks arte,,,,,,
air_ct_17,greetings from Chileeee ,,,,,,
moby_ct_237,Plz play praise you :thumbs_up::thumbs_up::thumbs_up:,X,,X,,X,
moby_ct_472,:smiling_face_with_sunglasses::partying_face::purple_heart::purple_heart::purple_heart:,X,,,,,
air_ct_462,:japanese_castle::japanese_dolls::cherry_blossom:,,,,X,,
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_633,"moby did a lot of drugs when he wrote his songs he once told. actually most music artists did, but moby seems to have gotten the right dose of the right stuff :rocket-red-countdown-liftoff:",X,,,X,,
air_ct_553,Needless to say I subscribed ,,,,,,
moby_ct_444,@Lyli J the restaurant is long gone.,,,,,,
air_ct_512,Thanks for not cutting out a song :winking_face: @ARTE Concert ,,,X,,,
moby_ct_663,25 years,,,,,,
moby_ct_473,:elbowcough::elbowcough:,,,,,X,
air_ct_398,:nail_polish:,X,,,,,
air_ct_522,said lost in translation and I was @ARTE Concert lol,,,,X,,
moby_ct_227,:face_screaming_in_fear:,,,,,X,
moby_ct_612,:bomb::bomb::bomb::bomb:,X,,,,,
air_ct_243,"grab her hand and say hi,,, dance with her, hug her, love her and no matter never nver forget HER",X,,X,,,
air_ct_88,sexy boy is fantastic,X,,X,,,
nf_ct_50,Nice vintage gear & sound,X,,X,,,
moby_ct_474,🙏🏼,X,,,,X,
moby_ct_390,"what a voice, full of charisma!",X,,X,,,
nf_ct_128,But the album version doesnt have the drums :crying_face:,,X,X,,,X
moby_ct_188,We are indeed made of stars,,,,,,
air_ct_312,sexy cowboy,X,,,,,
