concert_id,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional
nf_ct_128,But the album version doesnt have the drums :crying_face:,,X,X,,,X
moby_ct_195,this is the most boring ive ever heard,,X,x,,,
moby_ct_171,tf is this,,X,,,,
air_ct_505,scary,,X,,,,
moby_ct_458,nah whats this version xd,,X,x,,,
moby_ct_20,"@ARTE Concert Yes, I've seen lots of shows which were great! This one isn't sadly.",,X,,X,,
nf_ct_150,"i can't tell what is first or second, it's not linear to me. it's at least omni-dimensional. fcs up time, you can live eternities with each nanosecond, from all directions, running from any pattern.",,X,,,,
air_ct_151,I REMEMBER ENJOYING LIFE before everyone had a Camara,,X,x,,,
moby_ct_264,i would fall asleep if i was there,,X,,,,
moby_ct_446,:(,,X,,,,
moby_ct_19,This sounds absolutely terrible and empty,,X,x,,,
nf_ct_72,he is using a couple of line array and gigant subwoofers as monitors wow thats too much,,X,x,,,
air_ct_134,EVER TRACK IS A REPEAT OF A 4 X 4 SCALE SINCE 1775,,X,x,,,
moby_ct_339,oh grow up Russell,,X,,,,
nf_ct_176,@ARTE Concert he said the music is shit... so tell that to him,,X,,,,
nf_ct_179,"Alessio needs attention, poor little thing, bless you! :folded_hands:",,X,,,X,
air_ct_355,that arturia is too loud,,X,x,,,
air_ct_81,My fav track by them is sadly not on this album :(,,X,x,X,,
nf_ct_187,":astonished_face: ., ""shit"" ¿ the lad needs to get a vocabulary that's a bit more descriptive! As to the texture and colours that the ""shit"" may evoke.,:winking_face::winking_face_with_tongue:",,x,,,,
nf_ct_128,But the album version doesn't have the drums :criying_face:,,X,X,,,X
moby_ct_195,this is the most boring ive ever heard,,X,x,,,
moby_ct_171,tf is the,,X,,,,
air_ct_505,Awesome,,X,,,,
moby_ct_458,near what is this version xd,,X,x,,,
moby_ct_20,"@ARTE Concert Yes, I've seen a lot of great shows! This isn't sad.",,X,,X,,
nf_ct_150,"I don't know what the first or second is, it's not linear for me. it's at least omni-dimensional. fcs up time, you can live eternities with every nanosecond, from all directions to run from every pattern.",,X,,,,
air_ct_151,I remember life before everyone had a Camara.,,X,x,,,
moby_ct_264,I'd fall asleep if I were there,,X,,,,
moby_ct_446,:(,,X,,,,
moby_ct_19,That sounds absolutely terrible and empty,,X,x,,,
nf_ct_72,he uses a few line arrays and gigant subwoofers as monitors wow thats too much,,X,x,,,
air_ct_134,EVER TRACK IS A CONSTITUTION OF A 4 X 4 SCALE SINCE 1775,,X,x,,,
moby_ct_339,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh!",,X,,,,
nf_ct_176,@ARTE Concert he said the music sucks... so tell him.,,X,,,,
nf_ct_179,"Alessio needs attention, poor little thing, bless you! :folded_hands:",,X,,,X,
air_ct_355,that Arturia is too loud,,X,x,,,
air_ct_81,My Fav track of them is unfortunately not on this album :(,,X,x,X,,
nf_ct_187,":astonished_face:., ""shit"" ¿ the boy needs a vocabulary that is a bit more descriptive! As for the texture and colors that the ""shit"" can produce,:winking_face::winking_face_with_tongue:",,x,,,,
nf_ct_128,But the version of the album does not have the battery :crying_face:,,X,X,,,X
