comment_id,username,message
ct_1,KinGiz,is it live a concert stream?
ct_5,Roland Jeske,Hello everybody! Lets enjoy the show!
ct_6,guido bustamante wakamatsu,:eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape:
ct_7,Petra Benešová,Hello 🙌🏻:partying_face: woow 🙌🏻🙌🏻
ct_11,Alexander Fleener,All profits for play25 shows going to charity 
ct_13,Alexander Dewispelaere,The concert got great reviews in the Belgian press.
ct_16,Eric,"Well the stuff you can hear sounds good, except the stuff Moby is doing..."
ct_18,Tim Weibel,agree lol 
ct_19,Aleksandr,Nice! :smiling_face_with_heart_eyes:
ct_20,Andrey Deruga,Thanks for the surprise. Very cool!!
ct_22,T,👏🏻👏🏻👏🏻
ct_24,Erik Van Muylem,still happy we can enjoy some of the concert
ct_25,Alexander Dewispelaere,A trip down memory lane for most of the ppl there I suppose
ct_26,Petra Benešová,👏🏻👏🏻👏🏻
ct_27,Lyli J,well he be playing lots of stuff :)
ct_30,AntmanJr,he doesn't have tattoos anymore?
ct_32,Alexander Dewispelaere,A full Sportpaleis will hold 17000 
ct_33,Petra Benešová,Great 🙌🏻🙌🏻energy :smiling_face_with_hearts:
ct_34,Eric,This sounds absolutely terrible and empty
ct_41,Eric,"@ARTE Concert Yes, I've seen lots of shows which were great! This one isn't sadly."
ct_43,AntmanJr,Eric does hate watching not good for your brain
ct_44,el ricou,whick track is it plz
ct_46,quesaquòfil2b,:star_struck: Merci Arte Concert !! :smiling_face_with_hearts::face_blowing_a_kiss::face_blowing_a_kiss:
ct_47,AntmanJr,it's go
ct_48,Eric,"Haha sorry I love Moby and the album Play, but this is just not what I was hoping for at all. Bye!"
ct_53,Bernhard Wolf,:smiling_face_with_hearts:
ct_55,Petra Benešová,💃🏻💃🏻💃🏻🙌🏻🙌🏻
ct_59,T,Thanks for broadcasting 
ct_60,Alexander Dewispelaere,@ARTE Concert thanks for sharing this show
ct_62,jiggrinder,1. My Weakness2. In My Heart3.Go
ct_65,Ani Yeghoyan,inch es ba nayum
ct_66,Diego Olivera,CRACK!!
ct_69,KotlinTest,Dance everybody!
ct_81,Carell Cassey,:hand-pink-waving::hand-pink-waving::hand-pink-waving:
ct_85,T,:face_screaming_in_fear::fire:
ct_88,Sunny,:hand-pink-waving::person-turqouise-waving:
ct_89,Peggy Heynen,I was there. What a night! :party_popper: Soooo good!!! :star_struck::musical_notes::collision::musical_notes::smiling_face_with_heart_eyes:
ct_93,bruno michaux,:red_heart: :red_heart: 
ct_94,Sporty Otter Pop (René Lilly),SO excited! It's finally Moby Nite
ct_95,Denys Marunevych,:face-blue-smiling:
ct_96,WARLOCK,ROCK THE BODIES
ct_98,Sporty Otter Pop (René Lilly),"Been looking forward to watching this, since I saw the event go up!"
ct_100,Sporty Otter Pop (René Lilly),Evening Arte Concert!
ct_101,jiggrinder,5. Flower / Find My Baby
ct_103,Sporty Otter Pop (René Lilly),This guy i just special!!!!
ct_105,Sporty Otter Pop (René Lilly),"I guess I am kinda traditional, I love ""Praise You"" best "
ct_107,Julieta Pusino,omg this was filmed on my birthday :grinning_face: 
ct_114,Steeve ORHANT,Merci arte :revolving_hearts::revolving_hearts::face_blowing_a_kiss::revolving_hearts::revolving_hearts::face_blowing_a_kiss::revolving_hearts::face_blowing_a_kiss::revolving_hearts:
ct_115,Saggy🧑‍🔬,love u all:red_heart:
ct_116,Jannis JaG,"Unfortunately he didn't play ""That's when I Reach for my Revolver""."
ct_118,Sporty Otter Pop (René Lilly),12 points from Germany tonight
ct_121,Sporty Otter Pop (René Lilly),It's great that people are here from everywhere-Global Arte Community in Musica
ct_124,F L,Woaw :slightly_smiling_face: 
ct_125,Saggy🧑‍🔬,:green_heart::white_heart::red_heart:
ct_127,ThePouffy,Good music has no frontier !
ct_130,Sporty Otter Pop (René Lilly),These singers are dang good
ct_132,Anne Zemmour,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_136,Saggy🧑‍🔬,the Best day of my year
ct_137,yuribass,greetings from Ccs-Vzla
ct_138,F L,:partying_face:
ct_139,Saggy🧑‍🔬,hola Moby :face_blowing_a_kiss:
ct_141,AntmanJr,Belgium is the best place
ct_142,Saggy🧑‍🔬,te amo :red_heart:
ct_143,Sporty Otter Pop (René Lilly),He's so no frills! Just a guy! LOVE you Moby for that
ct_144,Sporty Otter Pop (René Lilly),YES-having a wonderful time so far
ct_146,Carell Cassey,:face-fuchsia-wide-eyes:
ct_151,Julian Reverse,Nadia :smiling_face_with_hearts::red_heart::red_heart::red_heart::red_heart:
ct_152,Sascha Seyer,👍🏻👍🏻
ct_153,Dmytro Rybak,:blue_heart:
ct_154,Dmytro Rybak,:yellow_heart:
ct_155,T,Sascha :winking_face:
ct_156,Saggy🧑‍🔬,:fire:
ct_157,Sporty Otter Pop (René Lilly),I have chills
ct_159,Sporty Otter Pop (René Lilly),so lovely I will cry
ct_160,Thor Hamma,I love Moby and i love the guys of @ARTE Concert for their great performances - THANK YOU - merci! :yougotthis:
ct_161,Pinguin Mutti,"i first heard him, with his awesome punk cd, so deep, but the depth kept all within his music"
ct_162,Dmytro Rybak,:blue_heart:
ct_163,Dmytro Rybak,:yellow_heart:
ct_164,Sporty Otter Pop (René Lilly),anyone have a tissue?
ct_168,Julian Reverse,"@ARTE Concert Choklate, Nadia Christine Duggin, Julie Mintz, Lady Blackbird are THE BEST Vovalists on this fcking Planet!"
ct_170,Sporty Otter Pop (René Lilly),"Thank you for their names, Julian! I didn't know them"
ct_172,BrigadierSchmitt,"@ARTE Concert you make everytime a great job, thank you for the Hellfest as well :slightly_smiling_face: "
ct_173,TheSorrow2007,:face-red-heart-shape:
ct_176,SerGio an Artist,@Dmytro Rybak :raised_fist::raised_fist::raised_fist::yellow_circle::blue_circle:
ct_177,Pinguin Mutti,"@BlackOwl @ARTE Concert yeah, everyone gets many delicious moments in music! "
ct_180,Gonzalo Giuliano,Argentina :red_heart:
ct_181,Gustavo ,ME SEGURA QUE EU VOU CAIR :sneezing_face::sneezing_face::sneezing_face::sneezing_face:
ct_184,Julian Reverse,Nadia again :red_heart::red_heart::red_heart::fearful_face::loudly_crying_face::smiling_face_with_heart_eyes:
ct_186,Sporty Otter Pop (René Lilly),Ignoring Er C. Will not be provoked in such a peaceful place
ct_188,BrigadierSchmitt,@Pinguin Mutti sure :red_heart: 
ct_192,Sporty Otter Pop (René Lilly),Totally Block works fine 
ct_194,AntmanJr,@Er C You look bad :grinning_face_with_sweat:
ct_195,Daft Frank,Stanger Things :red_heart:
ct_196,Kris Russel,I was there on the front row. It was amazing!
ct_197,Dmytro Rybak,:blue_heart:
ct_198,Dmytro Rybak,:yellow_heart:
ct_199,Sporty Otter Pop (René Lilly),Kris Russel how fantastic
ct_200,Caner Deniz,:face-blue-smiling::hand-pink-waving::face-red-heart-shape::trophy-yellow-smiling::eyes-pink-heart-shape:
ct_202,Cosmic Seeds,Moby signed my shirt with over 100 DJs from around the world :heart_suit:
ct_203,Dmytro Rybak,:face-red-heart-shape:
ct_204,Axel Folly,He's come a long way since his rave/ techno days. I wonder if past Moby would approve
ct_205,Anne Zemmour,Same price as everywhere just arriving early haha
ct_207,K. Oulad,:face-blue-smiling::hand-purple-blue-peace:
ct_208,Kris Russel,All standing was the same price
ct_211,Alexander Fleener,:purple_heart: 
ct_214,Cosmic Seeds,love this song
ct_215,Anne Zemmour,This song was from past Moby so yes he would approuve 
ct_216,Anonymous ,:red_heart:
ct_218,Hawaiian Guitar Crossroads,:raising_hands::raising_hands::raising_hands:
ct_220,Belen Gahz,:red_heart: 
ct_221,KröterichNo1,i don't mind the music but moby with a guitar?
ct_223,Cosmic Seeds,definitely he'd agree
ct_225,Anne Zemmour,He was first a guitar player before dj 
ct_229,Sporty Otter Pop (René Lilly),quite a large venue for small Belgium :grinning_face:
ct_230,Caio Magalhaes,his most famous works use guitar
ct_231,Belen Gahz,He always play the guitar 
ct_232,Karen Parrales,The best song ever 
ct_235,Octobert,has he played when its cold outside I want to die yet
ct_238,Gonzalo Molina Flores,madre mia moby live :smiling_face_with_hearts::star_struck:
ct_240,Epi..mű,fantastic reworking :musical_notes:👏🏼
ct_244,Axel Folly,Moby came out of the punk scene with The Vatican Commandos primarely
ct_251,Epi..mű,🙌🏼Merci beaucoup @ARTE Concert ✓:musical_notes::revolving_hearts::musical_notes::smiling_face_with_hearts::musical_notes: thanks 👍🏼🙏🏼:musical_notes:👏🏼👏🏼
ct_253,Sporty Otter Pop (René Lilly),The staging of this is grandiose
ct_254,oktodisconnect,this woke version actually sounds good
ct_259,Julieta Pusino,i like the original more
ct_260,Hantz,:hand-orange-covering-eyes:
ct_263,Epi..mű,"wtf ., ""woke"" :pleading_face::face_exhaling:"
ct_265,T,"What life would be without the songs or dance what are we, so I say thank you for the music giving it to me "
ct_266,Wanù,Mouaif...bof bof
ct_267,goochn,her voice is boring / standard and to loud - no atmosphere
ct_269,Cosmic Seeds,yes we love it
ct_275,Juanes95,Where are the strings :(?
ct_276,Epi..mű,:hot_beverage: cheers got my porcelain at hand:face-turquoise-drinking-coffee:
ct_277,Miguel Angel,y south side????
ct_278,filtav,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
ct_280,quesaquòfil2b,Ok merci @ARTE Concert. :red_heart:
ct_281,CristianKirk,I didn't recognize it without the strings sample
ct_283,Sergio Vasquez,so this is goodbye
ct_284,Elvira Pecik,:beaming_face_with_smiling_eyes:
ct_285,madaboutminds,Moby for President
ct_287,CristianKirk,I assume the strings will appear at some point...
ct_291,Sporty Otter Pop (René Lilly),"yeah there are strings onstage, in previous numbers"
ct_292,Richard,I was there in Torhout!
ct_294,Epi..mű,piano :musical_keyboard: strings :winking_face:
ct_295,Antony Stark,The Beach
ct_296,HNRIK,we need the strings...
ct_298,Sporty Otter Pop (René Lilly),I hear strings now
ct_300,Epi..mű,you happy now :smiling_face::musical_notes:
ct_303,filtav,:eyes-pink-heart-shape: this bit is magical :eyes-pink-heart-shape:
ct_304,Thor Hamma,:transgender_symbol::rainbow_flag::purple_square::blue_square::green_square::yellow_square::orange_square::red_square::seedling:
ct_305,CristianKirk,It's not quite the original sample
ct_307,Sporty Otter Pop (René Lilly),cello makes everything more lovely
ct_310,Epi..mű,it's not quite the original Era ... happy 2024:smiling_face::face-turquoise-covering-eyes::hand-purple-blue-peace::face-blue-heart-eyes:
ct_311,Владимир Губатов,backs vocals :ok_hand:
ct_316,Ford Prefect,"Alright that's good shit. ""Play"" is one of the best albums ever made."
ct_317,CristianKirk,Ha... I knew it
ct_318,CristianKirk,It's the same era ;)
ct_321,Juanes95,"There you go, the reversed string sample"
ct_324,Epi..mű,":hugging_face:👊🏼Tamás Borbély., good evening @ARTE :musical_notes: with the fun sounds of Moby :smiling_face:"
ct_325,CristianKirk,"That was perfect, crescendo style"
ct_327,Denis Gabriel Hurtado,Excellent arrangements that make me vibrate :musical_keyboard:
ct_328,Carli Carpa,Like the faster Versions more...
ct_329,el polaco,Moby? You can get stomped by Obie
ct_335,kleiven H,this riff will never end?
ct_337,Tamás Borbély,hey @ARTE Concert Happy tu see Moby :musical_note::musical_notes::speaker_high_volume::musical_note::musical_notes::speaker_high_volume:
ct_339,Cosmic Seeds,no it shouldn't
ct_340,Franco,"eternal loop, and its ok"
