comment_id;concert_id;username;message;feeling_pos;feeling_neg;music_ref;external_ref;phys_react_intentional;phys_react_unintentional
ct_1;nf_ct_1;Olivier Barasch;:pinched_fingers:;x;;;;;
ct_2;nf_ct_2;Josh Hofer;omg what! hell yes.;x;;;;;
ct_4;nf_ct_3;Hopesomo;ohh I did not planed for this. thank u arte!;x;;;;;
ct_6;nf_ct_4;slawomir maciejewski;when live natura one end parada street zurich;;;;x;;
ct_7;nf_ct_5;Vinicius Salles;:head_shaking_vertically::headphone::play_button:;x;;;;;
ct_8;nf_ct_6;Henkjan Olthuis;:face-orange-tv-shape:;x;;;;;
ct_12;nf_ct_7;Sushruta Ghosh;nils frahm is a master of counterpoint in music. He builds complex and beautiful music through simple elements.;x;;x;;;
ct_15;nf_ct_8;Robert Varner;:musical_keyboard::musical_keyboard::musical_keyboard::musical_keyboard::musical_keyboard:;x;;;;;
ct_16;nf_ct_9;Vesna dr.Dread;:hand-pink-waving:;x;;;;;
ct_17;nf_ct_10;Hopesomo;:face-fuchsia-wide-eyes:;x;;;;;
ct_18;nf_ct_11;The Art of the Sun;Nils you are my true inspiration thank you I love you ;x;;;;;
ct_19;nf_ct_12;R. K.;"i never thought i'd get to see the day when i could watch nils frahm live; this is *fantastic*";x;;;;;
ct_22;nf_ct_13;Hopesomo;is this magic?;x;;;;;
ct_23;nf_ct_14;R. K.;what instrument is he playing? i've never seen that before :0;;;x;;;
ct_24;nf_ct_15;Asli Hekimoglu;:heart_suit:;x;;;;;
ct_26;nf_ct_16;Stan 103;"""glass harmonica""";;;x;;;
ct_28;nf_ct_17;Batoune;never heard of this instrument, and seems that it was made by Benjamin Franklin itself !;;;x;x;;
ct_29;nf_ct_18;Vinicius Salles;:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:;x;;;;;
ct_31;nf_ct_19;Falk T;Painting with music and emotions, thanks Arte:heart_hands::heart_hands::heart_hands:;x;;;;;
ct_32;nf_ct_20;Lizbeth Ajuria;OMG, love him! Much love from Lyon!;x;;;x;;
ct_35;nf_ct_21;Ernesto Luquez;:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:;x;;;;;
ct_36;nf_ct_22;Stan 103;the crowd is standing and not sitting for this kind of music? weird decision;;x;x;;;
ct_37;nf_ct_23;Tom Roberts;:);x;;;;;
ct_38;nf_ct_24;Ismael Pérez;stop the time;x;;;;;
ct_40;nf_ct_25;Exeljion;Finally new live music from Nils, recorded with the technical excellence of the Arte team.Thank you so much! :);x;;x;;;
ct_42;nf_ct_26;Tasos Sirmalis;Greetings from Greece!! Great live!!!;x;;;x;;
ct_43;nf_ct_27;Tony A11;Greetings from southern Spain;x;;;x;;
