comment_id,username,message,feeling_pos,feeling_neu,feelinf_neg,external_ref,phys_react_intentional,phys_react_unintentional,reference_audience
ct_1,Juani Cappella,"I'm from Argentina and just found out that they are coming here to play in November, as I didn't think they would come I bought a ticket to go to the US (Detroit) to see the show",,,,,,,
ct_2,Juani Cappella,already bought the ticket (but of course it was not the only reason to travel),,,,,,,
ct_6,M A L V A R E L L A N,wainting for,,,,,,,
ct_7,Erick Landaburu,can't wait,,,,,,,
ct_8,RetroSound,Berlin concert was fantastic. :musical_keyboard::dizzy::thumbs_up:,,,,,,,
ct_9,TimLM,Hope they gonna play again in France cause tickets were sold waaaay to fast,,,,,,,
ct_12,Groover RPM,they forgot to add wales to their gigs,,,,,,,
ct_14,M A L V A R E L L A N,I will see them in cdmx,,,,,,,
ct_16,Headsknow,*Would be listening to Air forever ,,,,,,,
ct_17,Ana Treviño,Cant wait :blue_heart:,,,,,,,
ct_21,H. Chips,:red_heart::red_heart::red_heart:,,,,,,,
ct_22,Eduardo Hormazabal,Greetings from Chile!,,,,,,,
ct_27,popcorntommy,uk here MS is my fave album,,,,,,,
ct_28,Unfocused,greetings from Malta,,,,,,,
ct_30,Ignacio Calvo,Kelly?,,,,,,,
ct_34,Groover RPM,come on then,,,,,,,
ct_35,Agustín Pérez,greetings from Chileeee ,,,,,,,
ct_36,david bonnefon,Merci @arte pour cette dinguerie :smiling_face_with_heart_eyes:,,,,,,,
ct_38,Lorenzo Lamas,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::star_struck::star_struck:,,,,,,,
ct_40,John Seberger,Hi from Philadelphia!,,,,,,,
ct_44,Amy Cole,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,,,,,,,
ct_51,filtav,:face-red-heart-shape:,,,,,,,
ct_52,Mark Plank,🙌🏽🙌🏽,,,,,,,
ct_54,May,:washhands::washhands::washhands:,,,,,,,
ct_57,MastaKillah “MASTAKILLAHDMG” DMG,glad to see this here as missed out seeing them in person,,,,,,,
ct_62,rainbow void,see you in LA at the end of the month :dizzy: ,,,,,,,
ct_63,Hal,"ducking brilliant, that bass!!",,,,,,,
ct_65,Juan Camilo Granada,air :wind_face:los amo!,,,,,,,
ct_66,filtav,goozebumps my fave track,,,,,,,
ct_67,tloves max,Great song to start with :two_hearts:,,,,,,,
ct_69,Leesmap Man,"well, the album starts with that track too",,,,,,,
ct_70,blue_scape,The concert consists of all 11 Moon Safari songs ,,,,,,,
ct_71,Carlo Showalter,@tloves max Yeah because it's the first one on the LP,,,,,,,
ct_73,Patrick McCartan,take me back to 1996,,,,,,,
ct_74,willy,top,,,,,,,
ct_75,filtav,:eyes-pink-heart-shape:,,,,,,,
ct_76,CJ,the San Francisco fan video of this song is immaculate,,,,,,,
ct_77,Headsknow,I truly needed this ,,,,,,,
ct_79,MastaKillah “MASTAKILLAHDMG” DMG,definitely goosebumps from the start,,,,,,,
ct_83,Spoofle,Space...the final frontier,,,,,,,
ct_84,Petr Černega,Hi from Prague,,,,,,,
ct_85,ConspiracyofMisfits,:heart_suit:,,,,,,,
ct_86,blue_scape,Hello from Germany ,,,,,,,
ct_87,Doughnut Doney,"""La Femme d'argent"" forgot how good starting track this was",,,,,,,
ct_89,Chantal W,:face-fuchsia-wide-eyes:,,,,,,,
ct_91,Marcello Fusillo,Live al Viva festival Locorotondo Bari :red_heart::red_heart::red_heart:,,,,,,,
ct_92,Doughnut Doney,...and then it leads to their biggest hit,,,,,,,
ct_93,shon ryder,trop bon,,,,,,,
ct_94,Flakoman Sofasurfer,all :smiling_face_with_heart_eyes:love!!!! from MX !!!!!,,,,,,,
ct_95,Josh Richman,Awesome! How do we download it? ,,,,,,,
ct_98,blue_scape,I like the early years of Downtempo ,,,,,,,
ct_99,Irie Elliott,Austin in October 🙌🏽:maple_leaf::dashing_away::dashing_away:,,,,,,,
ct_100,shon ryder,:blue_circle::white_circle::red_circle:,,,,,,,
ct_102,Dimitri Magnani,GODO :green_square::white_large_square::red_square:,,,,,,,
ct_105,БАМБАМ,:smiling_face_with_heart_eyes:AMAZING:smiling_face_with_heart_eyes:,,,,,,,
ct_106,Spoofle,I'm not a number...so 60's under psychedelyc.,,,,,,,
ct_108,blue_scape,Me too @TimLM ,,,,,,,
ct_109,Tim Thompson,:fire:,,,,,,,
ct_111,apdgyha,:heart_suit::heart_suit::heart_suit::heart_suit: in love,,,,,,,
ct_112,tloves max,carlo showalter :red_heart:,,,,,,,
ct_118,Josh Richman,Sexy Boy!,,,,,,,
ct_123,БАМБАМ,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,,,,,,,
ct_126,Mark Plank,Sexy song,,,,,,,
ct_127,Nina,omg I can't wait to see them in NYC,,,,,,,
ct_129,Headsknow,Big Up from Detroit with love to all ,,,,,,,
ct_134,Fabian Mueller,:red_heart:,,,,,,,
ct_136,Travis Edson,this is perfect ,,,,,,,
ct_139,blue_scape,Because it's ARTE :winking_face: @anousonne ,,,,,,,
ct_140,Leesmap Man,"Thanks @ARTE Concert , for broadcasting this.",,,,,,,
ct_142,Doughnut Doney,Biggest single hit by them in the UK I think?,,,,,,,
ct_147,Leesmap Man,Kelly Watch The Stars,,,,,,,
ct_150,ilich _,Kelly Watch The Stars,,,,,,,
ct_151,БАМБАМ,COSMIC SOUND:planet-orange-purple-ring:,,,,,,,
ct_152,filtav,:eyes-pink-heart-shape:,,,,,,,
ct_153,Martial Génial,Around the world,,,,,,,
ct_155,Leesmap Man,"Also love the b-side of Sexy Boy ""Jeanne"", with the late Francoise Hardy",,,,,,,
ct_156,Spoofle,"Kelly, Watch the Stars!",,,,,,,
ct_157,filtav,@ARTE Concert la femme d'argent already played at first :D,,,,,,,
ct_158,János,AIR is timeless:musical_note::musical_score:,,,,,,,
ct_159,Juan,@ARTE Concert Ce Matin La,,,,,,,
ct_160,Doughnut Doney,My fav track by them is sadly not on this album :(,,,,,,,
ct_163,filtav,thx for streaming this premiere!! @ARTE Concert :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,,,,,,,
ct_164,TimLM,Which one is it Doughnut Doney ?,,,,,,,
ct_165,Tyler Woolstenhulme,Stoked I was able to catch this!,,,,,,,
ct_169,Doughnut Doney,@TimLM Cherry Blossom Girl,,,,,,,
ct_171,Romeo CHARLIE,:person-turqouise-waving::person-turqouise-waving::person-turqouise-waving:,,,,,,,
ct_174,f c,CHICAS,,,,,,,
ct_176,shon ryder,sexy boy is fantastic,,,,,,,
ct_177,Leesmap Man,I loved seeing them live in Paradiso 1998,,,,,,,
ct_178,TimLM,A great one I agree !,,,,,,,
ct_179,Romeo CHARLIE,People in the city,,,,,,,
ct_180,Bienvenido a los 90 Podcast,sexy air,,,,,,,
ct_182,filtav,love this one too,,,,,,,
ct_183,f c,I GAVE IT ALL IT GOT,,,,,,,
ct_184,Bucciarati,!!!!!!!!!!,,,,,,,
ct_185,TimLM,All I Need is Air concert :D,,,,,,,
ct_186,f c,BUT I NEVER FORGOT,,,,,,,
ct_187,David Bonilla,Waiting For MEXICO !!!!,,,,,,,
ct_188,filtav,all album is gold,,,,,,,
ct_189,d3plus,All i need right now.... air....,,,,,,,
ct_190,Headsknow,All I need. The chills the goosebumps,,,,,,,
ct_191,János,What a beautiful arrangements,,,,,,,
ct_197,blue_scape,Cool live version ,,,,,,,
ct_198,Yann g40,all I need ...is air,,,,,,,
ct_199,Doughnut Doney,All I need with a 2024 remix,,,,,,,
ct_200,filtav,:eyes-pink-heart-shape: ahuuuahhh,,,,,,,
ct_201,Przemek Galera,best of the best,,,,,,,
