comment_id,username,message,feeling_pos,feeling_neu,feelinf_neg,external_ref,phys_react_intentional,phys_react_unintentional
ct_1,Olivier Barasch,:pinched_fingers:,,,,,,
ct_2,Josh Hofer,omg what! hell yes.,,,,,,
ct_4,Hopesomo,ohh I did not planed for this. thank u arte!,,,,,,
ct_6,slawomir maciejewski,when live natura one end parada street zurich,,,,,,
ct_7,Vinicius Salles,:head_shaking_vertically::headphone::play_button:,,,,,,
ct_8,Henkjan Olthuis,:face-orange-tv-shape:,,,,,,
ct_12,Sushruta Ghosh,nils frahm is a master of counterpoint in music. He builds complex and beautiful music through simple elements.,,,,,,
ct_15,Robert Varner,:musical_keyboard::musical_keyboard::musical_keyboard::musical_keyboard::musical_keyboard:,,,,,,
ct_16,Vesna dr.Dread,:hand-pink-waving:,,,,,,
ct_17,Hopesomo,:face-fuchsia-wide-eyes:,,,,,,
ct_18,The Art of the Sun,Nils you are my true inspiration thank you I love you ,,,,,,
ct_19,R. K.,i never thought i'd get to see the day when i could watch nils frahm live; this is *fantastic*,,,,,,
ct_22,Hopesomo,is this magic?,,,,,,
ct_23,R. K.,what instrument is he playing? i've never seen that before :0,,,,,,
ct_24,Asli Hekimoglu,:heart_suit:,,,,,,
ct_26,Stan 103,"""glass harmonica""",,,,,,
ct_28,Batoune,"never heard of this instrument, and seems that it was made by Benjamin Franklin itself !",,,,,,
ct_29,Vinicius Salles,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,,,,,,
ct_31,Falk T,"Painting with music and emotions, thanks Arte:heart_hands::heart_hands::heart_hands:",,,,,,
ct_32,Lizbeth Ajuria,"OMG, love him! Much love from Lyon!",,,,,,
ct_35,Ernesto Luquez,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,,,,,,
ct_36,Stan 103,the crowd is standing and not sitting for this kind of music? weird decision,,,,,,
ct_37,Tom Roberts,:),,,,,,
ct_38,Ismael Pérez,stop the time,,,,,,
ct_40,Exeljion,"Finally new live music from Nils, recorded with the technical excellence of the Arte team.Thank you so much! :)",,,,,,
ct_42,Tasos Sirmalis,Greetings from Greece!! Great live!!!,,,,,,
ct_43,Tony A11,Greetings from southern Spain,,,,,,
ct_44,Erdem Kaya,:eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape:,,,,,,
ct_45,Anton Nikolov,"greetings from Sofia, Bulgaria",,,,,,
ct_46,Sowo Samma,Bonsoir from Austria - enjyoing this very much,,,,,,
ct_47,Anton Nikolov,"awesome concert, thank you for streaming this",,,,,,
ct_48,Abe 901,"Bonsoir from Amsterdam, The Netherlands",,,,,,
ct_51,Timo (tim0),Awesome Nils - greetings from Finland!,,,,,,
ct_52,Saaman Sei,So deep and rich and emotional. What a great musician!,,,,,,
ct_54,Alex,love the swing and groove on this,,,,,,
ct_57,Martin Krumins,Hi from Scotland,,,,,,
ct_59,Alex,i would probably be the only one in the audience standing up and dancing lol,,,,,,
ct_60,Andrey S,Is this Berduxa 2024 revision?,,,,,,
ct_63,Gondel 31,Saw him live 3 times-,,,,,,
ct_69,Martin Krumins,and all in Latvia,,,,,,
ct_71,Sowo Samma,feeling more and more relaxed after a hard day,,,,,,
ct_72,Alex,if y'all are just listening to this on headphones or laptop speakers.... you are missing out,,,,,,
ct_73,ETIENNE RÉMY,many thanks for that concert of genius Nils Frahm,,,,,,
ct_81,low.joseph23,@ARTE Concert will this set be uploaded afterwards?? <3,,,,,,
ct_83,low.joseph23,thanks! for how long will it be available?,,,,,,
ct_85,Alessandro Mondini,Thanks!!!:hugging_face:,,,,,,
ct_87,Vinicius Salles,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands: ,,,,,,
ct_91,ra-moon luis,pure theme for cinema paradise!!!,,,,,,
ct_92,blue_scape,"Thanks for the recording, ARTE ",,,,,,
ct_93,Chris Chrome,Nice vintage gear & sound,,,,,,
ct_94,Exeljion,there are strange insects in Paris :D,,,,,,
ct_95,Salman Farhadi,love this reflection of sounds!,,,,,,
ct_97,Jeff Kzhj,:fire:,,,,,,
