comment_id,username,message,feeling_pos,feeling_neu,feelinf_neg,external_ref,phys_react_intentional,phys_react_unintentional
ct_4,Antho,Merci arte super !:slightly_smiling_face:,,,,,,
ct_9,Jana Von Herzen,Sting :smiling_face_with_heart_eyes: best wishes from Berlin :musical_notes::musical_note::partying_face:,,,,,,
ct_12,Jana Von Herzen,thank you ARTE Concert! :folded_hands::thumbs_up::red_heart:,,,,,,
ct_15,Mariusz Slowinski,Merci Arte :slightly_smiling_face:,,,,,,
ct_16,Mariusz Slowinski,Can't wait :winking_face:,,,,,,
ct_27,Stingako,In about 3min!! ,,,,,,
ct_28,LEFEVRE Thierry et Odile,:sparkling_heart:,,,,,,
ct_33,Stingako,Wow..Sting:blue_heart::blue_heart::blue_heart:,,,,,,
ct_35,Ali Delici,:raising_hands:,,,,,,
ct_36,Manfred Philips,An englishman in Paris :winking_face:,,,,,,
ct_40,luis martinez,Sounds great!!!,,,,,,
ct_41,Manfred Philips,En plus je suis fan de FIP :winking_face:,,,,,,
ct_44,Stingako,So beautiful .. place and music.. wow Sting:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::bouquet::bouquet::bouquet::bouquet:,,,,,,
ct_45,lauragoblin,:heart_suit::heart_suit::heart_suit:,,,,,,
ct_46,Arnaud Marchand,:fire:tip top:fire:,,,,,,
ct_47,Waringham,one of the greatest singer and songwriter of all times,,,,,,
ct_48,Emre Seven,where is shaggy?,,,,,,
ct_50,just aqin,indonesia now 2 AM wacth thiss love it,,,,,,
ct_52,Mia Sote,TY very much Arte concert !:red_heart::red_heart::red_heart:,,,,,,
ct_53,Jana Von Herzen,love it :folded_hands::red_heart:,,,,,,
ct_54,Chri'tof God'fighter,:thumbs_up::heart_suit:,,,,,,
ct_56,Ali Delici,:heart_on_fire:,,,,,,
ct_61,Salih Kuzgun,How fragile?!!!,,,,,,
ct_62,marvusparvus,tomorrow's rain will wash the stains away ,,,,,,
ct_63,Stingako,"Sting music and the place, :bouquet::bouquet:Pantheon .. beautifully cool! Magically fantastic! :blue_heart::blue_heart::blue_heart:",,,,,,
ct_64,Manfred Philips,Arte Concert always on top!,,,,,,
ct_72,Jana Von Herzen,:musical_notes::musical_note::thumbs_up::partying_face::headphone:,,,,,,
ct_77,Stingako,Message In A Bottle .. new version :blue_heart::blue_heart::blue_heart::bouquet: cool,,,,,,
ct_79,Offenbacher64,Danke an ARTE Concert!,,,,,,
ct_81,LEFEVRE Thierry et Odile,c'est temps suspend ton vol...magique ! :thumbs_up::red_heart::sparkling_heart::sparkling_heart:merci :folded_hands::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart:,,,,,,
ct_83,Manfred Philips,Send an SOS to the world to fire Macron...,,,,,,
ct_84,Liliane Bernage,:hundred_points:,,,,,,
ct_87,CRI,evidemment SOS to the nature,,,,,,
ct_88,Stefano Fucili,:red_heart: Mr Sting is always the n.1,,,,,,
ct_91,zed hennuy,"whowww le magique mr Sting dans un lieu superbe , merci arte pour vos bon plan :smiling_face_with_hearts:",,,,,,
ct_92,Stingako,4:11am in JAPAN! Great thing I woke up early today! Fantastic Sunday morning!! ,,,,,,
ct_93,Manfred Philips,I think I will make a tribute to this song soon.,,,,,,
ct_94,Gosia 00.00,:red_heart::red_heart::red_heart::red_heart::red_heart:,,,,,,
ct_97,Mia Sote,TY Arte concert for the great message full of hope and love !:red_heart::red_heart::red_heart:,,,,,,
ct_98,Marie-Carmen Damade,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,,,,,,
ct_105,marvusparvus,:heart_decoration:SOS:heart_decoration:,,,,,,
ct_106,Marie-Carmen Damade,Hope the world will listen about this SOS ... ,,,,,,
ct_113,Leon4k,"STING, I consider your songs the best in the world",,,,,,
ct_115,Stingako,I agree to you!! ,,,,,,
ct_119,Wolf Dreamcatcher,Will there be a recording?:eyes:,,,,,,
ct_122,Jana Von Herzen,"@Andre Scheeren, jaaaa mega :musical_note::musical_notes::smiling_face_with_heart_eyes::folded_hands:",,,,,,
ct_123,M@u J.,"@Wolf Dreamcatcher it was on 6th October, so yesss",,,,,,
ct_124,Maurizio Saccani,Rushing water! Sting rocks!,,,,,,
ct_127,Judy Inwood,A catching tune and kitschy whistle...love it,,,,,,
ct_132,Stingako,Yes!!:blue_heart::blue_heart:Rushing Water!! ,,,,,,
ct_133,Liliane Bernage,happy happy :star_struck::smiling_face_with_hearts::red_heart::red_heart::red_heart:,,,,,,
ct_134,Wolf Dreamcatcher,@Matthias Joss Thank you :hugging_face:,,,,,,
ct_137,Wolf Dreamcatcher,:thumbs_up:,,,,,,
ct_138,Judy Inwood,A Grammy for this song!,,,,,,
ct_140,Romain Rouquet,Incroyble Sting !,,,,,,
ct_142,Maurizio Saccani,that's Dom guitar tech on guitar,,,,,,
ct_144,Violeta Lindiene,:growing_heart:,,,,,,
ct_146,Stingako,:blue_heart::musical_notes:This is the sound of rushing water!:musical_notes::blue_heart:..Ease into the water..:blue_heart: I love this song! ,,,,,,
ct_148,Béa Piron,:star_struck::thumbs_up::musical_notes:,,,,,,
ct_149,Waringham,thanks Arte,,,,,,
ct_151,Stingako,And.. my super favorite! For Her Love! ,,,,,,
ct_154,Steve Bruneel,this is awesome,,,,,,
ct_156,MaggieMarch,Hello from Wales UK Thank you ARTE as always smashing enjoyment ,,,,,,
