comment_id,concert_id,username,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional
ct_1,air_ct_1,Juani Cappella,"I'm from Argentina and just found out that they are coming here to play in November, as I didn't think they would come I bought a ticket to go to the US (Detroit) to see the show",,,,X,,
ct_2,air_ct_2,Juani Cappella,already bought the ticket (but of course it was not the only reason to travel),,,,X,,
ct_6,air_ct_3,M A L V A R E L L A N,wainting for,,,,,,
ct_7,air_ct_4,Erick Landaburu,can't wait,X,,,,,
ct_8,air_ct_5,RetroSound,Berlin concert was fantastic. :musical_keyboard::dizzy::thumbs_up:,,,,X,,
ct_9,air_ct_6,TimLM,Hope they gonna play again in France cause tickets were sold waaaay to fast,,,,X,,
ct_12,air_ct_7,Groover RPM,they forgot to add wales to their gigs,,,,X,,
ct_14,air_ct_8,M A L V A R E L L A N,I will see them in cdmx,,,,X,,
ct_16,air_ct_9,Headsknow,*Would be listening to Air forever ,,,,X,,
ct_17,air_ct_10,Ana Treviño,Cant wait :blue_heart:,X,,,,,
ct_21,air_ct_11,H. Chips,:red_heart::red_heart::red_heart:,X,,,,,
ct_22,air_ct_12,Eduardo Hormazabal,Greetings from Chile!,,,,,,
ct_27,air_ct_13,popcorntommy,uk here MS is my fave album,,,,X,,
ct_28,air_ct_14,Unfocused,greetings from Malta,,,,,,
ct_30,air_ct_15,Ignacio Calvo,Kelly?,,,,X,,
ct_34,air_ct_16,Groover RPM,come on then,,,,,,
ct_35,air_ct_17,Agustín Pérez,greetings from Chileeee ,,,,,,
ct_36,air_ct_18,david bonnefon,Merci @arte pour cette dinguerie :smiling_face_with_heart_eyes:,X,,,,,
ct_38,air_ct_19,Lorenzo Lamas,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::star_struck::star_struck:,X,,,,,
ct_40,air_ct_20,John Seberger,Hi from Philadelphia!,,,,,,
ct_44,air_ct_21,Amy Cole,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,,,,
ct_51,air_ct_22,filtav,:face-red-heart-shape:,X,,,,,
ct_52,air_ct_23,Mark Plank,🙌🏽🙌🏽,X,,,,X,
ct_54,air_ct_24,May,:washhands::washhands::washhands:,,,,,X,
ct_57,air_ct_25,MastaKillah “MASTAKILLAHDMG” DMG,glad to see this here as missed out seeing them in person,X,,,,,
ct_62,air_ct_26,rainbow void,see you in LA at the end of the month :dizzy: ,,,,X,,
ct_63,air_ct_27,Hal,"ducking brilliant, that bass!!",X,,x,,,
ct_65,air_ct_28,Juan Camilo Granada,air :wind_face:los amo!,,,,,,
ct_66,air_ct_29,filtav,goozebumps my fave track,X,,x,,,X
ct_67,air_ct_30,tloves max,Great song to start with :two_hearts:,X,,x,,,
ct_69,air_ct_31,Leesmap Man,"well, the album starts with that track too",,,x,X,,
ct_70,air_ct_32,blue_scape,The concert consists of all 11 Moon Safari songs,,,x,X,,
ct_71,air_ct_33,Carlo Showalter,@tloves max Yeah because it's the first one on the LP,,,x,X,,
ct_73,air_ct_34,Patrick McCartan,take me back to 1996,X,,,,,
ct_74,air_ct_35,willy,top,X,,,,,
ct_75,air_ct_36,filtav,:eyes-pink-heart-shape:,X,,,,,
ct_76,air_ct_37,CJ,the San Francisco fan video of this song is immaculate,,,x,X,,
ct_77,air_ct_38,Headsknow,I truly needed this ,X,,,,,
ct_79,air_ct_39,MastaKillah “MASTAKILLAHDMG” DMG,definitely goosebumps from the start,X,,,,,X
ct_83,air_ct_40,Spoofle,Space...the final frontier,,,,,,
ct_84,air_ct_41,Petr Černega,Hi from Prague,,,,,,
ct_85,air_ct_42,ConspiracyofMisfits,:heart_suit:,X,,,,,
ct_86,air_ct_43,blue_scape,Hello from Germany ,,,,,,
ct_87,air_ct_44,Doughnut Doney,"""La Femme d'argent"" forgot how good starting track this was",X,,x,,,
ct_89,air_ct_45,Chantal W,:face-fuchsia-wide-eyes:,,,,,,
ct_91,air_ct_46,Marcello Fusillo,Live al Viva festival Locorotondo Bari :red_heart::red_heart::red_heart:,,,,,,
ct_92,air_ct_47,Doughnut Doney,...and then it leads to their biggest hit,,,x,X,,
ct_93,air_ct_48,shon ryder,trop bon,,,,,,
ct_94,air_ct_49,Flakoman Sofasurfer,all :smiling_face_with_heart_eyes:love!!!! from MX !!!!!,X,,,,,
ct_95,air_ct_50,Josh Richman,Awesome! How do we download it? ,X,,,,,
ct_98,air_ct_51,blue_scape,I like the early years of Downtempo ,,,x,X,,
ct_99,air_ct_52,Irie Elliott,Austin in October 🙌🏽:maple_leaf::dashing_away::dashing_away:,X,,,X,,
ct_100,air_ct_53,shon ryder,:blue_circle::white_circle::red_circle:,,,,,,
ct_102,air_ct_54,Dimitri Magnani,GODO :green_square::white_large_square::red_square:,X,,,,,
ct_105,air_ct_55,БАМБАМ,:smiling_face_with_heart_eyes:AMAZING:smiling_face_with_heart_eyes:,X,,,,,
ct_106,air_ct_56,Spoofle,I'm not a number...so 60's under psychedelyc.,,,,,,
ct_108,air_ct_57,blue_scape,Me too @TimLM ,,,,,,
ct_109,air_ct_58,Tim Thompson,:fire:,X,,,,,
ct_111,air_ct_59,apdgyha,:heart_suit::heart_suit::heart_suit::heart_suit: in love,X,,,,,
ct_112,air_ct_60,tloves max,carlo showalter :red_heart:,X,,,,,
ct_118,air_ct_61,Josh Richman,Sexy Boy!,X,,x,,,
ct_123,air_ct_62,БАМБАМ,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,X,,,,,
ct_126,air_ct_63,Mark Plank,Sexy song,X,,x,,,
ct_127,air_ct_64,Nina,omg I can't wait to see them in NYC,X,,,X,,
ct_129,air_ct_65,Headsknow,Big Up from Detroit with love to all ,X,,,,,
ct_134,air_ct_66,Fabian Mueller,:red_heart:,X,,,,,
ct_136,air_ct_67,Travis Edson,this is perfect ,X,,,,,
ct_139,air_ct_68,blue_scape,Because it's ARTE :winking_face: @anousonne ,,,,,,
ct_140,air_ct_69,Leesmap Man,"Thanks @ARTE Concert , for broadcasting this.",,,,,,
ct_142,air_ct_70,Doughnut Doney,Biggest single hit by them in the UK I think?,,,x,X,,
ct_147,air_ct_71,Leesmap Man,Kelly Watch The Stars,,,X,X,,
ct_150,air_ct_72,ilich _,Kelly Watch The Stars,,,X,X,,
ct_151,air_ct_73,БАМБАМ,COSMIC SOUND:planet-orange-purple-ring:,X,,,,,
