comment_id;username;message;feeling_pos;feeling_neg;music_ref;external_ref;phys_react
ct_2;Gabriel Liberato;Raein mentioned!!!;;;;x;
ct_3;Gabriel Liberato;or is it David Lynch?;;;;x;
ct_4;Il N'y a Pas d'Orchestre / IHAVENOBAND;heya ^^ it is a little bit of both c': even though I'm ashamed to say I didn't watch MD or listenned to raein in years, I just really like the sound/flow of this sentence c: ;x;;;x;
ct_6;Official Morgan McGinnis Archive;cheers from California :slightly_smiling_face: ;x;;;x;
ct_10;Pao;Thanks so much ARTE. You guys rock;x;;;;
ct_11;Il N'y a Pas d'Orchestre / IHAVENOBAND;<3;x;;;;
ct_17;Vosscano;I love you Blonde Redhead! :sparkling_heart:;x;;;;
ct_20;Official Morgan McGinnis Archive;we really gettin Falling Man as opener? hell yes.....;x;;x;;
ct_22;Il N'y a Pas d'Orchestre / IHAVENOBAND;* ascends * ;x;;;;x
ct_25;Il N'y a Pas d'Orchestre / IHAVENOBAND;from misery is a butterfly;;;x;;
ct_28;Il N'y a Pas d'Orchestre / IHAVENOBAND;coucou c: merci pour le show c: :red_heart: ;x;;;;
ct_29;Il N'y a Pas d'Orchestre / IHAVENOBAND;omg la pluie :loudly_crying_face:;x;;;;
ct_30;Vosscano;:clapping_hands::clapping_hands::clapping_hands:;x;;;;
ct_33;MrArpSolina;Is it live or a replay?;;;x;;
ct_36;Vosscano;Live baybay! Same setlist for months tho;;;x;;
ct_38;Vosscano;I saw them in Detroit on Leap Day 2024 :sparkling_heart:;x;;;x;
ct_39;Vosscano;I brought flowers for Kazu :bouquet::smiling_face:;;;;x;
ct_40;argiliza;:heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:.......;x;;;;
ct_44;Gabriel Liberato;absolutely banger;x;;x;;
ct_45;MrArpSolina;@ARTE Concert Nice!;x;;;;
ct_46;Vosscano;Her voice is on tonight! :heart_hands:;x;;x;;
ct_53;Il N'y a Pas d'Orchestre / IHAVENOBAND;of course my connecion would go down during strageluv and doll is mine.. I 'm cursed..;;x;;;
ct_57;Il N'y a Pas d'Orchestre / IHAVENOBAND;@ARTE_concert? :pleading_face:;;x;;;
ct_58;Tommy Gontie;@ARTE Concert This is such a high-quality, top-notch live audiovisual production. Congratulations to the whole team.;x;;;x;
ct_60;jiggrinder;Yes they always do a good job !;x;;;;
ct_61;Bernie Noel;Perfect like always ! Tears after tears ;x;;;;x
ct_62;Beatriz;<3;x;;;;
ct_70;Gabriel Liberato;can I get a hell yeah?;x;;;;
ct_72;Il N'y a Pas d'Orchestre / IHAVENOBAND;hell yeah.. :pensive_face:💁🏾🕺🏾;x;;;;x
ct_74;Vosscano;They are sounding sooo good!!;x;;x;;
ct_75;Il N'y a Pas d'Orchestre / IHAVENOBAND;yayy internet is back;x;;;;
ct_76;djcarlhamm;saw them twice in the US and i'd see them again if i could.. thank you for this!!! ;x;;;x;
ct_77;Il N'y a Pas d'Orchestre / IHAVENOBAND;I saw them in Paris, bataclan, feels like a life ago.. ;x;;;x;
ct_79;djcarlhamm;can't wait to see this documentary their making! ;x;;;x;
ct_80;Vosscano;:clapping_hands::clapping_hands::clapping_hands:;x;;;;
ct_82;djcarlhamm;:red_heart: :red_heart: :red_heart: ;x;;;;
ct_83;Vosscano;:sparkling_heart:;x;;;;
ct_85;Vosscano;That line scares me;;x;x;;
ct_87;Il N'y a Pas d'Orchestre / IHAVENOBAND;bass VI :red_heart: :red_heart: :red_heart: :red_heart: :red_heart: ;x;;x;;
ct_88;djcarlhamm;this break... ugh~~!!;x;;x;;
ct_89;Vosscano;Viva La Blonde Redhead :sparkling_heart:;x;;;;
ct_91;Il N'y a Pas d'Orchestre / IHAVENOBAND;any of you know if they usually say a word in between songs or just play? (I can't remember tbh from the time I saw them :frowning_face: ) ;;;x;x;x
ct_92;Vosscano;I agree DJ Carl, I love this descending sway ;x;;x;;
ct_93;MonkeyAC;@Il N'y a Pas d'Orchestre / IHAVENOBAND not big talkers;;;;x;
ct_94;Vosscano;:clapping_hands::clapping_hands::clapping_hands:;x;;;;x
ct_95;MonkeyAC;:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:;x;;;;x
