comment_id;username;message;feeling_pos;feeling_neg;music_ref;external_ref;phys_react
ct_3;Mia Brava;Hiiii from south of Spain;;;;;
ct_7;Dirk Dehncke;i'm from Germany Hessen;;;;;
ct_9;Alejandria Rodriguez;🇲🇽;;;;;
ct_11;Postpunk 1982;My wife loves Jamie. ;X;;;;
ct_12;Carell Cassey;It's 4:02 pm in Madison, WI right now;;;;;
ct_13;Mia Brava;Enjoying!! thanks.;X;;;;
ct_14;Carell Cassey;@ARTE Concert afternoon/evening;;;;;
ct_18;H G;22:04 here Lowe U babe ::::::::::>;x;;;;
ct_19;Carell Cassey;@ARTE Concert Thank you. Thanks for these cool live streaming shows!;x;;;;
ct_21;Сергей Рябов;hello everyone;;;;;
ct_22;THEMIS;I love them! Saw them yesterday in Cologne front row, best show ever. :black_heart::black_heart::black_heart:;X;;;x;
ct_23;Natalie L;love them;x;;;;
ct_27;élodie Jacques;uiiiiiiiiiii Ura fever . :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:;x;;;;
ct_29;Alejandria Rodriguez;:fire::fire::fire::fire::fire::fire:;x;;;;
ct_30;Alex Edye;hey @ARTE Concert not sure if you can fix this, but the summer breeze stream audio is glitching out right now;;;;x;
ct_31;Justin;I think this broke it;;;;;
ct_32;Charlie De Goal;:red_heart:;x;;;;
ct_42;3genom “LINKER” inyourcluster;is it really live?;;;;;
ct_49;3genom “LINKER” inyourcluster;impressive! thanks for the opportunity to watch this live !!;x;;;;
ct_51;Swann;they had a drummer on the tour for the ash and ice tour;;;x;X;
ct_52;Duarte Nuno Correia;Many thanks Arte Concert. We are enjoying it!;x;;;;
ct_53;Вячеслав Ткаченко;crypta;;;;;
ct_54;RileyX;oooohhhh nice the kills thx arte;x;;;;
ct_56;Rosie Orozco;Much love to Alison & Jamie . @thetaleofvvandhotel - ;x;;;;
ct_57;Rosie Orozco;Hi from Los Angeles, CA ;;;;;
ct_62;RileyX;saw them the first time back in 2008 I believe;;;;x;
ct_63;king-chang perspective;hi!from JAPAN,any asian here??;;;;;
ct_64;Chris korn;Greetings from Vienna and thx;x;;;;
ct_66;Alberto zenon Perez perez;waiting for heart of a dog;;;x;;
ct_67;RileyX;ahhh my fav new track;x;;x;;
ct_68;Вячеслав Ткаченко;hello from earth;;;;;
ct_70;RileyX;I'm rip on the walk of shame;;x;;;
