comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@artetvdocumentary,2025-04-21T16:37:06+00:00,"16 days, 23:26:34",Watch next: Why Are So Many Young People Joining Gangs? 👉https://www.youtube.com/watch?v=MXg24B1aD9Q
ct_2,@megamanx466,2025-04-07T06:38:22+00:00,"2 days, 13:27:50","I wait for ""Liberation Day"" to be shown on calendars next year! 😂"
ct_3,@susanzundel6231,2025-04-06T01:35:28+00:00,"1 day, 8:24:56",Don't invest in the USA invest in EU
ct_4,@olegpanchenko3151,2025-04-05T17:54:27+00:00,"1 day, 0:43:55","More than 280 billion of Russian money is frozen in the European Union and Great Britain. This money can be confiscated as aid to Ukraine and used to produce tanks, military equipment and military cars that require a lot of steel. The production will create jobs and boost the economies of Europe and Great Britain."
ct_5,@mrg4388,2025-04-05T09:34:37+00:00,16:24:05,"""Less main character energy"" hahaha good one :)"
ct_6,@ExploreAmerica-x2e,2025-04-05T07:53:49+00:00,14:43:17,America’s credibility is crumbling at an alarming rate.
ct_7,@Gert-DK,2025-04-05T07:33:12+00:00,14:22:40,Danish industry have advocated for the EU to hit hard on the US. I don't know if other industries in the EU have the same opinion.
ct_8,@gabriel8088,2025-04-05T06:31:45+00:00,13:21:13,yes?!
ct_9,@user-zt4zr7eg6z,2025-04-05T03:37:46+00:00,10:27:14,Why not tax Uber etc. It kills the european taxi industry...
ct_10,@battleking8584,2025-04-04T22:19:40+00:00,5:09:08,Let's pls stop talking about Trump as a great business man. He never was and he never will be. He bankrupt basically all of his businesses and now he's doing the same with the US. He knows nothing about the economy.
ct_11,@alex990ism,2025-04-04T21:59:18+00:00,4:48:46,"we need to grow our economy by building infrastructure and other practical stuff, innovating in energy and resource effiecient systems and supply chains, develop our defense industry by using all that money we spend on us weapons , keeping it in our economy, and develop our own digital services independent of the us that is fascist free from america russia and china, that is bleeding us dry of cash , and we can include the free world in this fascist free single digital space , canada, the uk, japan, south korea ,australia, and any other democracy that wants to participate and there are plenty more we could do and envision how the eu could work and how the free world could stand together"
ct_12,@battleking8584,2025-04-04T21:54:35+00:00,4:44:03,As a European i'm not worried at all because of the tarriffs. The EU is strong enough to handle this! Plus it also could be an opportunity.
ct_13,@MatS-iy5qd,2025-04-04T19:25:30+00:00,2:14:58,It's infuriating than the reasonable approach will make Trump seems like the winner. It will cost us a lot but this is an opportunity to cut ties with the USA hegemony and grow our own solutions especially in the tech industries. Can't we make deals with China?
ct_14,@LetoxxIant,2025-04-04T18:39:11+00:00,1:28:39,Sorry but the US had not only 2.5% tariffs on cars.EU 10% on all carsUS 2.5 on cars and 25% on pickups and vans with pickups one of the biggest car markets in the US. no Mr T. raised it to 25% for all cars
ct_15,@StrongKickMan,2025-04-04T18:06:31+00:00,0:55:59,The U.S always had the best deal in the world.That is the reason why they became the richest nation.Now the world sees how unrealible the U.S is. That plus the lost of trust in U.S weapons will shuffle the world of trade around.I feel save to say that the U.S will be off worse when all of this settled.
