comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@artetvdocumentary,2024-12-29T12:34:52+00:00,"8 days, 17:01:52","Youth unemployment is an issue across the world. What's the situation like in your country? 🌎For an alternative viewpoint, check out our film 'Back to Bulgaria'. When Bulgaria 🇧🇬 joined the European Union 🇪🇺 in 2004 many young Bulgarians went abroad to find work leaving the country depopulated.Here, we follow those who are now coming back to start businesses in their homeland. Check it out 👉 https://www.youtube.com/watch?v=tcDRCYOvN5s&t=1s"
ct_2,@Spike-w5o,2025-04-20T15:41:14+00:00,"120 days, 20:08:14",Chyna joined the WTO and have manipulated and cheat to boast of a utopian ideal world😮
ct_3,@Spike-w5o,2025-04-20T15:39:49+00:00,"120 days, 20:06:49",The ccp Chyna manipulate every and All numbers to boast and lie to the World😮
ct_4,@Spike-w5o,2025-04-20T15:38:45+00:00,"120 days, 20:05:45",This Is Not Socialism Chyna is COMMUNISM WTH😮
ct_5,@Spike-w5o,2025-04-20T15:37:32+00:00,"120 days, 20:04:32",Can Chyna youth Rise up or are they weakened under oppressive ccp😮😢
ct_6,@Spike-w5o,2025-04-20T15:36:29+00:00,"120 days, 20:03:29",The ccp would have you believe everything is exceptionally good😮
ct_7,@joeykkwong6781,2025-04-19T12:48:18+00:00,"119 days, 17:15:18","that is sad since china was the economic engine of growth for the world, but the financial crisis in 2008 and the global pandemic in 2019 created a great reset in china growth strategy. plus the economic threat of the USA sanctions in the 2018 and also now 2025,  China growth is facing major hurdles and the real estate market recession has not really helped boost china economic growth as expected. as the economic ties between china and the western nations becomes more challenging and stifled, china needs new business partners across the world to keep growing its economy. the sad part is china overpopulation, heavy competition and current slow growth has impacted with youth population in terms of career growth aspects in the country and abroad. i belief that china to keep its youth workforce employed must expand trade with developing nations and expand its youth employment globally to other developing nations in partnership with china to help resolve the growing crisis of youth employment, similar to the christian missionaries in the 1900-2000 century. of course this means young talents in china must be willing to migrate to foreign nations and leave family members behind in china, that will be the biggest challenges in china history for the future generations."
ct_8,@aubergine10,2025-04-13T19:57:06+00:00,"114 days, 0:24:06",Your projecting is getting really obvious lol.
ct_9,@juz882010,2025-04-10T07:41:16+00:00,"110 days, 12:08:16",That grandma still out in the fields working hard and cooking jesus.
ct_10,@doctorcatnip2551,2025-03-31T12:19:14+00:00,"100 days, 16:46:14","Note that these people all got degrees in bs ... nobody needs some guy with a ""degree in journalism""."
ct_11,@Jaskson-u4y,2025-03-31T05:30:19+00:00,"100 days, 9:57:19",OK we dont need fucking subtitles
ct_12,@hitster,2025-03-30T12:54:10+00:00,"99 days, 17:21:10","Yet another western propaganda. They either target China or India. Why doesn’t the western media show the fentanyl epidemic of Los Angeles , homeless drug addicts of America, useless economy of EU. That would be a fun video to watch instead."
ct_13,@joem0088,2025-03-29T09:23:50+00:00,"98 days, 13:50:50",France should first worry about it's own youth unemplyment first.In France youth (15–24 years) unemployment rate: ~18–20%. China is lower.
ct_14,@asherclasse6069,2025-03-28T10:02:02+00:00,"97 days, 14:29:02",Western propaganda. 😂
ct_15,@awarghazi555,2025-03-27T18:59:45+00:00,"96 days, 23:26:45",isn't this Aljazeera's documentary ?
ct_16,@sargiskocharyan3333,2025-03-25T16:37:15+00:00,"94 days, 21:04:15",https://youtube.com/shorts/-eePbGxdyOA?si=KnYKcVD0x1G-ICHR
ct_17,@dmo848,2025-03-25T08:24:19+00:00,"94 days, 12:51:19",I'm 40 in America still can't find work. If i didn't live with family. Id be dead or in the woods living in a tent. This is real.
ct_18,@LiliMarlen-d7g,2025-03-23T07:55:37+00:00,"92 days, 12:22:37","The BRI team does not have better foresight. Wirh so many high speed rail projects around the world, send the kids out of China. Each high speed rail have at least 10 stations. At each stations, make Chinese ticketing 🎟 stations, establish groceries supermarket, hotels, and establish EV parking lots. These kids can work and setup tbeir busineses oversea. BYD can setup EV chargimg stations world wide with these new graduates."
ct_19,@LiliMarlen-d7g,2025-03-23T07:41:23+00:00,"92 days, 12:08:23","Chinese youths didn't have jobs as of last month, this month, all graduates will be employed as animation artists. Since the success of Na Zha 2, there will be 2000 new studios making animated films hoping to come close to Na Zha or bearing it. This is what China does best, they see something, by tomorrow morning, there will be 2000 replicas if not 100 000"
ct_20,@ArsisDebrowski,2025-03-21T16:09:06+00:00,"90 days, 20:36:06",This natrrator could have taken his time to learn to pronounce the Chinese names correctly.  He didn't get a single one right.
ct_21,@dudeonthasopha,2025-03-19T18:58:56+00:00,"88 days, 23:25:56",I dont expect much for pronunciation when it comes to chinese so i don't usually comment on it but i haven't seen it this bad in years. There are approximate sounds in english for these letters.
ct_22,@jetsamjetsam,2025-03-15T16:58:54+00:00,"84 days, 21:25:54",whats with the BBC filter
