comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@artetvdocumentary,2025-01-26T12:09:25+00:00,"1 day, 17:06:25",📺Watch next: How Hungary is helping Russians and Belarusians get visas 👉https://www.youtube.com/watch?v=Ic-iFFXkuGw
ct_2,@FerencNegrai,2025-04-11T22:14:22+00:00,"77 days, 3:11:22",I am Hungarian and this is bs ....
ct_3,@annaal7480,2025-03-16T17:38:47+00:00,"50 days, 22:35:47","Right wingers cannot handle finances, they steal too much"
ct_4,@kevhynaleks2631,2025-02-07T00:38:10+00:00,"13 days, 5:35:10","Liberal mainstream propaganda liyng factory! Everything, what was centre left in the past time moved to extreme left, wokist, neomarxist! So calling Orbán far right nothing else, just the distorted view of the neoliberal mainstream. But dont worry, Trump will shake you back to your place, libs..."
ct_5,@Fischer024,2025-01-28T22:00:54+00:00,"4 days, 2:57:54","And by the way the fake opposition parties were partly allowed to win in Budapest because on the one hand it is more difficult to rig the elections in the capital were the regime has a much weaker social base and they don't even need to directly control Budapest in order to have a grip on most of the gerrymandered - usually poor, rural, easily controllable - constituencies on the national ""elections"". On the other hand, local authorites were stripped off from most of their autonomy anyway, so this situation absolutely fits the regime, that for now is interested in a softer form of autocratic rule."
ct_6,@Fischer024,2025-01-28T18:14:49+00:00,"3 days, 23:11:49","From a historical perspective, democracy has very little to no traditions in Hungary. Apart from a short period from the liberation from the semi-feudal, ultrareactionary, antisemitic, Nazi-collaborator regime in 1945 and the Stalinist takeover in 1948/49, it had two decades of - ultimately failed - experimentation with democracy ( but thanks to which it was able to join the EU in 2004 ) between 1989 and 2010/11, when Orban and his clique have started to lay down the foundations of their autocratic regime, based on models found in the various successor states of the former USSR or Turkey. And they did it - ""overhaul"" of the judiciary, introduction of a distorted, rigged electoral system, crushing critical media and even unilaterally replacing the constitution - without any meaningful opposition. Most people -very weakly educated in politics, history and stuffs like that - cannot even grasp the basic concepts of democracy, the rule of law etc. and the official oppositon parties - basically Orban's collaborators - spinelessly assisted all that, so they can run on the fake elections for their personal financial gain ( salaries as members of the fake parliament, public subsidies for the ""parliamentary"" parties and the bonus prize: getting to Strasbourg into the European Parliament... ). The newest ""opposition"" figure comes straight from the inner-circle of the regime with his one-man ""party"" as someone who apparently lost favor and trying to position himself as a potential successor of the aging Orban. And the lot of idiots believe, he will single-handedly restore democracy after winning in the framework of the fake electoral system, that is currently in place. In order to win, he has chance only in one case: if in a ""post-Orban"" situation he manages to win the support of enough inner-circle members/oligarchs of the regime. So the next autocrat following Orban could already be on his way, while in a society in which about 1 percent of the adult population is engaged in a political party ( a democratically organized one with real membership, not a one-man show, fake party with a fanatical fan base ) and less than 10 percent of the workforce is unionized, the chances of a democratic development is about just that... Sadly many countries are just not mature enough for democracy, due to their level of socio-economic development and Hungary according to how things stand historically and currently is one of them."
ct_7,@megamanx466,2025-01-28T13:26:25+00:00,"3 days, 18:23:25","Be careful of being democratic over there. Victor will just accuse you of trying to ""steal the vote"" if he doesn't get his way! Reminds me of someone more... local that gets along with Victor. 🤔-myself, from the U.S."
ct_8,@erikalmqvist,2025-01-27T18:28:18+00:00,"2 days, 23:25:18",So the journalist + all three interview objects all push a liberal narrative. No-one from the accused side gets to answer. This is not journalism but propaganda…
ct_9,@BurkhardEhnes,2025-01-27T17:55:22+00:00,"2 days, 22:52:22","Are there no ways the EU can fund Budapest?Declare key infrastructural demands European development projects!Budapest:Shout out a Tax de séjour or a rise of that!So that everybody who comes knows it supports Budapest against the Fidesz robbers.More will come to visit!And:Orbàn just laid out who he really is, what an selfish prepotent idiot, by excluding Ukraine's EU accession because of Ukraine's economic power.That's why Hungary's development despite all cheap RuZZian commodities, despite all grift, despite all European funding, despite Chinese ""investments"" is such mediocre, below it's neighbours and far below comparable economies.Hungary with its neighbour Ukraine in the EU would have all conditions in place to experience a development similar to Austria - had it not Orbàn."
ct_10,@figlargeza_Troll_ibusz,2025-01-27T11:32:09+00:00,"2 days, 16:29:09",Karácsony egy f@sz. Eddig semmi jót nem tett.
ct_11,@jegesbubu,2025-01-26T13:28:44+00:00,"1 day, 18:25:44",Wtf Arte? Half Budapest voted Orbán. Silly propaganda channel you are.
ct_12,@derelyeSan,2025-01-26T12:49:49+00:00,"1 day, 17:46:49","Orbán isn't ""extreme right"". That only seems so from the extreme left. For us normal people he is center right."
ct_13,@SPAWN-m4y,2025-01-26T11:00:42+00:00,"1 day, 15:57:42","Extreme right? This world is possesed by extremist, radical leftism so much, that everything is extreme, radical or far right to them. If this is extreme right, then jobbik isn't even on political spectrum."
ct_14,@Rocco532,2025-01-25T19:35:10+00:00,"1 day, 0:32:10","Nothing like beloved Budapest, once a world city always a world city.Budapest to Hungary is what a New York is to US or London to UK, a beacon of liberty, culture and quality of life. A melting pot we all love."
ct_15,@gaborbakos7058,2025-01-25T18:59:25+00:00,23:56:25,"Budapest is a very oppositional city, strongly anti-Orbán, anti-Fidesz, anti-Putin, pro-EU, pro-NATO.Budapest is a Western European city in a Eastern European country. And Orbán's mafia does everything to bleed it out as a penalty."
ct_16,@csabalaszlokiss6090,2025-01-25T15:08:02+00:00,20:05:02,"Donald Trump doesn't side with ""losers"" but Viktor Orban will be in trouble? Majka will know! 😂"
ct_17,@theWalserHimself,2025-01-25T12:22:54+00:00,17:19:54,"To the state media: if half of the world is ""extreme"", you should consider that's only your position, which is extreme."
ct_18,@gergelyhangodi9008,2025-01-25T11:14:24+00:00,16:11:24,The green bolshevik municipality is also despised by the locals. They had to mobilize foreigners with resident permits to achieve a mere couple-hundred-vote lead in the local elections last year.
