comment_id,username,comment_date,time_delta_since_upload,message
ct_1,ARTE Concert,2021-11-27 19:33:15.774509,-26:56,Bonsoir à tous ! Rendez-vous dans une petite demi-heure pour un concert exceptionnel de Sting au Panthéon !
ct_2,pollon sbattimento,2021-11-27 19:33:27.788052,-26:44,super!!
ct_3,ARTE Concert,2021-11-27 19:33:31.940522,-26:40,"D'ici là, n'hésitez pas à commencer à commenter si vous passez par là :slightly_smiling_face: "
ct_4,Antho,2021-11-27 19:41:05.710132,-19:06,Merci arte super !:slightly_smiling_face:
ct_5,ARTE Concert,2021-11-27 19:42:22.746736,-17:49,Avec plaisir @Anthony Ballester !
ct_6,ARTE Concert,2021-11-27 19:42:26.154858,-17:46,Bonsoir @pollon sbattimento :slightly_smiling_face:
ct_7,CRI,2021-11-27 19:43:18.950226,-16:53,concert du 6 octobre 2021
ct_8,ARTE Concert,2021-11-27 19:45:13.515487,-14:59,@CRI tout à fait ! :slightly_smiling_face:
ct_9,Jana Von Herzen,2021-11-27 19:46:44.464964,-13:28,Sting :smiling_face_with_heart_eyes: best wishes from Berlin :musical_notes::musical_note::partying_face:
ct_10,Mariusz Slowinski,2021-11-27 19:48:02.649577,-12:10,Bonsoir a toutes et tous de Pologne:)
ct_11,ARTE Concert,2021-11-27 19:48:07.536121,-12:05,Welcome @Jana von Herzen !
ct_12,Jana Von Herzen,2021-11-27 19:48:34.760719,-11:37,thank you ARTE Concert! :folded_hands::thumbs_up::red_heart:
ct_13,ARTE Concert,2021-11-27 19:49:14.520091,-10:58,Bienvenue @Mariusz Slowinski !
ct_14,ARTE Concert,2021-11-27 19:49:42.974655,-10:29,Only a few minutes to go ! :hourglass_done:
ct_15,Mariusz Slowinski,2021-11-27 19:49:44.617705,-10:28,Merci Arte :slightly_smiling_face:
ct_16,Mariusz Slowinski,2021-11-27 19:49:57.242506,-10:15,Can't wait :winking_face:
ct_17,pollon sbattimento,2021-11-27 19:50:42.301991,-9:30,:goodvibes::goodvibes:
ct_18,Marko Vujovic,2021-11-27 19:50:58.174954,-9:14,Dobro veče Paris!
ct_19,CRI,2021-11-27 19:51:28.801315,-8:43,première diffusion?
ct_20,ARTE Concert,2021-11-27 19:51:38.033974,-8:34,Hi @Marko Vujovic !
ct_21,ARTE Concert,2021-11-27 19:51:55.425528,-8:17,@CRI En effet !
ct_22,CRI,2021-11-27 19:52:15.804174,-7:56,merci
ct_23,Frank16,2021-11-27 19:55:13.928590,-4:58,bonjour
ct_24,ARTE Concert,2021-11-27 19:55:31.884205,-4:40,Bonjour @Frank16 ! bienvenue :slightly_smiling_face: :rocket:
ct_25,LEFEVRE Thierry et Odile,2021-11-27 19:56:24.819587,-3:47,bonjour
ct_26,ARTE Concert,2021-11-27 19:57:00.055098,-3:12,Bonjour @LEFEVRE Thierry et Odile :slightly_smiling_face:
ct_27,Stingako,2021-11-27 19:57:01.510425,-3:11,In about 3min!! 
ct_28,LEFEVRE Thierry et Odile,2021-11-27 19:57:03.073535,-3:09,:sparkling_heart:
ct_29,Epic Teaching of History,2021-11-27 19:57:06.438600,-3:06,Le prochain concert d'Ultra Vomit sera t-il diffusé en première partie ?
ct_30,CRI,2021-11-27 19:57:09.516830,-3:03,bonsoir à tous
ct_31,ARTE Concert,2021-11-27 19:57:30.008313,-2:42,@Epic Teaching of the History en première partie de ? :slightly_smiling_face:
ct_32,ARTE Concert,2021-11-27 20:01:22.052819,0:12,"Bonsoir à tous ! à l'occasion des 50 ans de FIP, découvrez un concert exceptionnel, tourné dans un lieu qui n'avait encore accueilli de formation musicale... Sting au Panthéon !"
ct_33,Stingako,2021-11-27 20:02:09.445660,0:59,Wow..Sting:blue_heart::blue_heart::blue_heart:
ct_34,Juanitha Sánchez,2021-11-27 20:03:06.849142,1:56,Calidad!
ct_35,Ali Delici,2021-11-27 20:03:51.968759,2:40,:raising_hands:
ct_36,Manfred Philips,2021-11-27 20:03:53.228548,2:42,An englishman in Paris :winking_face:
ct_37,Ahmed Ben Amar,2021-11-27 20:04:06.915146,2:57,👍🏿👍🏿👍🏿:folded_hands::folded_hands::folded_hands:
ct_38,ARTE Concert,2021-11-27 20:04:13.492283,3:03,"On commence avec ""Shape Of My Heart"" !"
ct_39,Amelies. anatomyyy,2021-11-27 20:04:58.534468,3:48,great
ct_40,luis martinez,2021-11-27 20:05:17.764365,4:09,Sounds great!!!
ct_41,Manfred Philips,2021-11-27 20:05:34.459894,4:25,En plus je suis fan de FIP :winking_face:
ct_42,PLUQUET Philippe,2021-11-27 20:05:45.094710,4:34,"guitare électrique pour Dominique sur Shape of my heart, tres rare."
ct_43,M@u J.,2021-11-27 20:05:48.267114,4:38,"Bonsoir @ARTE Concert merci pour envoyer le push msg, salutations & mazel tov de Berne :virtualhug:"
ct_44,Stingako,2021-11-27 20:05:50.901207,4:40,So beautiful .. place and music.. wow Sting:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::bouquet::bouquet::bouquet::bouquet:
ct_45,lauragoblin,2021-11-27 20:05:53.169873,4:42,:heart_suit::heart_suit::heart_suit:
ct_46,Arnaud Marchand,2021-11-27 20:05:54.105546,4:42,:fire:tip top:fire:
ct_47,Waringham,2021-11-27 20:06:10.492062,5:00,one of the greatest singer and songwriter of all times
ct_48,Emre Seven,2021-11-27 20:06:16.673996,5:07,where is shaggy?
ct_49,Manfred Philips,2021-11-27 20:06:21.220899,5:10,Magic place...
ct_50,just aqin,2021-11-27 20:06:22.740589,5:11,indonesia now 2 AM wacth thiss love it
ct_51,Elwesse,2021-11-27 20:06:31.416972,5:20,Magic
ct_52,Mia Sote,2021-11-27 20:06:55.885626,5:45,TY very much Arte concert !:red_heart::red_heart::red_heart:
ct_53,Jana Von Herzen,2021-11-27 20:07:00.049262,5:49,love it :folded_hands::red_heart:
ct_54,Chri'tof God'fighter,2021-11-27 20:07:14.212761,6:04,:thumbs_up::heart_suit:
ct_55,Liliane Bernage,2021-11-27 20:07:24.317063,6:13,magique... merci Monsieur
ct_56,Ali Delici,2021-11-27 20:07:30.085306,6:20,:heart_on_fire:
ct_57,Waringham,2021-11-27 20:07:48.314916,6:38,tolle Location
ct_58,ARTE Concert,2021-11-27 20:07:53.720314,6:43,Avec plaisir @Mia Sote !
ct_59,M@u J.,2021-11-27 20:07:59.407139,6:49,"ca semble meme intégré une camera 360, genial"
