comment_id,username,comment_date,time_delta_since_upload,message
ct_1,ヒロシです,2022-06-03 18:09:05.491751,-1:34:04,🤘🏻🤘🏻🤘🏻
ct_2,Linda Mikel,2022-06-03 19:36:36.677778,-6:33,More Music is On The Way
ct_3,Infinitus Channel,2022-06-03 19:39:58.645212,-3:11,iMi
ct_4,Domaniac,2022-06-03 19:43:22.270236,0:06,"Wird langsam mal Zeit, die Silence zu breaken"
ct_5,David Magallanes,2022-06-03 19:45:14.667254,1:58,BAM~!
ct_6,March Lowe,2022-06-03 19:47:19.603941,4:03,:red_heart:
ct_7,VITTORIO PAVAN,2022-06-03 19:47:48.892163,4:32,:love_you_gesture::love_you_gesture::love_you_gesture:
ct_8,🌸FLOWER GIRL🎀,2022-06-03 19:49:10.968438,5:54,oooh yes... Will watch it later tonight... at my kids gratuation
ct_9,bomberhack,2022-06-03 19:51:50.097726,8:34,Die sollten bei uns aufm Festival spielen. Sie kamen nicht....
ct_10,Michael Chavez,2022-06-03 19:59:04.535653,15:48,shout out to the guy holding it down for Lee!!
ct_11,March Lowe,2022-06-03 20:08:48.077741,25:32,Kragen!
ct_12,Jeff Rose,2022-06-03 20:10:34.012475,27:17,that's my buddy Kyle Edissi!
ct_13,Domaniac,2022-06-03 20:14:24.322870,31:08,"Heathen, Sacred Reich, Bier und Pizza - klingt nach meiner Art Abend."
ct_14,La lumière étoilée qui rayonne nos cœurs,2022-06-03 20:14:34.230067,31:18,"Hello. Thrash rules, yeah! Respect. From Belgium :sign_of_the_horns:🇧🇪"
ct_15,Domaniac,2022-06-03 20:16:28.109681,33:12,"Bienvenue, mon ami"
ct_16,James Gaudio,2022-06-03 20:17:10.681217,33:54,I met David when he sang for blind illusion
ct_17,Vadim Diesel,2022-06-03 20:20:53.909436,37:37,кто это играет?
ct_18,Elmer PatPaul,2022-06-03 20:22:32.494305,39:16,long live to metal \m/
ct_19,beermaniac31,2022-06-03 20:22:46.794252,39:30,Hello from France!!! Thanks for the streaming!!!
ct_20,DADDY,2022-06-03 20:23:14.233984,39:58,its beautiful :loudly_crying_face:
ct_21,Vadim Diesel,2022-06-03 20:23:24.974641,40:08,Hello from Russia
ct_22,DADDY,2022-06-03 20:24:15.989223,40:59,hello Greetings from my bed :hugging_face:
ct_23,Elmer PatPaul,2022-06-03 20:24:32.335927,41:16,un verdadero privilegio ver en directo los conciertos:goodvibes:
ct_24,Rodrigo Palmeiras Birigui,2022-06-03 20:25:24.446774,42:08,PALMEIRAS!
ct_25,Domaniac,2022-06-03 20:25:54.049741,42:37,THRASH!
ct_26,DADDY,2022-06-03 20:26:42.611798,43:26,:sign_of_the_horns:
ct_27,Vinylnerd Painear,2022-06-03 20:27:40.786114,44:24,moin
ct_28,La lumière étoilée qui rayonne nos cœurs,2022-06-03 20:27:53.108206,44:37,Merci Demoniac
ct_29,DADDY,2022-06-03 20:29:26.060535,46:10,How long they Play?
ct_30,Dirk Hougardy,2022-06-03 20:29:55.061249,46:39,Grüße ausm Pott:sign_of_the_horns:Glück auf Tacki
ct_31,La lumière étoilée qui rayonne nos cœurs,2022-06-03 20:30:29.191809,47:13,"Depuis 2013 au Graspop, ça fait très longtemps !"
ct_32,DADDY,2022-06-03 20:31:09.932022,47:54,ok thanks :slightly_smiling_face::thumbs_up:
ct_33,KG,2022-06-03 20:31:22.348426,48:06,Meddl ;-)
ct_34,Vinylnerd Painear,2022-06-03 20:32:01.533955,48:45,komme auch aus dem Pott
ct_35,Ramon Butteling,2022-06-03 20:32:02.599133,48:46,"Can wait to see them with Toxik at De Pul, Uden"
ct_36,Dirk Hougardy,2022-06-03 20:33:14.386383,49:58,Mülheim grüßt:smiling_face_with_sunglasses:
ct_37,Vinylnerd Painear,2022-06-03 20:34:05.022897,50:48,Oberhausen Grüßt auch und heiße auch Dirk mit Vornamen
ct_38,Jaime Moreno,2022-06-03 20:34:14.441754,50:58,saludos desde México...
ct_39,Dirk Hougardy,2022-06-03 20:34:46.423348,51:30,:slightly_smiling_face::thumbs_up:
ct_40,Walter Lopez,2022-06-03 20:36:04.891926,52:48,:sign_of_the_horns::sign_of_the_horns:
ct_41,Dhannerla,2022-06-03 20:36:19.326132,53:03,Scheiss Spätschicht :face_with_symbols_on_mouth: Viel Spaß euch allen
ct_42,DADDY,2022-06-03 20:36:36.439847,53:20,"dobra skoro każdy pisze we własnym języku to też coś napiszę ""coś"""
ct_43,Ivan Cabezas,2022-06-03 20:37:31.441176,54:15,aguante el pelado :clown_face:
ct_44,juan carlos villafañe,2022-06-03 20:40:16.691523,57:00,:love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture:
ct_45,KG,2022-06-03 20:40:42.392415,57:26,Was eine Macht!!! Genial!
ct_46,Domaniac,2022-06-03 20:42:09.935754,58:53,David schon ne coole Sau. Muss ich wohl doch nach Mannehim.
ct_47,KG,2022-06-03 20:43:50.763533,1:00:34,Wann spielen die in Mannheim?
ct_48,La lumière étoilée qui rayonne nos cœurs,2022-06-03 20:44:35.064702,1:01:19,Vivement le Graspop
ct_49,Domaniac,2022-06-03 20:45:32.494196,1:02:16,@KG nächste Woche. Am 8. im 7er
ct_50,KG,2022-06-03 20:46:22.017371,1:03:05,hm... könnte man mal machen. Danke - konnte nicht selber schauen - hänge am Bildschirm fest ;-)
ct_51,Domaniac,2022-06-03 20:46:39.848720,1:03:23,Death! by hangiiiiing
ct_52,Jose Francisco Mejia Hernandez,2022-06-03 20:52:02.802455,1:08:46,hellow from the gutter!!!!! the mexican iron gang 🇲🇽!!!!!!
ct_53,Madmars Motorhead,2022-06-03 20:56:37.996180,1:13:21,:tumbler_glass:
ct_54,Nietzsche Ente,2022-06-03 20:57:19.080174,1:14:03,Thrash!
ct_55,Madmars Motorhead,2022-06-03 20:57:56.842748,1:14:40,:sign_of_the_horns:
ct_56,KG,2022-06-03 20:58:23.714076,1:15:07,"ich bin nicht derjenige, der hier ausrastet!"
ct_57,Jaycen Thomas,2022-06-03 20:59:54.066227,1:16:38,🤘🏼🤘🏼🤘🏼🤘🏼🤘🏼
ct_58,Domaniac,2022-06-03 21:00:18.086728,1:17:02,"wie, kein Breaking the Silence?"
