comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Vinylestimes Classic Rock Radio,2022-06-04 16:57:09.039116,0:33,Ready !
ct_2,ヒロシです,2022-06-04 17:03:04.627554,6:28,🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻
ct_3,Diana Eisemann,2022-06-04 17:05:22.866332,8:46,hi
ct_4,Stephonhisbike,2022-06-04 17:07:35.693425,10:59,Hi everyone !!!! :slightly_smiling_face:
ct_5,Stephonhisbike,2022-06-04 17:08:44.568968,12:08,this band sounds fresh and catchy
ct_6,André Vergoossen,2022-06-04 17:09:58.728470,13:22,yes... like the 80 ties sound from The Nightflight Orchestra:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_7,Völle Rockt - meine Musiktipps zur Apokalypse!,2022-06-04 17:10:45.109514,14:09,Melodic Rock & Sonnenschin. Perfekt!
ct_8,Diana Eisemann,2022-06-04 17:11:04.999504,14:29,i think the background singers are to Loud
ct_9,Sandra Maria Carvalho Nicolau,2022-06-04 17:12:49.695110,16:13,show excelente!!!
ct_10,Darren Diggle,2022-06-04 17:14:22.126724,17:46,How long as this been on ? 
ct_11,Diana Eisemann,2022-06-04 17:14:49.352142,18:13,5 minutes
ct_12,Sven Lundblad,2022-06-04 17:15:03.464649,18:27,NFO:red_heart:
ct_13,vigilance Mamta,2022-06-04 17:15:14.773346,18:38,it's so nice
ct_14,Stephonhisbike,2022-06-04 17:15:28.176851,18:52,@Diana Eisemann it seems that the soundboard guy has read your comment they sound less loud now hihihihi
ct_15,Darren Diggle,2022-06-04 17:15:37.396372,19:01,@Diana Eisemann thank you 
ct_16,Stephonhisbike,2022-06-04 17:16:30.132765,19:54,I've seen a coockie monsteeeeer shirt !!!!!!! :face_with_tongue:
ct_17,Darren Diggle,2022-06-04 17:17:09.487225,20:33,Love Bjorn's voice 
ct_18,Dhannerla,2022-06-04 17:17:16.047764,20:40,viel Spaß euch allen!!!Aber ich bin raus!Aber die Sängerin ist sehr attraktiv :winking_face:
ct_19,Diana Eisemann,2022-06-04 17:17:27.813742,20:51,yes at the first Song the background singers Were louder than the lead singer
ct_20,Stephonhisbike,2022-06-04 17:18:46.652319,22:10,yeah that's true we could listen them only^^
ct_21,Vinicius Carvalho Nicolau,2022-06-04 17:19:01.635680,22:25,Nostalgia pura
ct_22,no puppet sounds,2022-06-04 17:19:31.568427,22:55,"TNFO rules! Danke WDR Rockpalast, let's dance!"
ct_23,Gladbeck Bulls,2022-06-04 17:20:06.790382,23:30,Was ein Schrott
ct_24,Diana Eisemann,2022-06-04 17:20:30.753595,23:54,wieso Schrott?
ct_25,Gladbeck Bulls,2022-06-04 17:21:11.262669,24:35,Eher was für den ESC aber nicht für ein Rock/Metal Festival.
ct_26,Diana Eisemann,2022-06-04 17:23:37.889304,27:01,Ich glaube Rock und metal ist vielfältig. Und genau das ist daran so faszinierend. Die Band ist irgendwie einzigartig. ist halt eher der metal/Rock Sound aus den 80igern als der glam Rock seine Hochze
ct_27,Gladbeck Bulls,2022-06-04 17:24:51.454979,28:15,"Das hat nicht mal was mit echten Glamrock zu tun. Glamrock sind für mich Sweet, Trex , Slade und co."
ct_28,Diana Eisemann,2022-06-04 17:25:36.890962,29:00,Das ist typischer Sound des skandinavischen glam rocks
ct_29,Gladbeck Bulls,2022-06-04 17:25:56.572995,29:20,Und seine Hochzeit hatte der Glam in den 70ern
ct_30,Francisco Cisneros,2022-06-04 17:27:50.396799,31:14,Hell yeah!!!!
ct_31,Eagle Andrash,2022-06-04 17:30:43.517975,34:07,Gemini!!! :gemini: classic rock rules besides death metal :winking_face: 
ct_32,no puppet sounds,2022-06-04 17:30:53.403722,34:17,:smiling_face_with_heart_eyes:Eddie Van Halen Top on the right!
ct_33,Diana Eisemann,2022-06-04 17:31:42.897452,35:06,Ich kannte die vorher net aber ich find die Band echt gut
ct_34,Klaus Kesselring (Traumburg),2022-06-04 17:32:55.104210,36:19,Gähn
ct_35,Metalhead das_ METALHEAD,2022-06-04 17:33:54.090421,37:18,Kommerz Kacke:face_with_tears_of_joy:
ct_36,Metalhead das_ METALHEAD,2022-06-04 17:35:25.746303,38:49,Fehlt nur noch Eye of the Tiger als cover
ct_37,The Eighties,2022-06-04 17:35:35.853951,38:59,"Francis, das hat auch nichts mit Glamrock zu tun, sondern mit 80-er Jahre-Rock ala Foreigner usw. Und die Jungs von NFO haben einfach Spass den alten Rock zu spielen. Ist ein Spass-Projekt."
ct_38,no puppet sounds,2022-06-04 17:36:12.044633,39:36,White Jeans!🤘🏾
ct_39,Lsatanset,2022-06-04 17:36:24.212124,39:48,que grandes NFO
ct_40,Алексей Воронин,2022-06-04 17:36:46.621291,40:10,Круто!!!
ct_41,The Eighties,2022-06-04 17:37:06.045952,40:30,Auch Malmsteen hatte schon ABBA gecovert
ct_42,ruetteltuennes,2022-06-04 17:42:20.974491,45:45,Polonaise Blankenese :-))
ct_43,Albert Ibchi,2022-06-04 17:48:12.601411,51:36,Leider keine Karte aber an der Brücke kann man das auch ziemlich gut hören:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
