comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Juani Cappella,2024-09-13 18:02:57.532021,-1:57:29,"I'm from Argentina and just found out that they are coming here to play in November, as I didn't think they would come I bought a ticket to go to the US (Detroit) to see the show"
ct_2,Juani Cappella,2024-09-13 18:03:16.630900,-1:57:10,already bought the ticket (but of course it was not the only reason to travel)
ct_3,Juani Cappella,2024-09-13 18:03:25.196718,-1:57:01,so excited 
ct_4,Tufan Aydın,2024-09-13 18:42:11.635425,-1:18:15,ok
ct_5,Adrian Sandoval,2024-09-13 18:57:37.066482,-1:02:49,Saludos desde Durango Mex. 
ct_6,M A L V A R E L L A N,2024-09-13 19:02:25.429423,-58:01,wainting for
ct_7,Erick Landaburu,2024-09-13 19:02:57.369238,-57:29,can't wait
ct_8,RetroSound,2024-09-13 19:03:14.538755,-57:12,Berlin concert was fantastic. :musical_keyboard::dizzy::thumbs_up:
ct_9,TimLM,2024-09-13 19:04:00.599129,-56:26,Hope they gonna play again in France cause tickets were sold waaaay to fast
ct_10,Ali Hammami,2024-09-13 19:04:49.740364,-55:36,"ça me rappellera Primavera Sound 2016, avec le sunset sur la plage de Barcelone..."
ct_11,Ulises Salaices,2024-09-13 19:04:56.776611,-55:29,hello
ct_12,Groover RPM,2024-09-13 19:14:35.490358,-45:51,they forgot to add wales to their gigs
ct_13,Nina,2024-09-13 19:35:11.622369,-25:15,Omg!!!!! I want to see it but I’m seeing them in October here in NYC
ct_14,M A L V A R E L L A N,2024-09-13 19:36:20.318931,-24:06,I will see them in cdmx
ct_15,Headsknow,2024-09-13 19:36:20.792987,-24:05,Deck Safari the Perfect Companion piece to Moon Safari. If you haven’t heard it search for it. Voyage de Penelope was the song that made me know I
ct_16,Headsknow,2024-09-13 19:37:22.002965,-23:04,*Would be listening to Air forever 
ct_17,Ana Treviño,2024-09-13 19:37:24.646744,-23:02,Cant wait :blue_heart:
ct_18,popcorntommy,2024-09-13 19:47:54.630791,-12:32,hi
ct_19,Cóndor Multicolor,2024-09-13 19:50:21.775522,-10:04,grettings from Colombia!!
ct_20,Max Bacciu,2024-09-13 19:50:40.881002,-9:45,grandissimi
ct_21,H. Chips,2024-09-13 19:53:29.232457,-6:57,:red_heart::red_heart::red_heart:
ct_22,Eduardo Hormazabal,2024-09-13 19:54:22.674023,-6:04,Greetings from Chile!
ct_23,M A L V A R E L L A N,2024-09-13 19:55:53.815831,-4:32,greetings from mars
ct_24,Arnaud Lefebvre,2024-09-13 19:58:31.055115,-1:55,trop hâte !
ct_25,Bienvenido a los 90 Podcast,2024-09-13 19:58:40.921705,-1:45,Hello from Madrid
ct_26,popcorntommy,2024-09-13 19:58:45.070606,-1:41,omg 60 secs 
ct_27,popcorntommy,2024-09-13 19:59:08.568338,-1:18,uk here MS is my fave album
ct_28,Unfocused,2024-09-13 19:59:09.172530,-1:17,greetings from Malta
ct_29,ARTE Concert,2024-09-13 19:59:21.977510,-1:04,Bonsoir à tous ! Bienvenue dans le chat :mirror_ball:
ct_30,Ignacio Calvo,2024-09-13 19:59:25.180578,-1:01,Kelly?
ct_31,david bonnefon,2024-09-13 19:59:27.004271,-0:59,Bonsoir la team Air :love_you_gesture:
ct_32,benjamin favede,2024-09-13 19:59:32.224044,-0:54,Bonsoir !
ct_33,popcorntommy,2024-09-13 19:59:41.394479,-0:45,bonsoir oo la la :)
ct_34,Groover RPM,2024-09-13 20:00:14.830847,-0:11,come on then
ct_35,Agustín Pérez,2024-09-13 20:00:19.495110,-0:07,greetings from Chileeee 
ct_36,david bonnefon,2024-09-13 20:00:20.630548,-0:06,Merci @arte pour cette dinguerie :smiling_face_with_heart_eyes:
ct_37,ARTE Concert,2024-09-13 20:00:23.890195,-0:02,Vous êtes prêts pour un super concert ? :sparkles:
ct_38,Lorenzo Lamas,2024-09-13 20:02:09.498356,0:04,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::star_struck::star_struck:
ct_39,ConspiracyofMisfits,2024-09-13 20:02:12.403363,0:06,:star_struck:
ct_40,John Seberger,2024-09-13 20:02:13.650443,0:08,Hi from Philadelphia!
ct_41,Lorenzo Lamas,2024-09-13 20:02:21.038798,0:15,saludos desde Argentins
ct_42,Arnaud Lefebvre,2024-09-13 20:02:21.256164,0:15,GOOOOO !
ct_43,Agustín Pérez,2024-09-13 20:02:27.023389,0:21,yeessssssssss
ct_44,Amy Cole,2024-09-13 20:02:34.729377,0:29,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_45,benjamin favede,2024-09-13 20:02:37.129012,0:31,Alors ?!
ct_46,David Bonilla,2024-09-13 20:02:40.815000,0:35,LTS GO!
ct_47,benjamin favede,2024-09-13 20:02:44.394239,0:38,Ça part ?!
ct_48,Andree Philippe Charpentier,2024-09-13 20:02:50.087243,0:44,Saludo es desde la cintura de americana Panamá🇵🇦
ct_49,Marcello Fusillo,2024-09-13 20:02:56.573892,0:51,saluti dal sud Italia - - - Puglia
ct_50,tloves max,2024-09-13 20:03:03.595852,0:58,hi dad
ct_51,filtav,2024-09-13 20:03:16.293490,1:10,:face-red-heart-shape:
ct_52,Mark Plank,2024-09-13 20:03:23.672871,1:18,🙌🏽🙌🏽
ct_53,Diego Licea,2024-09-13 20:03:24.640562,1:19,Suavee
ct_54,May,2024-09-13 20:03:26.479313,1:21,:washhands::washhands::washhands:
ct_55,Dimitri Magnani,2024-09-13 20:03:29.239249,1:23,GODO
ct_56,Irie Elliott,2024-09-13 20:03:32.799252,1:27,:maple_leaf::dashing_away:
ct_57,MastaKillah “MASTAKILLAHDMG” DMG,2024-09-13 20:03:40.841105,1:35,glad to see this here as missed out seeing them in person
ct_58,Sierra Alisos,2024-09-13 20:03:44.754479,1:39,OOOOhhhhh
ct_59,filtav,2024-09-13 20:03:47.510638,1:42,gold album
ct_60,Nicole Ponce,2024-09-13 20:04:07.611138,2:02,Edi te amo :)
ct_61,Mabel González,2024-09-13 20:04:29.454452,2:24,Nos vemos en Chile!! <3
ct_62,rainbow void,2024-09-13 20:04:48.098411,2:42,see you in LA at the end of the month :dizzy: 
ct_63,Hal,2024-09-13 20:04:50.793688,2:45,"ducking brilliant, that bass!!"
ct_64,Sterra e,2024-09-13 20:04:51.949780,2:46,I wanna go back
ct_65,Juan Camilo Granada,2024-09-13 20:05:02.367038,2:56,air :wind_face:los amo!
ct_66,filtav,2024-09-13 20:05:12.611484,3:07,goozebumps my fave track
ct_67,tloves max,2024-09-13 20:05:27.820063,3:22,Great song to start with :two_hearts:
ct_68,Juan,2024-09-13 20:05:38.292278,3:32,Noviembre en Argentina 🇦🇷 !!!!
ct_69,Leesmap Man,2024-09-13 20:05:40.997890,3:35,"well, the album starts with that track too"
