comment_id,username,comment_date,time_delta_since_upload,message
ct_1,KinGiz,2024-11-12 20:02:52.443730,0:46,is it live a concert stream?
ct_2,디제이,2024-11-12 20:03:24.252357,1:18,ㄷㄷ
ct_3,ARTE Concert,2024-11-12 20:03:43.295433,1:37,Hello everybody! Glad you all here to enjoy this amazing show!
ct_4,ARTE Concert,2024-11-12 20:03:59.422553,1:53,@KinGiz It has been recorded a few weekds ago. ;)
ct_5,Roland Jeske,2024-11-12 20:04:11.809364,2:06,Hello everybody! Lets enjoy the show!
ct_6,guido bustamante wakamatsu,2024-11-12 20:04:21.217118,2:14,:eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape:
ct_7,Petra Benešová,2024-11-12 20:04:59.505668,2:54,Hello 🙌🏻:partying_face: woow 🙌🏻🙌🏻
ct_8,ARTE Concert,2024-11-12 20:05:15.962085,3:10,This show has been recorded in September in Antwerp (Belgium). Who was there?
ct_9,Roland Jeske,2024-11-12 20:05:17.856987,3:12,Goosebumps
ct_10,TheSorrow2007,2024-11-12 20:05:45.997236,3:40,Bonsoir à tous !
ct_11,Alexander Fleener,2024-11-12 20:05:52.947736,3:47,All profits for play25 shows going to charity 
ct_12,ARTE Concert,2024-11-12 20:06:36.205202,4:30,@TheSorrow2007 Et bonsoir !
ct_13,Alexander Dewispelaere,2024-11-12 20:06:37.798757,4:32,The concert got great reviews in the Belgian press.
ct_14,ARTE Concert,2024-11-12 20:07:03.252929,4:57,"@Alexander Dewispelaere Well deserved, you'll see ;)"
ct_15,糖油饼,2024-11-12 20:07:05.795421,5:00,酷
ct_16,Eric,2024-11-12 20:08:04.067206,5:58,"Well the stuff you can hear sounds good, except the stuff Moby is doing..."
ct_17,Gerardo Perez,2024-11-12 20:08:19.658095,6:14,yay
ct_18,Tim Weibel,2024-11-12 20:08:28.727697,6:23,agree lol 
ct_19,Aleksandr,2024-11-12 20:09:23.881720,7:18,Nice! :smiling_face_with_heart_eyes:
ct_20,Andrey Deruga,2024-11-12 20:09:43.679067,7:38,Thanks for the surprise. Very cool!!
ct_21,Alexander Thunderson,2024-11-12 20:09:44.755907,7:39,Yaşlanmışsın Mobyyyyyyy
ct_22,T,2024-11-12 20:09:46.001612,7:40,👏🏻👏🏻👏🏻
ct_23,Fer,2024-11-12 20:09:57.310639,7:51,I say AAAAAHHHHHHHHHHHHH
ct_24,Erik Van Muylem,2024-11-12 20:09:59.001124,7:53,still happy we can enjoy some of the concert
ct_25,Alexander Dewispelaere,2024-11-12 20:09:59.999409,7:54,A trip down memory lane for most of the ppl there I suppose
ct_26,Petra Benešová,2024-11-12 20:10:12.856810,8:07,👏🏻👏🏻👏🏻
ct_27,Lyli J,2024-11-12 20:10:27.420174,8:21,well he be playing lots of stuff :)
ct_28,Carli Carpa,2024-11-12 20:11:12.317247,9:06,Grüße an Simona!
ct_29,Franco,2024-11-12 20:11:27.452750,9:21,temazo
ct_30,AntmanJr,2024-11-12 20:11:28.636277,9:23,he doesn't have tattoos anymore?
ct_31,AntmanJr,2024-11-12 20:11:55.378880,9:49,let's gooooo
