comment_id,username,comment_date,time_delta_since_upload,message
ct_1,ARTE Concert,2024-08-15 23:01:04.499929,1:08,"Hello, everybody :red_heart: "
ct_2,ARTE Concert,2024-08-15 23:01:08.931404,1:13,how are you ? 
ct_3,Mia Brava,2024-08-15 23:01:35.769285,1:39,Hiiii from south of Spain
ct_4,Carell Cassey,2024-08-15 23:01:39.663566,1:43,:hand-pink-waving:
ct_5,ARTE Concert,2024-08-15 23:01:52.672124,1:56,@Mia Brava welcome !
ct_6,ARTE Concert,2024-08-15 23:02:01.724551,2:05,@Carell Casey good evening... or morning ? 
ct_7,Dirk Dehncke,2024-08-15 23:02:02.698710,2:06,i'm from Germany Hessen
ct_8,YA LYS,2024-08-15 23:02:02.860500,2:06,Yaaaaaaaaaa
ct_9,Alejandria Rodriguez,2024-08-15 23:02:15.437500,2:19,🇲🇽
ct_10,ARTE Concert,2024-08-15 23:02:22.498701,2:26,"@Dirk Dehncke Hello from Brittany, France ! "
ct_11,Postpunk 1982,2024-08-15 23:02:30.788647,2:34,My wife loves Jamie. 
ct_12,Carell Cassey,2024-08-15 23:02:32.693938,2:36,"It's 4:02 pm in Madison, WI right now"
ct_13,Mia Brava,2024-08-15 23:02:37.447670,2:41,Enjoying!! thanks.
ct_14,Carell Cassey,2024-08-15 23:03:05.081518,3:09,@ARTE Concert afternoon/evening
ct_15,ARTE Concert,2024-08-15 23:03:51.610075,3:55,"@Postpunk 1982 haha, aren't you jealous ?"
ct_16,ARTE Concert,2024-08-15 23:04:02.012652,4:06,@Carell Casey Good afternoon !
ct_17,Postpunk 1982,2024-08-15 23:04:11.694992,4:15,"Nope, I’ve made peace with it! "
ct_18,H G,2024-08-15 23:04:14.242153,4:18,22:04 here Lowe U babe ::::::::::>
ct_19,Carell Cassey,2024-08-15 23:04:30.648060,4:34,@ARTE Concert Thank you. Thanks for these cool live streaming shows!
ct_20,🤘Александр🎸,2024-08-15 23:04:42.092480,4:46,чё за перцы? :hot_pepper:
ct_21,Сергей Рябов,2024-08-15 23:05:28.061562,5:32,hello everyone
ct_22,THEMIS,2024-08-15 23:06:17.438906,6:21,"I love them! Saw them yesterday in Cologne front row, best show ever. :black_heart::black_heart::black_heart:"
ct_23,Natalie L,2024-08-15 23:06:23.552173,6:27,love them
ct_24,ARTE Concert,2024-08-15 23:07:42.714303,7:46,@Carell Casey You're welcome ! Cheers from France :winking_face: 
ct_25,ARTE Concert,2024-08-15 23:07:46.741030,7:50,URA Fever !
ct_26,ARTE Concert,2024-08-15 23:08:12.685430,8:16,"@THEMIS We broadcasted their concert at the ARTE Concert Festival last year, it was amazing too !"
ct_27,élodie Jacques,2024-08-15 23:09:32.157134,9:36,uiiiiiiiiiii Ura fever . :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:
ct_28,king-chang perspective,2024-08-15 23:09:46.594571,9:50,かっけえ
