comment_id,username,comment_date,time_delta_since_upload,message
ct_1,gonzalonrok,2025-07-12 20:19:36.933486,-1:00:35,:hand-pink-waving:
ct_2,Adiel Flores Chora,2025-07-12 20:52:51.193227,-27:21,:face-red-heart-shape:
ct_3,ARTE Concert,2025-07-12 21:03:42.753067,-16:29,Bienvenue tout le monde ! Est-ce que vous êtes prêts pour un show cosmique avec L’Impératrice ? :star_struck:
ct_4,ARTE Concert,2025-07-12 21:03:54.611303,-16:17,Welcome everyone! Are you ready for a cosmic show with L’Impératrice? :star_struck:
ct_5,Albane Stalars,2025-07-12 21:08:42.357763,-11:30,:pink_heart::pink_heart::pink_heart:
ct_6,Alan O.,2025-07-12 21:20:32.597937,0:11,Readyy🙌🏻:red_heart:
ct_7,Gael Gronert,2025-07-12 21:21:20.882936,0:59,radis !
ct_8,ARTE Concert,2025-07-12 21:22:35.432722,2:14,Let's go! :red_heart: 
ct_9,Pierrette Kaiser,2025-07-12 21:22:55.217749,2:34,:heart_suit::heart_suit::heart_suit::heart_suit:merci bcp 
ct_10,Lorena M,2025-07-12 21:23:08.732104,2:47,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_11,Samuel David Martinez Fernández,2025-07-12 21:23:42.721952,3:21,Hello
ct_12,ARTE Concert,2025-07-12 21:24:33.702253,4:12,Qui est déjà fan de L’Impératrice ici ? Faites du bruit ! / Who here is already a fan of L’Impératrice? Make some noise! :raising_hands:
ct_13,Pierrette Kaiser,2025-07-12 21:24:51.378733,4:30,Moi!!!!!! :heart_suit::heart_suit::heart_suit::heart_suit:
ct_14,ARTE Concert,2025-07-12 21:26:11.558918,5:50,Avez-vous déjà vu le groupe en concert @Pierrette Kaiser ? :smiling_face_with_heart_eyes:
ct_15,Ismahene ATTALLAH ,2025-07-12 21:26:28.379240,6:07,flour restera irremplaçable :broken_heart:
ct_16,Patrik Hostasek,2025-07-12 21:26:29.207581,6:08,:face-blue-covering-eyes::face-blue-covering-eyes::face-blue-covering-eyes:
ct_17,myh3@rtb3@tz4u,2025-07-12 21:28:18.737377,7:57,Ooh 
ct_18,David V.,2025-07-12 21:28:25.775713,8:04,♫♫
ct_19,Ismahene ATTALLAH ,2025-07-12 21:28:37.379747,8:16,"je suis sur le point de pleurer, l'impératrice c'est plus pareil :crying_face:"
ct_20,2T,2025-07-12 21:29:06.555990,8:45,"Missing Flore, but need to give the new one a chance :winking_face: "
ct_21,ARTE Concert,2025-07-12 21:29:39.494320,9:18,Agree @2T :grinning_face: 
ct_22,myh3@rtb3@tz4u,2025-07-12 21:29:54.407504,9:33,When will L'Impératrice they tour Europe?
ct_23,Aaron Gibson,2025-07-12 21:30:23.185992,10:02,"Not gonna lie, missing Flore"
ct_24,ARPAPRO magazine,2025-07-12 21:30:54.784783,10:33,de que trata este concierto?
ct_25,Mossez,2025-07-12 21:31:15.323625,10:54,il y a encore la voix de flore en fond non ?
ct_26,Hudra,2025-07-12 21:31:36.523570,11:15,rien pour moi
ct_27,Steph,2025-07-12 21:32:09.947137,11:49,Je découvre ce groupe en ce moment par ce live sur lequel je tombe par hasard. Merci Arte pour tout ces concerts!
ct_28,Sporty Otter Pop (René Lilly),2025-07-12 21:32:11.284828,11:50,bon soir
ct_29,Sporty Otter Pop (René Lilly),2025-07-12 21:32:57.790932,12:36,"^^ Arte Concerts, The best place for music eclectics"
