comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Il N'y a Pas d'Orchestre / IHAVENOBAND,2024-08-16 19:23:35.892595,-1:15:54,:eyes:
ct_2,Gabriel Liberato,2024-08-16 19:42:25.002417,-57:05,Raein mentioned!!!
ct_3,Gabriel Liberato,2024-08-16 19:42:40.290273,-56:50,or is it David Lynch?
ct_4,Il N'y a Pas d'Orchestre / IHAVENOBAND,2024-08-16 19:50:22.741338,-49:07,"heya ^^ it is a little bit of both c': even though I'm ashamed to say I didn't watch MD or listenned to raein in years, I just really like the sound/flow of this sentence c: "
ct_5,ARTE Concert,2024-08-16 20:40:48.812580,1:07,Bonsoir à tous ! Vous êtes prêts pour Blonde Redhead ?
ct_6,Official Morgan McGinnis Archive,2024-08-16 20:41:02.215657,1:21,cheers from California :slightly_smiling_face: 
ct_7,ARTE Concert,2024-08-16 20:41:18.903772,1:37,@Official Morgan McGinnis Archive Welcome ! :)
ct_8,Pao,2024-08-16 20:41:20.116149,1:39,excited!! Cheers from México
ct_9,Bachwildoat,2024-08-16 20:41:23.315989,1:42,Miseryyyyy
ct_10,Pao,2024-08-16 20:41:35.401669,1:54,Thanks so much ARTE. You guys rock
ct_11,Il N'y a Pas d'Orchestre / IHAVENOBAND,2024-08-16 20:41:46.803184,2:05,<3
ct_12,ARTE Concert,2024-08-16 20:41:52.935328,2:11,@JP Hey ! 
ct_13,argiliza,2024-08-16 20:42:03.104145,2:22,Yesssssss !!!!!!!! 
ct_14,ARTE Concert,2024-08-16 20:42:20.519311,2:39,@JP Thank you to be there for watching the live ;)
ct_15,Roxy - Lee ,2024-08-16 20:42:21.925619,2:40,:ok_hand::ok_hand::ok_hand:
ct_16,argiliza,2024-08-16 20:42:23.671725,2:42,trop merciiii Arté !!!!!
ct_17,Vosscano,2024-08-16 20:42:30.640056,2:49,I love you Blonde Redhead! :sparkling_heart:
ct_18,ARTE Concert,2024-08-16 20:42:54.924452,3:14,@argiliza Bonsoir ! Merci à vous :)
ct_19,Vosscano,2024-08-16 20:43:10.561543,3:29,Falling Man…
ct_20,Official Morgan McGinnis Archive,2024-08-16 20:43:13.061993,3:32,we really gettin Falling Man as opener? hell yes.....
ct_21,argiliza,2024-08-16 20:43:13.515218,3:32,vouiiiiii <3
ct_22,Il N'y a Pas d'Orchestre / IHAVENOBAND,2024-08-16 20:44:58.168664,5:17,* ascends * 
ct_23,Kiaro Pallo,2024-08-16 20:45:00.982770,5:20,song?
ct_24,Il N'y a Pas d'Orchestre / IHAVENOBAND,2024-08-16 20:45:08.776295,5:27,Falling man
ct_25,Il N'y a Pas d'Orchestre / IHAVENOBAND,2024-08-16 20:45:16.248420,5:35,from misery is a butterfly
ct_26,ARTE Concert,2024-08-16 20:45:35.280831,5:54,@Kiaro Pallo Falling man
ct_27,ARTE Concert,2024-08-16 20:46:08.289504,6:27,@Il N'y a Pas d'Orchestre / IHAVENOBAND Bonsoir ! :)
ct_28,Il N'y a Pas d'Orchestre / IHAVENOBAND,2024-08-16 20:46:30.207211,6:49,coucou c: merci pour le show c: :red_heart: 
ct_29,Il N'y a Pas d'Orchestre / IHAVENOBAND,2024-08-16 20:47:13.601089,7:32,omg la pluie :loudly_crying_face:
ct_30,Vosscano,2024-08-16 20:47:22.768785,7:41,:clapping_hands::clapping_hands::clapping_hands:
ct_31,Conqueror,2024-08-16 20:47:25.267833,7:44,dope
ct_32,Vosscano,2024-08-16 20:47:36.414574,7:55,Dr Strangeluv…
ct_33,MrArpSolina,2024-08-16 20:47:44.785607,8:03,Is it live or a replay?
ct_34,Conqueror,2024-08-16 20:47:51.467441,8:10,live
ct_35,Il N'y a Pas d'Orchestre / IHAVENOBAND,2024-08-16 20:48:01.336740,8:20,dr strangeluv :red_heart: 
ct_36,Vosscano,2024-08-16 20:48:11.708400,8:30,Live baybay! Same setlist for months tho
