comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Stefan Rosbeek,2018-08-18 17:20:51.080653,1:28,yes here we go again
ct_2,WDR Rockpalast,2018-08-18 17:22:05.431067,2:43,:sign_of_the_horns:
ct_3,Adriano Lourenço,2018-08-18 17:22:45.837944,3:24,:sign_of_the_horns:top top top
ct_4,xTLOXx,2018-08-18 17:28:13.985927,8:52,very topppp
ct_5,xTLOXx,2018-08-18 17:28:22.897237,9:01,korpiklaniii love this band
ct_6,RSProduxx,2018-08-18 17:29:31.849513,10:10,"Hallo, Rockpalast :)"
ct_7,WDR Rockpalast,2018-08-18 17:30:00.839469,10:38,:waving_hand:
ct_8,RSProduxx,2018-08-18 17:31:07.310432,11:45,Ihr hättet echt mehr Klicks verdient... Seit gut 20 jahren meine nr. 1 für Konzerte :grinning_face_with_big_eyes:
ct_9,WDR Rockpalast,2018-08-18 17:31:42.685820,12:21,Wir arbeiten dran :winking_face: Danke :raising_hands:
ct_10,Pqncho99 ,2018-08-18 17:34:46.439442,15:25,when bullet for my valentine
ct_11,Olaf Muster,2018-08-18 17:35:35.432979,16:14,Meddl
ct_12,wast3mytim3,2018-08-18 17:35:52.911691,16:31,Dafür Zahlt man doch gerne seine Gebühren :winking_face:
ct_13,RSProduxx,2018-08-18 17:36:11.119228,16:49,Jop :)
ct_14,ädhn,2018-08-18 17:36:36.202962,17:14,thanks fuck THANKS
ct_15,WDR Rockpalast,2018-08-18 17:40:01.449039,20:39,Bullet For My Valentine aren't playing at this year's Summer Breeze?
ct_16,EvilJester,2018-08-18 17:40:51.053113,21:29,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_17,RSProduxx,2018-08-18 17:44:11.786315,24:50,:peace_symbol::heart_decoration: and :sign_of_the_horns::grinning_face_with_big_eyes:
ct_18,T3uber,2018-08-18 17:45:38.299525,26:17,Neben Französisch ist Finnisch sicherlich die melodischste Sprache Europas... :grinning_face_with_big_eyes:
ct_19,Rodrigo T,2018-08-18 17:45:54.146843,26:33,hail from brazil
ct_20,T3uber,2018-08-18 17:45:59.995487,26:38,Give us more HUMPPA!!!
ct_21,T3uber,2018-08-18 17:46:26.891853,27:05,Hi Brazil!
ct_22,RSProduxx,2018-08-18 17:46:30.202635,27:09,cooldown phase...just wait :grinning_face_with_big_eyes:
ct_23,rebeca rosinha gamer,2018-08-18 17:46:36.801307,27:15,\m/ sao luis ma brazil
ct_24,RSProduxx,2018-08-18 17:47:14.894453,27:53,Alemania... salut :grinning_face_with_big_eyes:
