comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Kuddel Kuddel,2021-05-10 20:00:23.399637,0:22,Mahlzeit zusammen!
ct_2,t a b i t h a,2021-05-10 20:01:15.517778,1:14,oooo yea
ct_3,Sidnei Oliveira,2021-05-10 20:01:28.355506,1:27,\o/
ct_4,t a b i t h a,2021-05-10 20:02:12.222029,2:11,wow
ct_5,Torben DG,2021-05-10 20:02:45.393438,2:44,Yes.. Patton vs the Germans :slightly_smiling_face:
ct_6,Renato Soares,2021-05-10 20:03:32.650144,3:31,Great!!!
ct_7,Santeria78,2021-05-10 20:05:03.010278,5:01,Area 4 Festival was in Austria...
ct_8,Valdemar Vivar,2021-05-10 20:05:14.152382,5:12,genios!! en vivo arrasan!
ct_9,Jordi Creus,2021-05-10 20:05:40.245204,5:39,Masters!
ct_10,Максим Кругликов,2021-05-10 20:06:33.362729,6:32,:winking_face_with_tongue::zany_face::squinting_face_with_tongue:
ct_11,t a b i t h a,2021-05-10 20:08:24.691786,8:23,ooooo yaaaaz
ct_12,Torben DG,2021-05-10 20:08:56.576216,8:55,no it wasn't
ct_13,Tereza Eztrada,2021-05-10 20:09:24.356413,9:23,:clapping_hands::clapping_hands::blue_heart::blue_heart:
ct_14,t a b i t h a,2021-05-10 20:09:40.184270,9:38,i like this:goodvibes::goodvibes:
ct_15,Crank Lab Explosion - band,2021-05-10 20:09:52.149700,9:50,Be Aggressive was the first sex song I ever jammed out to 
ct_16,Torben DG,2021-05-10 20:10:33.057823,10:31,yessss caffeine :slightly_smiling_face: :slightly_smiling_face:
ct_17,Torben DG,2021-05-10 20:10:44.311504,10:43,woof woof
ct_18,t a b i t h a,2021-05-10 20:12:59.700461,12:58,oooo shared it woof woof:elbowcough:
ct_19,Priss,2021-05-10 20:13:33.128238,13:31,:black_heart:
ct_20,t a b i t h a,2021-05-10 20:13:39.489668,13:38,:zany_face::zany_face::zany_face::zany_face::zany_face::grinning_face_with_big_eyes::grinning_face_with_big_eyes:
ct_21,t a b i t h a,2021-05-10 20:13:52.820967,13:51,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
ct_22,t a b i t h a,2021-05-10 20:14:48.493036,14:47,:smiling_cat_with_heart_eyes::smiling_cat_with_heart_eyes::smiling_cat_with_heart_eyes::smiling_cat_with_heart_eyes::smiling_cat_with_heart_eyes::smiling_cat_with_heart_eyes:
ct_23,WDR Rockpalast,2021-05-10 20:15:35.179718,15:33,"By the way, anyone who wants to see Faith No More live again will have the opportunity to do so in 2022: "
ct_24,WDR Rockpalast,2021-05-10 20:15:44.772991,15:43,"Sun, 19 Jun 2022: Amsterdam, Netherlands – AFAS Live"
ct_25,WDR Rockpalast,2021-05-10 20:15:49.162583,15:47,"Tue, 21 Jun 2022: Dortmund, Germany – Westfalenhalle"
ct_26,t a b i t h a,2021-05-10 20:15:55.481005,15:54,grtz from Belgium oooo yeaaaa
ct_27,WDR Rockpalast,2021-05-10 20:15:55.604541,15:54,"Thu, 23 Jun 2022: Gothenburg, Sweden – Partille Arena"
ct_28,Zool,2021-05-10 20:15:56.040760,15:54,FNM Forever:hundred_points::raising_hands::hugging_face:
ct_29,WDR Rockpalast,2021-05-10 20:15:59.605704,15:58,"Fri, 24 Jun 2022: Oslo, Norway – Tons of Rock"
ct_30,Portal E.M.Cioran Brazil,2021-05-10 20:15:59.767963,15:58,Hell yeaaaaaaaaaah
ct_31,WDR Rockpalast,2021-05-10 20:16:04.166423,16:02,"Mon, 27 Jun 2022 – Helsinki, Finland – In The Park"
ct_32,WDR Rockpalast,2021-05-10 20:16:08.305286,16:07,"Mon, 4 Jul 2022: Berlin, Germany – Max Schmeling Halle"
ct_33,WDR Rockpalast,2021-05-10 20:16:12.629548,16:11,"Tue, 5 Jul 2022: Stuttgart, Germany – Schleyerhalle"
ct_34,WDR Rockpalast,2021-05-10 20:16:16.452373,16:15,"Wed, 6 Jul 2022: Zürich, Switzerland – Halle 622"
ct_35,Portal E.M.Cioran Brazil,2021-05-10 20:16:16.621419,16:15,"Hay muchas evidencia, papi"
ct_36,t a b i t h a,2021-05-10 20:16:21.188556,16:19,oooooo good evening yes
ct_37,Zool,2021-05-10 20:16:34.268292,16:33,:sign_of_the_horns::squinting_face_with_tongue::sign_of_the_horns::clinking_beer_mugs:
