comment_id,username,comment_date,time_delta_since_upload,message
ct_1,めり,2022-06-05 19:04:32.743900,-3:37,I'm watching in Japan!
ct_2,Cyril L.,2022-06-05 19:06:08.895909,-2:01,Yôkoso!
ct_3,Lea “NANA” Paik,2022-06-05 19:06:38.061128,-1:31,아 짜증나 나는 한국에서 보고 있는데 한국 왜 안 와
ct_4,Johann_Caspar Baumgartner,2022-06-05 19:06:41.622503,-1:28,"PLEASE the whole Jerusalem Slim album! Ok, I'm just kidding! ( Awesome, underrated LP that 'nobody` know...)"
ct_5,Carcass747,2022-06-05 19:07:15.532030,-0:54,Let's gooooo!
ct_6,Leojournalist,2022-06-05 19:08:28.020409,0:12,Brazil here
ct_7,력부,2022-06-05 19:11:26.683738,3:10,:pleading_face:
ct_8,Z.PricyWolf,2022-06-05 19:15:39.988343,7:24,hello
ct_9,Angel Dust,2022-06-05 19:16:18.268040,8:02,wow. they rule
ct_10,Vixx,2022-06-05 19:16:34.872236,8:18,:fire::fire::fire:
ct_11,ヒロシです,2022-06-05 19:17:18.836389,9:02,🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻
ct_12,Z.PricyWolf,2022-06-05 19:18:53.417849,10:37,"If I were a teenager again, I would be confident that I could keep up with them for at least 10 shows."
ct_13,Andre Blazey,2022-06-05 19:20:32.872468,12:16,nice
ct_14,Z.PricyWolf,2022-06-05 19:20:57.232698,12:41,"Right now, though, I'm somewhere in the middle of the last row or on the second floor."
ct_15,A K,2022-06-05 19:22:21.611180,14:05,🇯🇵🇯🇵🇯🇵
ct_16,Johann_Caspar Baumgartner,2022-06-05 19:23:08.537802,14:52,"Is that SAM YAFFA on bass! Can't see his face but from the playing its definately HIM! No shit! Sam Yaffa, always been cool to me while in JETBOY - won't forget this SAM ( and Fernie Rod, too) "
ct_17,Dank Martinez,2022-06-05 19:23:56.015064,15:40,Dead Jail or Rock and roll :love_you_gesture:
ct_18,Jackie Knaak,2022-06-05 19:25:35.814029,17:19,"ich grüße die alwine ,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:"
ct_19,비로,2022-06-05 19:25:52.475379,17:36,rock n roll 🇰🇷:love_you_gesture::love_you_gesture:
ct_20,Asael Ramírez Sánchez,2022-06-05 19:26:19.947843,18:03,🇲🇽🇲🇽
ct_21,Tapani M,2022-06-05 19:26:40.857568,18:24,Hi from Finland.
ct_22,Z.PricyWolf,2022-06-05 19:26:43.643744,18:27,"Audio-CD of Hanoi Rocks that I lent, not returned yet."
ct_23,Meshuggah Mischell,2022-06-05 19:27:40.160155,19:24,Krücki geht bestimmt gerade voll ab :face_with_tears_of_joy::rolling_on_the_floor_laughing::face_with_tears_of_joy::rolling_on_the_floor_laughing:
ct_24,Stephonhisbike,2022-06-05 19:29:09.586280,20:53,that's really good !!!!
ct_25,Orc King,2022-06-05 19:29:35.724849,21:19,Jetboy are amazing 
ct_26,Jackie Knaak,2022-06-05 19:31:21.432403,23:05,ich grüße alle heavy Metal Fans aus dem odenwaldkreis
ct_27,Roberto Gallingani,2022-06-05 19:31:30.250139,23:14,i saw my friend DAVID PARENTI in the crowd....:grinning_face_with_smiling_eyes:
ct_28,Lea “NANA” Paik,2022-06-05 19:31:42.202212,23:26,give me Sami Yaffa
ct_29,Johann_Caspar Baumgartner,2022-06-05 19:32:13.918562,23:57,Reminds me on HANOI ROCKS Surprise Act @ Bang Your Head 2005 - people just could'nt cherish that... 
ct_30,Tapani M,2022-06-05 19:32:58.978970,24:43,Michael Monroe is freaking awesome.
ct_31,Kapitan Vergiften,2022-06-05 19:34:06.694512,25:50,excellent song
ct_32,Johann_Caspar Baumgartner,2022-06-05 19:35:25.713258,27:09,@Nana Lee : He's right there up on stage on bass - cool as alyways:smiling_face_with_sunglasses::top_hat:
ct_33,Kapitan Vergiften,2022-06-05 19:36:07.156963,27:51,40% Hanoi Rocks
ct_34,비로,2022-06-05 19:37:15.361299,28:59,SAMII AAAAAAA
ct_35,Kapitan Vergiften,2022-06-05 19:39:14.979691,30:58,where's Andy McCoy ?
ct_36,Leojournalist,2022-06-05 19:39:26.305577,31:10,Brazil
ct_37,República de Bananas,2022-06-05 19:39:41.984804,31:25,Is this really live?:thinking_face:
ct_38,Martin Nuñez,2022-06-05 19:40:15.815369,31:59,saludos desde Argentina :thumbs_up:
ct_39,Kapitan Vergiften,2022-06-05 19:41:01.957426,32:45,Not Fakin' it
ct_40,Tapani M,2022-06-05 19:41:56.840755,33:40,"The new Michael Monroe album I Live Too Fast To Die Young! is out on June 10, 2022. Let's make it the most successful album ever."
ct_41,Darren Diggle,2022-06-05 19:42:00.275768,33:44,Long live Rock N' Roll 
ct_42,Kapitan Vergiften,2022-06-05 19:42:28.886342,34:12,Love this album
ct_43,Johann_Caspar Baumgartner,2022-06-05 19:43:17.679113,35:01,"And while in NYC you gave Adam Bomb one of your best songs, ""Stranded"" who released it as ""his"" song.... Would LOVE to hear this great song by Michael Monroe! :guitar::drum: "
ct_44,Kapitan Vergiften,2022-06-05 19:44:16.990426,36:01,with Love from Finland
ct_45,lucalone,2022-06-05 19:45:26.218959,37:10,@Johann_Caspar Baumgartner: ey ich habe Hanoi Rocks damals auch aufm Bang your head festival gesehen!! warn solider auftritt^
ct_46,Christian Hohbach,2022-06-05 19:47:09.205702,38:53,Michael als Vorgruppe zu Iggy im
ct_47,Christian Hohbach,2022-06-05 19:48:25.977197,40:09,Großartig!Michael und Pink Gibson! Damals! 
ct_48,Johann_Caspar Baumgartner,2022-06-05 19:48:51.780049,40:35,"@lucalone : Es gab sogar Buh-Rufe und einige Würfe! Weil die Hälfte (?) kannte die Band nicht und einig besonders Depperte spekulierten mit Mötley Crue oder völlig Weltfremdem und waren dann ""sauer"":confounded_face:"
ct_49,KiNG ELViS,2022-06-05 19:49:12.969265,40:56,Greaaaat new song🤟🏻:smiling_face_with_sunglasses:🇯🇵
ct_50,lucalone,2022-06-05 19:49:27.128289,41:11,jepp^ ich erinnere mich^
ct_51,Orc King,2022-06-05 19:50:01.021667,41:44,Would love to hear all night with the lights on
ct_52,Kassi Adjiri,2022-06-05 19:50:23.062738,42:06,"m,"
ct_53,비로,2022-06-05 19:52:12.535371,43:56,SAMI YAFFA
ct_54,Kimmo Federley,2022-06-05 19:52:26.795904,44:10,hell yeah!
ct_55,Johann_Caspar Baumgartner,2022-06-05 19:52:41.999557,44:26,"Wenn die jetzt ""Stomp it down to the bricks"" zocken würden, bekomme ich vor Begeisterung einen Herzinfarkt, aber klar, wird nie passieren."
ct_56,Kapitan Vergiften,2022-06-05 19:52:43.315610,44:27,The Great Sammy Jaffa
ct_57,Christian Hohbach,2022-06-05 19:52:43.533576,44:27,Wann war der geniale Gig hier? 
ct_58,Lea “NANA” Paik,2022-06-05 19:52:48.695630,44:32,엉엉엉어엉 사랑해 ㅇ엉엉
ct_59,Kapitan Vergiften,2022-06-05 19:53:46.452065,45:30,Deutschland über alles
ct_60,Kimmo Federley,2022-06-05 19:54:46.352037,46:30,have they played 11th street kids?
ct_61,Kapitan Vergiften,2022-06-05 19:55:01.544382,46:45,Nein
ct_62,Kapitan Vergiften,2022-06-05 19:56:46.743365,48:30,love The Sex Pistols influence on this one
ct_63,Tapani M,2022-06-05 19:57:47.727647,49:31,True rockers. A living legend.
ct_64,Tommy LeBlanc,2022-06-05 19:59:23.604737,51:07,Hanoi Rocks
ct_65,Kapitan Vergiften,2022-06-05 19:59:30.443706,51:14,Yes
ct_66,비로,2022-06-05 19:59:58.419556,51:42,yeeeeah
ct_67,Johann_Caspar Baumgartner,2022-06-05 19:59:59.142986,51:43,Großartig!:star_struck:
ct_68,Kapitan Vergiften,2022-06-05 20:00:42.517503,52:26,"Malibu Beach, Yeah"
ct_69,Kj,2022-06-05 20:00:55.633668,52:39,MM is so :fire::fire::fire:
ct_70,Sergio Palacios,2022-06-05 20:03:17.124886,55:01,hi forma Argentina 🇦🇷
ct_71,lucalone,2022-06-05 20:03:27.136933,55:11,ROCKPALAAAST !!
ct_72,Kapitan Vergiften,2022-06-05 20:04:04.646306,55:48,moi moi
ct_73,Darren Diggle,2022-06-05 20:04:21.835243,56:05,round the bend
ct_74,Johann_Caspar Baumgartner,2022-06-05 20:04:40.949208,56:24," Creedence Clearwater Revival's ""Up Around the Bend""! :thumbs_up:"
ct_75,Kapitan Vergiften,2022-06-05 20:05:32.832205,57:16,Two steps from the move
ct_76,Lea “NANA” Paik,2022-06-05 20:05:42.320253,57:26,새 미 야 파
ct_77,Ungol Hammer,2022-06-05 20:06:00.274290,57:44,Come Around The Band - Creedance Clearwater Revival - Cool Stuff
ct_78,Orc King,2022-06-05 20:06:42.713289,58:26,Do underwater love
ct_79,Ungol Hammer,2022-06-05 20:07:02.305654,58:46,Come Around The Band - Creedance Clearwater Revival
ct_80,Kapitan Vergiften,2022-06-05 20:08:16.288869,1:00:00,"Dead, Jail or Rock N Roll"
ct_81,Johann_Caspar Baumgartner,2022-06-05 20:08:58.883129,1:00:42,:thumbs_up::thumbs_up::thumbs_up::top_arrow::top_arrow::top_arrow:
ct_82,TomTomsk,2022-06-05 20:10:32.964908,1:02:16,Moin! Hab ich was verpasst?
ct_83,Johann_Caspar Baumgartner,2022-06-05 20:10:49.922950,1:02:33,Without HANOI ROCKS there would never be a Guns'n'Roses !!!:no_entry:
ct_84,Atilio Ojeda,2022-06-05 20:11:28.430625,1:03:12,:red_heart::red_heart:
ct_85,Tapani M,2022-06-05 20:12:51.820573,1:04:35,Brilliant!!!
ct_86,Johann_Caspar Baumgartner,2022-06-05 20:12:58.078140,1:04:42,That was great!
ct_87,VITTORIO PAVAN,2022-06-05 20:13:19.764826,1:05:03,:love_you_gesture::love_you_gesture::love_you_gesture:
ct_88,Kapitan Vergiften,2022-06-05 20:13:43.714898,1:05:27,All L.A. Bands stole Hanoi Rocks Look and Style
ct_89,Rene W.,2022-06-05 20:13:55.499970,1:05:39,Thanks :love_you_gesture:
ct_90,Lea “NANA” Paik,2022-06-05 20:14:00.862689,1:05:44,새미야파 사랑햇다
ct_91,RoyalRoyer,2022-06-05 20:14:02.026801,1:05:46,DragonForce DragonForce DragonForce
ct_92,Arkangel Arkangel,2022-06-05 20:14:20.049248,1:06:04,meddl loide
ct_93,Tommy LeBlanc,2022-06-05 20:14:46.714133,1:06:30,dead by christmas
ct_94,TomTomsk,2022-06-05 20:15:19.760188,1:07:03,Wann kommt Tom Angelripper?
ct_95,Vixx,2022-06-05 20:15:36.762754,1:07:20,:sign_of_the_horns::fire::sign_of_the_horns::fire::sign_of_the_horns:
ct_96,Tapani M,2022-06-05 20:15:45.659880,1:07:29,The new album is a must buy.
ct_97,Kapitan Vergiften,2022-06-05 20:15:58.831718,1:07:42,yeap
