comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Roberto Padilla,2018-08-17 23:45:24.927520,-1:38,WTF
ct_2,Conqueror,2018-08-17 23:48:58.076204,1:45,dope
ct_3,NOCNY KOCHANEK,2018-08-17 23:54:50.437769,7:38,hello people how are you
ct_4,Don Albertone,2018-08-17 23:57:46.898509,10:34,🤘🏼🤘🏼
ct_5,Drumming Fer Klaus,2018-08-17 23:59:56.768115,12:44,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_6,NOCNY KOCHANEK,2018-08-18 00:01:19.876960,14:07,yeah
ct_7,WDR Rockpalast,2018-08-18 00:02:09.629151,14:57,:smiling_face_with_horns:
ct_8,Drumming Fer Klaus,2018-08-18 00:03:37.745048,16:25,Black Crow on a Tombstone !!
ct_9,Sister Of Self Destruction,2018-08-18 00:03:38.534028,16:26,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_10,Sister Of Self Destruction,2018-08-18 00:05:09.583862,17:57,what a great riff
ct_11,Alex,2018-08-18 00:07:32.668923,20:20,Español?
ct_12,Alex,2018-08-18 00:07:55.288708,20:42,Ist like a ghsot
ct_13,Alex,2018-08-18 00:07:59.835304,20:47,ghost
ct_14,Huddle,2018-08-18 00:09:22.829294,22:10,Where can we find a performance schedule? @WDR Rockpalast
ct_15,NOCNY KOCHANEK,2018-08-18 00:09:22.941930,22:10,satyricon great band
ct_16,Sister Of Self Destruction,2018-08-18 00:10:02.920147,22:50,amazing drummer
ct_17,NOCNY KOCHANEK,2018-08-18 00:10:11.614015,22:59,no
ct_18,WDR Rockpalast,2018-08-18 00:10:39.063988,23:26,https://www1.wdr.de/fernsehen/rockpalast/events/summer-breeze-achtzehn-100.html
ct_19,Drumming Fer Klaus,2018-08-18 00:10:47.513116,23:34,FROST !!!
ct_20,Huddle,2018-08-18 00:11:02.113249,23:49,THANKS
ct_21,WDR Rockpalast,2018-08-18 00:11:18.280856,24:05,Tonight our last stream will be Turisas
ct_22,NOCNY KOCHANEK,2018-08-18 00:11:25.257328,24:12,people the best drummer in the word?
ct_23,WDR Rockpalast,2018-08-18 00:11:41.614415,24:28,Tomorrow we'll start with Phil Campbell
ct_24,Sister Of Self Destruction,2018-08-18 00:11:53.637761,24:41,inferno from behemoth
ct_25,NOCNY KOCHANEK,2018-08-18 00:12:17.166736,25:04,behemoth is shit
ct_26,AriaMehr,2018-08-18 00:12:30.060980,25:17,"Rockpalast , you fucking rock ! Thanks for sharing the fun ."
