comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Vinodh Lalta,2022-06-04 20:25:10.798304,-1:04:59,"WOOOO, looking forward to this show!! :smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:"
ct_2,Nexusrex,2022-06-04 21:01:48.900968,-28:21,Excited!
ct_3,Alejandro Mariano Devetak,2022-06-04 21:04:52.794467,-25:17,Up The Guardians!!!
ct_4,geralt,2022-06-04 21:13:25.207636,-16:44,Brasil
ct_5,Gleisson Cardozo,2022-06-04 21:17:44.582178,-12:25,🤘🏻
ct_6,frenchy,2022-06-04 21:17:53.945292,-12:16,hab schon Pippi in den Augen :sign_of_the_horns:
ct_7,Carlos luis Méndez,2022-06-04 21:21:38.415939,-8:31,I hope Hansi is in good shape vocal wise. 
ct_8,Pa St,2022-06-04 21:22:46.279390,-7:23,bald ist Stuttgart!!
ct_9,Goth Ana,2022-06-04 21:22:46.728471,-7:23,Waiting here
ct_10,Stephonhisbike,2022-06-04 21:23:53.402435,-6:16,Hi everyone !!!! :slightly_smiling_face:
ct_11,Vitor Hugo,2022-06-04 21:24:34.436513,-5:35,Brazil!!! 🇧🇷🤘🏽🇧🇷🤘🏽🇧🇷🤘🏽
ct_12,trauerklinge666,2022-06-04 21:26:30.946903,-3:39,Hi Folks
ct_13,Daniel Luna,2022-06-04 21:28:52.306027,-1:17,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
ct_14,Johann_Caspar Baumgartner,2022-06-04 21:28:57.426376,-1:12,Was haben den die 35 👍🏻schon gehört? :grinning_face::thinking_face:
ct_15,Venla Valo,2022-06-04 21:29:01.202695,-1:08,hey everyone
ct_16,David Carvalho,2022-06-04 21:29:05.458625,-1:04,guardian of the blind 
ct_17,geralt,2022-06-04 21:30:19.263674,0:02,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
ct_18,Johann_Caspar Baumgartner,2022-06-04 21:30:34.026400,0:18,:bell:
ct_19,Cherusker,2022-06-04 21:30:44.434065,0:28,hi Leutz
ct_20,Goth Ana,2022-06-04 21:30:44.699890,0:28,AÊÊÊ
ct_21,Jonas Reuter | Talewanderer ,2022-06-04 21:30:48.184207,0:32,Bard's Tavern anyone 🤘🏻:grinning_face_with_sweat: ?
ct_22,Leonardo Costa,2022-06-04 21:31:00.803554,0:44,vamoooooo
ct_23,♡íris♡,2022-06-04 21:32:56.875116,2:40,:guitar::guitar::guitar:
ct_24,Goth Ana,2022-06-04 21:33:14.294463,2:58,Mithril Jonas from the Tavern here!
ct_25,david wagner,2022-06-04 21:33:16.546968,3:00,"yeah, Mithril! Hey :D"
ct_26,Jonas Reuter | Talewanderer ,2022-06-04 21:34:15.159755,3:59,"awesome , true people of culture I See !"
ct_27,Carlos luis Méndez,2022-06-04 21:34:50.642452,4:34,mmmmmm
ct_28,Byronius7X,2022-06-04 21:36:49.423710,6:33,"holy crap, my mind is kind of blown at the fact that it's still daylight in Germany"
ct_29,Johann_Caspar Baumgartner,2022-06-04 21:38:39.003820,8:22,"@Byronius7X : Well, its 21:38h here and June :guitar::drum:"
ct_30,German Cuevas,2022-06-04 21:38:43.512244,8:27,vamoooos!!!
ct_31,Ramon Torres,2022-06-04 21:39:20.715055,9:04,ohhh yeah!
ct_32,Alexandre RZ,2022-06-04 21:39:35.904148,9:19,Hail from Brazil 👍🏻
ct_33,TheSeriousClown ,2022-06-04 21:39:37.221204,9:21,German Finest :sign_of_the_horns:
ct_34,Ivan Malus,2022-06-04 21:39:47.980567,9:32,U. O. M. L. !
ct_35,German Cuevas,2022-06-04 21:39:57.486267,9:41,que buena banda lpm
ct_36,Michele Wroblewski,2022-06-04 21:40:07.180235,9:51,:smiling_cat_with_heart_eyes:
ct_37,♡íris♡,2022-06-04 21:40:37.811139,10:21,:guitar::guitar::guitar:
ct_38,trauerklinge666,2022-06-04 21:41:08.110669,10:52,Endlich wieder Festivals- Wie hat mir das gefehlt. Nächstes WE Chronical Moshers Opem Air.
ct_39,Arkangel Arkangel,2022-06-04 21:41:09.966385,10:53,Gott sind die nervig
ct_40,Dissonant Pulse,2022-06-04 21:41:22.296114,11:06,yeahhhhh
ct_41,Mau Noboa,2022-06-04 21:41:28.977077,11:13,Greetings from Costa Rica :grinning_face::sign_of_the_horns:🇨🇷
ct_42,German Cuevas,2022-06-04 21:42:00.916552,11:44,que paso ? porque abuchean?
ct_43,Christopher Gase,2022-06-04 21:42:06.250438,11:50,"Meine Nachbarn auch nicht, egal :face_with_tears_of_joy:"
ct_44,Ivan Malus,2022-06-04 21:42:17.465357,12:01,"Greetings from Zagreb, Kroatien!"
ct_45,Heidemarie,2022-06-04 21:42:22.540192,12:06,:rolling_on_the_floor_laughing:
ct_46,Ofer Zivony,2022-06-04 21:42:40.222229,12:24,Greetings from Israel
ct_47,Arkangel Arkangel,2022-06-04 21:42:50.163080,12:34,zZzzzzZzzz
ct_48,German Cuevas,2022-06-04 21:43:04.160622,12:48,anochecer
ct_49,Andreas Watzka,2022-06-04 21:44:02.046121,13:45,"ArkAngel,schalt doch einfach weg"
