comment_id,username,comment_date,time_delta_since_upload,message
ct_1,mandolo,2018-08-18 20:13:27.207390,-0:12,"Kumpel steht vor der Bühne, auf selbiger krebsen anscheinend noch Techniker rum"
ct_2,Daniel Xfamsty3rrr,2018-08-18 20:16:15.344279,2:27,hello :waving_hand: crazy motherfucking f8ckedheads!!!!
ct_3,Jasmin lit,2018-08-18 20:17:17.710762,3:28,wuhuuuuuuu:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_4,mandolo,2018-08-18 20:25:06.288958,11:18,haben letztes Jahr ein ziemlich geiles Album rausgehauen^^
ct_5,Stefan Pfitzner,2018-08-18 20:25:21.333053,11:32,Das ist wahr!
ct_6,Stefan Pfitzner,2018-08-18 20:26:12.528264,12:24,mag wer vorbei kommen? brauch noch 2-3 leute für nen moshpit in meinem wohnzimmer :grinning_face:
ct_7,André Vigo,2018-08-18 20:26:52.110410,13:03,what is line up today?
ct_8,my private darkness,2018-08-18 20:27:12.786348,13:24,Yeah... look on my channel... please
ct_9,WDR Rockpalast,2018-08-18 20:27:26.406646,13:38,We'll stream Bloodbath later tonight..
ct_10,André Vigo,2018-08-18 20:28:00.625304,14:12,thks
ct_11,ZionismoEsFascismo,2018-08-18 20:28:56.156662,15:07,what band next?
ct_12,ZionismoEsFascismo,2018-08-18 20:29:30.222746,15:41,WDR Rockpalast seriously? great news
ct_13,Stefan Pfitzner,2018-08-18 20:30:11.454184,16:22,"@Un Tal Mr. X "" WDR Rockpalast - ​We'll stream Bloodbath later tonight.."""
ct_14,Stefan Pfitzner,2018-08-18 20:30:31.663134,16:42,this info came literally 3 lines before your question
ct_15,W.A.S.P. Fan Channel,2018-08-18 20:30:32.778610,16:44,W.A.S.P. will be stream???
ct_16,Michael Horvath,2018-08-18 20:31:19.709953,17:31,o man wieso den
ct_17,WDR Rockpalast,2018-08-18 20:31:21.601039,17:33,W.A.S.P. don't want their show to be broadcasted..
ct_18,Michael Horvath,2018-08-18 20:31:44.429876,17:56,hätte gerne wasp gsehn
ct_19,WDR Rockpalast,2018-08-18 20:31:46.482369,17:58,:person_shrugging:
ct_20,Andy Ivanov,2018-08-18 20:32:14.728145,18:25,Papa Roach!
ct_21,BananaJoey,2018-08-18 20:32:24.807333,18:36,mal wieder geiler service euch 🤘🏻🤘🏻
ct_22,W.A.S.P. Fan Channel,2018-08-18 20:32:25.679920,18:37,:smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns: as usual...
ct_23,BananaJoey,2018-08-18 20:32:36.651853,18:47,von*
ct_24,Daniel Xfamsty3rrr,2018-08-18 20:32:47.692249,18:58,man this Shit is fucking awesome!!! but im fucking dying to se BEHEMOTH
ct_25,WDR Rockpalast,2018-08-18 20:34:15.145376,20:25,"No, we're only streaming from the Main Stage"
ct_26,jan schwarz,2018-08-18 20:34:47.642837,20:59,danke WDR Rockpalast fürs streamen
ct_27,my private darkness,2018-08-18 20:35:01.500313,21:12,"Hey, hey... my, my... rock´n´roll will never die"
ct_28,mandolo,2018-08-18 20:36:13.671914,22:25,@PrimaToast several thousand people in front of that stage disagree
ct_29,WDR Rockpalast,2018-08-18 20:36:17.104921,22:29,:smiling_face_with_smiling_eyes:
ct_30,jan schwarz,2018-08-18 20:37:03.521640,23:15,"nach 12 jahren mal wieder WDR schauen , haha und dann geile musik"
ct_31,Andy Ivanov,2018-08-18 20:37:06.911149,23:18,WDR Rockpalast is a great event and as was Summer Breeze Festival
ct_32,Valeriu Gherciu,2018-08-18 20:37:13.523348,23:25,I've seen dying fetus on monday in London
ct_33,my private darkness,2018-08-18 20:37:58.774933,24:10,Könnt mich auch ruhig mal einladen @ WDR Rockpalast... spiele auch omsonst;)
ct_34,The_flying_Hias,2018-08-18 20:38:31.510160,24:43,i want so see dying fetus unplugged....
ct_35,jan schwarz,2018-08-18 20:38:45.238630,24:56,@my private darkness dafür ist summer breeze zuständig lach
ct_36,mandolo,2018-08-18 20:39:10.221546,25:21,@my private darkness wie wärs wenn du einfach mit der schamlosen Eigenwerbung aufhörst und das geile Konzert genießt?
ct_37,Gc Fdt,2018-08-18 20:39:21.504141,25:33,lml
ct_38,my private darkness,2018-08-18 20:41:15.445260,27:27,"@domi nik klar, kein Problem... aber wie soll man sonst auf sich aufmerksam machen?!"
ct_39,jan schwarz,2018-08-18 20:42:15.602164,28:27,"verantstalter anschreiben, bewerben , kleine gigs usw"
ct_40,jan schwarz,2018-08-18 20:42:29.728207,28:41,"wenn es daran schon scheitert sollte man es lassen,"
ct_41,mandolo,2018-08-18 20:42:34.269658,28:45,"Mit den üblichen Methoden. Lass es mich so sagen: Du würdest auch nicht auf ein Konzert gehen und da die Leute auf dich ansprechen. Same here, nur virtuell"
ct_42,Stefan Pfitzner,2018-08-18 20:42:38.102809,28:49,"Label besorgen, die regeln das"
ct_43,zMonkay,2018-08-18 20:43:50.901617,30:03,Ooooommmmmgggggg
ct_44,Notes From The Underground,2018-08-18 20:44:39.788116,30:51,who is on next?
ct_45,my private darkness,2018-08-18 20:45:28.927533,31:40,sorry @ domi nik... hatte leider Internetprobleme... nicht böse sein... und geniesse das Konzert... ich tu es auch;)
ct_46,jan schwarz,2018-08-18 20:45:42.796488,31:53,@Adam Seeve wer nie was versucht wird es auch nie schaffen von alleine
ct_47,Daniel Xfamsty3rrr,2018-08-18 20:45:45.329066,31:57,how much costs one ticket for the very first line to yhe stage??
ct_48,Stefan Pfitzner,2018-08-18 20:46:31.460374,32:43,it was 110€ i think. there is no pricing specially for the first rows
ct_49,WDR Rockpalast,2018-08-18 20:46:35.145072,32:46,Bloodbath ist up next in our stream.
ct_50,my private darkness,2018-08-18 20:46:47.508431,32:59,"@adam seeve ok, werde ich mal machen... danke für den Hinweis"
ct_51,jan schwarz,2018-08-18 20:46:51.657775,33:03,"sonst auf twitch mal streamen , bandprobe, werbung auf twitter starten usw geht alles"
ct_52,Notes From The Underground,2018-08-18 20:46:57.414515,33:08,ty
ct_53,Daniel Xfamsty3rrr,2018-08-18 20:47:05.219028,33:17,I would sell my soul just for this one lol
ct_54,jan schwarz,2018-08-18 20:47:18.862475,33:30,"@my private darkness twitter , instagramm sind gute werbeplattformen"
ct_55,my private darkness,2018-08-18 20:48:07.132259,34:18,@jan schwarz danke... werde ich mal machen
ct_56,jan schwarz,2018-08-18 20:48:59.457934,35:11,"@my private darkness und viele kleine bands aus USA oder anderen ländern streamen auf twitch, durch hosten )empflehlungen von anderen - kostenlose werbung quasi"
ct_57,my private darkness,2018-08-18 20:49:12.912781,35:24,@jan schwarz... bin zwar keine Band sondern mache alles alleine... aber werde es versuchen
ct_58,Daniel Xfamsty3rrr,2018-08-18 20:49:14.920028,35:26,Papa can still fkng scream!!! holy Shit if he does last resort.............. :high_voltage::high_voltage::high_voltage::high_voltage::high_voltage::high_voltage:
ct_59,jan schwarz,2018-08-18 20:49:23.746246,35:35,@Adam Seeve - maxwell kassetten lach
ct_60,my private darkness,2018-08-18 20:49:43.697927,35:55,@jan schwarz danke für deinen Tip!!!
ct_61,jan schwarz,2018-08-18 20:49:59.159821,36:10,"@my private darkness es gibt auch twitch alles von leute die spiele streamen, musik, irl oder diveres andere sachen, z.b auch kreative leute"
ct_62,jan schwarz,2018-08-18 20:50:44.151132,36:54,@Adam Seeve OH JA ; der gute schmale von sony damals
ct_63,my private darkness,2018-08-18 20:51:07.519482,37:19,@adam seeve dann gehören wir der selben Generation an
ct_64,jan schwarz,2018-08-18 20:51:45.127916,37:57,ich hab noch vinly zu hause von eignen bands - i love it
ct_65,Daniel Xfamsty3rrr,2018-08-18 20:52:35.242910,38:46,jesus fucking Christ this is so fucking awesome.
ct_66,jan schwarz,2018-08-18 20:52:39.704612,38:50,"@Adam Seeve dann gehörst du auch zu denen die damals bestimmt verstärker, cd deck usw haben"
ct_67,jan schwarz,2018-08-18 20:52:58.931153,39:10,>>> 74 iger
ct_68,my private darkness,2018-08-18 20:53:23.527862,39:35,@adam seeve also dachte ich bei einem wie Dir auf offene Ohren zu stossen... klingt alles wie MC... mache alles selber;)
ct_69,Daniel Xfamsty3rrr,2018-08-18 20:54:00.866132,40:10,rocknroll :high_voltage:
ct_70,jan schwarz,2018-08-18 20:54:10.135259,40:21,"vinyl ist mega an wieder kommen, bei uns im saturn werden die gut verkauft"
