comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Drumming Fer Klaus,2018-08-17 20:09:40.048940,-0:51,Yeeah !!
ct_2,Adriano Lourenço,2018-08-17 20:10:11.977934,-0:19,:sign_of_the_horns:
ct_3,Sergeant Cantox,2018-08-17 20:11:32.617413,0:52,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_4,"Me, Myself & Hyde",2018-08-17 20:12:26.579074,1:46,"IT""S TIME!"
ct_5,Lillyfee,2018-08-17 20:12:28.569204,1:48,\m/
ct_6,Don Albertone,2018-08-17 20:12:39.166057,1:58,🤘🏼🤘🏼🤘🏼
ct_7,Krzysztof Kłosowski,2018-08-17 20:12:48.457078,2:09,Paolo pls :D
ct_8,Drumming Fer Klaus,2018-08-17 20:14:37.180811,3:57,:sign_of_the_horns::smiling_face_with_sunglasses::sign_of_the_horns:
ct_9,PeppePug22,2018-08-17 20:16:13.479781,5:32,awesome
ct_10,crazydog54321,2018-08-17 20:19:11.289544,8:30,Alex is a machine:grinning_face_with_big_eyes:
ct_11,Metalwarrior69 Metalwarrior69,2018-08-17 20:22:33.210394,11:53,:sign_of_the_horns:
ct_12,Karin Simon,2018-08-17 20:24:29.859832,13:48,wow Trivium
ct_13,Sister Of Self Destruction,2018-08-17 20:24:33.761740,13:53,o yeahhh
ct_14,"Me, Myself & Hyde",2018-08-17 20:25:02.012786,14:21,Alex = Machine
ct_15,Karin Simon,2018-08-17 20:25:06.361829,14:26,Danke Rockpalast
ct_16,Sister Of Self Destruction,2018-08-17 20:25:14.828133,14:34,trivium and in Flames two best bands
ct_17,novojin,2018-08-17 20:25:24.851881,14:43,:microphone::guitar::guitar::guitar::guitar::guitar::guitar:supeeeer
ct_18,Michael Abarca,2018-08-17 20:27:12.915969,16:33,what did i missed?
ct_19,Gabi Fdez.,2018-08-17 20:27:48.549398,17:08,Un saludo desde España!
ct_20,Cesar Hernandez,2018-08-17 20:28:46.396622,18:05,hi everyone !!
ct_21,Sister Of Self Destruction,2018-08-17 20:28:58.452391,18:17,hi cesar
ct_22,Lauschangriff13,2018-08-17 20:29:41.844787,19:00,I have got. the same drumset from Tama
ct_23,Fetterov,2018-08-17 20:30:13.155616,19:32,Thank goodness they fixed the snare...it sounded way off on the first song!
ct_24,Drumming Fer Klaus,2018-08-17 20:30:25.328261,19:45,Un saludo desde Torreón ALV !!!
ct_25,Zelly Brown,2018-08-17 20:30:25.557139,19:45,Anyone know if Ghost playing there?
ct_26,Sister Of Self Destruction,2018-08-17 20:30:49.609298,20:07,that solo part :grinning_face:
ct_27,Drumming Fer Klaus,2018-08-17 20:31:45.746855,21:05,"coming up next - Arch Enemy, Satyricon, Turisas"
ct_28,Murat Aktan,2018-08-17 20:31:56.209828,21:16,are the drums too low in the mix ?
ct_29,Fetterov,2018-08-17 20:32:29.449302,21:49,@Murat I think the kick drum is a bit low in the mix. The snare was wayyy too high for the first song
ct_30,Connor Johnson,2018-08-17 20:34:22.501404,23:42,HOLY SHIT!
ct_31,Connor Johnson,2018-08-17 20:34:28.583311,23:48,MATT HEAFY IS A BEAST
ct_32,Sister Of Self Destruction,2018-08-17 20:34:53.580517,24:13,he is a God
ct_33,Maxtendo Lp (Maxtendolp),2018-08-17 20:35:12.561514,24:32,Nabend zusammen
ct_34,Fetterov,2018-08-17 20:35:38.856109,24:58,@Murat sounds like Matt's was for a second there
ct_35,Murat Aktan,2018-08-17 20:35:39.213178,24:59,corey's guitar keeps cutting out
ct_36,Murat Aktan,2018-08-17 20:35:56.406824,25:16,I love this song
ct_37,Huddle,2018-08-17 20:35:58.824705,25:18,Better than the other shit they've shown. Powerwolf?! Grow the fuck up
ct_38,iwa ruswandi,2018-08-17 20:36:04.081334,25:23,wilujeng wengi ka sadayana
