comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Gregor Löhr,2022-06-16 23:29:19.488348,-5:00,"I'm so glad i saw them yesterday in Karlsruhe, and that they played ""March into the Sea"", this song is such a masterpiece :slightly_smiling_face: it was only a bit sad that there weren't many people."
ct_2,4NDREAS,2022-06-16 23:31:56.436917,-2:23,Good evening! Hi Gregor!
ct_3,Gregor Löhr,2022-06-16 23:32:57.773549,-1:22,"Hi Andreas, you seem to be everywhere :face_with_tears_of_joy:"
ct_4,Daily Thompson,2022-06-16 23:33:18.052155,-1:02,"@Gregor Löhr well, today there will be some :D"
ct_5,Gregor Löhr,2022-06-16 23:34:46.703717,0:20,"Yeah, i guess many people still are in Corona mode.. in Karlsruhe there have been many ""Dudefest"" shows, and i think there were many ppl missing"
ct_6,Monojira Prime,2022-06-16 23:35:00.685813,0:34,yess Pelican! Hoping for Bliss in Concrete and Mammoth :D
ct_7,Joel,2022-06-16 23:35:05.111768,0:39,hell yes!
ct_8,Terraco,2022-06-16 23:35:47.597331,1:21,dale pelican!!! 🤘🏻🇦🇷
ct_9,Gregor Löhr,2022-06-16 23:36:01.994562,1:35,@4NDREAS i meant you are everywhere i am :winking_face:
ct_10,Stef1885,2022-06-16 23:36:12.573565,1:46,awesome. gutted there is no UK gig but this will do!
ct_11,macpsu94,2022-06-16 23:36:20.640824,1:54,YAS!!!!
ct_12,Debbie Lee,2022-06-16 23:37:52.359077,3:26,:heart_on_fire::folded_hands::sign_of_the_horns: sounds great!
ct_13,Uzay Simidi,2022-06-16 23:37:53.623355,3:27,wow greeting from Turkiye
ct_14,Gregor Löhr,2022-06-16 23:38:50.379690,4:24,"Yeah, i love the sound, can't wait for Drought :star_struck:"
ct_15,Stef1885,2022-06-16 23:39:47.395320,5:21,I do miss Dallas though....
ct_16,Dampf-Gerry,2022-06-16 23:40:56.091247,6:29,@Gregor Löhr Ist das eine reine instrumental Band?
ct_17,Gregor Löhr,2022-06-16 23:41:25.912632,6:59,"@Daily Thompson ja, immer schon gewesen :winking_face:"
ct_18,Terraco,2022-06-16 23:41:47.907784,7:21,dead between the walls
ct_19,DiskoDieter,2022-06-16 23:41:48.750470,7:22,:black_heart:
ct_20,rotsen321,2022-06-16 23:42:04.918366,7:38,Saw them in dunkfestival and they were absolute beasts!
ct_21,Dampf-Gerry,2022-06-16 23:42:41.791822,8:15,Erinnert mich an Karma To Burn :thinking_face:
ct_22,Verein Saitwärts,2022-06-16 23:42:51.105075,8:24,"@Gregor Löhr they will definitely play drought it seems to be the same setlist like in Vienna! However, they definitely wont play any songs of Nighttime stories or Forever Becoming"
ct_23,Dampf-Gerry,2022-06-16 23:44:11.204265,9:45,@evkin hier?
ct_24,Gregor Löhr,2022-06-16 23:44:14.028665,9:47,"they had a not yet released version of Australasia at the merch as well, for everyone interested in Vinyl :winking_face: @Verein Saitwärts yeah, it's likely they have a ""fixed"" setlist for their tour"
ct_25,evkin,2022-06-16 23:45:28.599088,11:02,@Dampf-Gerry na logisch!
ct_26,Verein Saitwärts,2022-06-16 23:45:39.029517,11:11,"@Gregor Löhr yeah, its because the guitar player of the last two releases left the band so the former guitarist joined again!"
ct_27,Gregor Löhr,2022-06-16 23:46:44.119148,12:18,"@Verein Saitwärts good for me, as i'm more familiar with their older releases :winking_face:"
ct_28,pixmarshmallows,2022-06-16 23:46:48.285907,12:22,:elbowcough:
ct_29,Verein Saitwärts,2022-06-16 23:47:31.928130,13:05,"Yes Its definitely not a bad thing, although both records are great!"
ct_30,Stef1885,2022-06-16 23:47:32.246357,13:06,is creeper on this set list for this tour? love that song.
ct_31,Korinthos Kakis,2022-06-16 23:47:33.439519,13:07,boring
ct_32,Gregor Löhr,2022-06-16 23:47:53.368103,13:27,"and here it is ""March into the Sea"", 15 minutes of awesomness :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:"
ct_33,Verein Saitwärts,2022-06-16 23:48:50.459400,14:24,"@Stef1885 yes totally and a lot of other songs of ""What we all come to need"" too! :slightly_smiling_face:"
ct_34,Monojira Prime,2022-06-16 23:48:54.092026,14:27,pleasantly surprised they start off with their older material
ct_35,Babbelicious,2022-06-16 23:49:21.523048,14:55,"@Korinthos Kakis und, schon entschieden ob Du morgen hinfährst? :slightly_smiling_face:"
ct_36,Stef1885,2022-06-16 23:49:33.039350,15:06,:elbowcough:
ct_37,Korinthos Kakis,2022-06-16 23:50:11.956184,15:45,würde gerne
ct_38,4NDREAS,2022-06-16 23:50:13.060541,15:46,"Funfact: Saw Pelican some years ago, supported by Slow Crush. Tonight: Pelican livestream. Tomorrow: Slow Crush live in Munich."
ct_39,Babbelicious,2022-06-16 23:50:28.577021,16:02,nix wie hin da^^
ct_40,Korinthos Kakis,2022-06-16 23:51:15.784874,16:49,kommst du mit?
ct_41,Karl Malden,2022-06-16 23:51:47.166018,17:20,@DiskoDieter beherrschst du den Discofox?:man_dancing::winking_face:
ct_42,Babbelicious,2022-06-16 23:51:47.447694,17:21,ich werde da sein ja :D
ct_43,Korinthos Kakis,2022-06-16 23:52:23.946722,17:57,aso
ct_44,Terraco,2022-06-16 23:53:39.389337,19:13,tremendo 🤘🏻🤘🏻🤘🏻
ct_45,Gregor Löhr,2022-06-16 23:54:11.948889,19:45,"mist, schon wieder flecken in die hose gemacht :winking_face_with_tongue:"
ct_46,Stef1885,2022-06-16 23:55:15.428665,20:49,"last time pelican were 8n London saw them with slow crush, great night and met guys who were awesome."
ct_47,Korinthos Kakis,2022-06-16 23:55:36.860910,21:10,wie gesagt wnn ich einticket für 40 bekomme dann könnt es sein
ct_48,Jake Harris,2022-06-16 23:56:50.398552,22:24,Awesome
ct_49,G. B.,2022-06-16 23:57:26.848370,23:00,che bello
ct_50,Arturo M TORAYA,2022-06-16 23:57:42.056116,23:15,"Uff Saludos desde México, Gran Banda!!!"
ct_51,Terraco,2022-06-16 23:58:09.258196,23:43,épico
ct_52,The Supersonic,2022-06-16 23:58:20.688540,23:54,einfach geil
ct_53,Terraco,2022-06-16 23:59:27.523546,25:01,ephemeral
ct_54,kenneth thomas,2022-06-17 00:01:22.555421,26:56,hot damn!! so killer!
ct_55,Karl Malden,2022-06-17 00:02:08.040278,27:42,Ticket für David Bowie 1983 (Sirious Moonlight Tour) 33 DM mit Vorverkaufsgebühr
ct_56,Neil Mc (Team Shove It),2022-06-17 00:02:50.023147,28:24,:love_you_gesture::fire:
ct_57,Gregor Löhr,2022-06-17 00:03:25.402143,28:59,@Karl Malden Und was kostet die Zeitmaschine um es rechtzeitig da hin zu schaffen ? :upside_down_face:
