comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Eddie of doom,2018-08-16 22:01:28.986274,-2:19,Müsst ihr auch Warten?
ct_2,BananaJoey,2018-08-16 22:02:05.151825,-1:43,Ja
ct_3,WDR Rockpalast,2018-08-16 22:05:09.321616,1:12,Jetzt geht's los :sign_of_the_horns:
ct_4,Eddie of doom,2018-08-16 22:05:44.850175,1:47,🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻
ct_5,ANDREY LUSS,2018-08-16 22:13:56.485800,9:59,:guitar::musical_keyboard::drum::musical_note::musical_note::musical_note::musical_note::musical_note:
ct_6,PETT3R TEIXEIRA,2018-08-16 22:27:21.580243,23:24,BR BR
ct_7,Agana Kahlert,2018-08-16 22:28:51.069221,24:54,:sign_of_the_horns:
ct_8,Rafał Zawadzki,2018-08-16 22:28:54.919001,24:56,disco metal
ct_9,WDR Rockpalast,2018-08-16 22:29:13.731040,25:16,:woman_dancing:
ct_10,Aris,2018-08-16 22:29:55.085233,25:57,awssewwome
ct_11,PETT3R TEIXEIRA,2018-08-16 22:30:37.104945,26:40,very good concert rock on
ct_12,Faruk B,2018-08-16 22:30:44.588760,26:47,naptın müdür
ct_13,Harald Kannengießer,2018-08-16 22:31:21.322627,27:24,"immer wieder geil, die waren in Balingen schon der Hammer!!"
ct_14,Eddie of doom,2018-08-16 22:31:57.698121,28:00,🤘🏻
ct_15,Daniel Xfamsty3rrr,2018-08-16 22:33:06.417553,29:09,holy Shit this is my
ct_16,Savio Ushe,2018-08-16 22:35:10.295965,31:13,sa vk
ct_17,Aris,2018-08-16 22:36:35.390249,32:38,savio o shpirt
ct_18,Pacem,2018-08-16 22:36:46.552424,32:49,him*
ct_19,Aris,2018-08-16 22:37:02.387110,33:05,ARMATA STRIGOI:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::tired_face::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::tired_face::tired_face::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face::smiling_face_with_heart_eyes::tired_face:
ct_20,Mr kotain ket,2018-08-16 22:37:22.453861,33:25,powerwolf!!!!!!!!!!!!!
ct_21,Eddie of doom,2018-08-16 22:37:25.332437,33:28,🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻
ct_22,Aris,2018-08-16 22:37:39.031117,33:42,we are the stomborn the avataro we are the ones who see no tommowrr
ct_23,Savio Ushe,2018-08-16 22:38:21.009667,34:23,vk
ct_24,Savio Ushe,2018-08-16 22:38:44.490075,34:47,very good
ct_25,Aris,2018-08-16 22:38:45.730072,34:48,i shef bablokat
ct_26,Aris,2018-08-16 22:39:00.831976,35:03,ARMATA STRIGOI
ct_27,Savio Ushe,2018-08-16 22:39:06.158486,35:09,po po te zi si ty
ct_28,Aris,2018-08-16 22:39:25.074493,35:27,✋🏽✋🏽✋🏽✋🏽
ct_29,Savio Ushe,2018-08-16 22:39:39.813475,35:43,ika folim kamera
ct_30,Aris,2018-08-16 22:39:47.896642,35:50,do shof ket
ct_31,Savio Ushe,2018-08-16 22:40:04.841104,36:07,hmr barbon hajde
ct_32,Aris,2018-08-16 22:40:15.810672,36:19,plus po flen
ct_33,Aris,2018-08-16 22:40:20.200579,36:23,ca kamer leshi do
ct_34,Lucas Vieira,2018-08-16 22:42:43.638328,38:47,Nice band
ct_35,Lucas Vieira,2018-08-16 22:43:07.526809,39:11,never heard about them
ct_36,fernando abadia,2018-08-16 22:43:12.565283,39:15,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_37,Lucas Vieira,2018-08-16 22:43:29.468101,39:32,is it black metal?
ct_38,fernando abadia,2018-08-16 22:43:43.590292,39:46,powermetal
ct_39,Lucas Vieira,2018-08-16 22:43:53.170477,39:56,cool
ct_40,Leonardo López,2018-08-16 22:43:57.672408,40:00,Power Metal!
ct_41,Faruk B,2018-08-16 22:44:03.199691,40:05,none it's popemetal
ct_42,Leonardo López,2018-08-16 22:44:11.761824,40:14,LOL
ct_43,Lucas Vieira,2018-08-16 22:44:13.691716,40:16,the paint looks like black metal
ct_44,Lucas Vieira,2018-08-16 22:44:36.934376,40:39,looks nice
ct_45,Lucas Vieira,2018-08-16 22:45:15.069157,41:18,what is the name of this song?
ct_46,Eddie of doom,2018-08-16 22:45:34.750357,41:37,I don't know
ct_47,WDR Rockpalast,2018-08-16 22:45:56.097050,41:59,Let There Be Night
ct_48,Lucas Vieira,2018-08-16 22:45:57.445066,42:00,i like it
ct_49,Eddie of doom,2018-08-16 22:46:27.521259,42:30,nice song
ct_50,Lucas Vieira,2018-08-16 22:46:30.017130,42:32,danke!! thanks!!
ct_51,Alex Sz.,2018-08-16 22:46:38.248426,42:41,when is / did jinjer perform/ing ?
ct_52,Eddie of doom,2018-08-16 22:46:42.681101,42:45,Kein ding
ct_53,Beastyboy Ns,2018-08-16 22:46:47.405880,42:50,Here from all Bands live Video ?
ct_54,Beastyboy Ns,2018-08-16 22:47:09.173847,43:12,Gibt es ein anderes live Video also andere bühne
ct_55,Eddie of doom,2018-08-16 22:47:21.487090,43:23,kp
ct_56,Beastyboy Ns,2018-08-16 22:47:35.018515,43:37,Eisbrecher waren mega
