comment_id,username,comment_date,time_delta_since_upload,message
ct_1,WDR Rockpalast,2022-06-17 23:29:35.865818,-2:44,Ready for RED FANG? :revolving_hearts:
ct_2,Mr_Leroux,2022-06-17 23:31:41.066149,-0:38,🤘🏼🤘🏼🤘🏼
ct_3,Franco Colapinto,2022-06-17 23:31:41.288786,-0:38,Yes but this cro-mags in the HELL FEST 
ct_4,Alfred Förg (FredF59),2022-06-17 23:32:06.930974,-0:13,🤘🏻Let's go
ct_5,Franco Colapinto,2022-06-17 23:32:51.708682,0:20,Cro-Mags - Hellfest 2022 – @ARTE Concert
ct_6,Bill Riddle,2022-06-17 23:33:05.800017,0:34,OLY Beer
ct_7,Krische 89,2022-06-17 23:33:05.815998,0:34,So sehr ready
ct_8,vonWeizhacker,2022-06-17 23:34:01.637640,1:30,Geil! Danke!
ct_9,Krische 89,2022-06-17 23:37:20.815115,4:49,Bisschen Verspätung
ct_10,AlessandroAle,2022-06-17 23:37:44.942232,5:13,:star_struck:
ct_11,Krische 89,2022-06-17 23:38:56.393848,6:25,Dann 23:45 Uhr ?
ct_12,Krische 89,2022-06-17 23:41:36.813932,9:05,Red Fang > Cro-Mags
ct_13,Dampf-Gerry,2022-06-17 23:42:12.289856,9:41,Nöö
ct_14,Krische 89,2022-06-17 23:42:43.045343,10:12,Oh doch
ct_15,Bill Riddle,2022-06-17 23:43:20.924340,10:49,Good stuff.
ct_16,Dampf-Gerry,2022-06-17 23:44:04.192454,11:33,Du vergleichst Red Fang mit Cro Mags?
ct_17,brille77,2022-06-17 23:44:15.979808,11:44,Big thanks to the sound eingineer
ct_18,Bill Riddle,2022-06-17 23:44:51.953143,12:20,Vocals are better.
ct_19,Franco Colapinto,2022-06-17 23:45:20.294342,12:49,"Nein, aber beide spielen gleichzeitig live"
ct_20,Mist Tower,2022-06-17 23:45:28.621950,12:57,the best:smiling_face_with_heart_eyes:
ct_21,Dampf-Gerry,2022-06-17 23:45:42.528342,13:11,Aso
ct_22,Krische 89,2022-06-17 23:46:16.786756,13:45,Alles Geschmackssache
ct_23,Franco Colapinto,2022-06-17 23:46:40.945199,14:09,Cro-Mags - Hellfest 2022 – @ARTE Concert / Red Fang LIVESTREAM | Freak Valley Festival 2022 | Rockpalast in streaming of youtube
