comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Frequencydead,2022-06-18 16:12:45.684517,2:49,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::fire::fire::fire:
ct_2,Dhannerla,2022-06-18 16:13:04.076390,3:08,servus :sun:
ct_3,assi-47,2022-06-18 16:14:00.622954,4:04,"Hailing from The Netherlands. Rock, rock on!!"
ct_4,Andrew Bounds,2022-06-18 16:14:08.969747,4:12,been really looking forward to this . You sound phenomenal
ct_5,AleisterthemungerSTOKE,2022-06-18 16:14:36.019623,4:40,Hails from Rise family. 
ct_6,Andrew Bounds,2022-06-18 16:16:20.001050,6:23,without a doubt one of the best bands around .
ct_7,ONeill,2022-06-18 16:19:49.419781,9:53,"This is how to wake up on a Saturnsday, Doom!"
ct_8,Bree Vwhyman,2022-06-18 16:20:53.838620,10:57,jesus they have some BAD overdrive pedals at this gig
ct_9,lucalone,2022-06-18 16:24:12.532582,14:16,some BAD overdrive pedals at this gig
ct_10,Thorvald Neumann,2022-06-18 16:27:32.651518,17:36,🤘🏻🤘🏻
ct_11,Heverton Perez,2022-06-18 16:27:40.084572,17:44,:black_heart::sign_of_the_horns:
ct_12,lucalone,2022-06-18 16:29:07.960987,19:11,:sun:
ct_13,Majestic Mountain Records,2022-06-18 16:30:56.895662,21:00,Slomatics rule!
ct_14,Marvin Ward,2022-06-18 16:32:56.787094,23:00,:smiling_face_with_sunglasses::thumbs_up: Whittier California
ct_15,foley,2022-06-18 16:48:18.245122,38:22,:beer_mug:
ct_16,PAUL MCROBERTS,2022-06-18 16:49:46.087485,39:50,GO ON BOYS !!!!! GIVE IT THE HEAP!!!!!
ct_17,Eliz,2022-06-18 16:50:10.678615,40:14,Hello everyone
