comment_id,username,comment_date,time_delta_since_upload,message
ct_1,WDR Rockpalast,2022-06-18 18:09:42.719337,-11:22,Who is ready for Temple Fang? :classical_building::musical_notes:
ct_2,Madmars Motorhead,2022-06-18 18:16:40.153429,-4:24,:tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass::face_savoring_food::sandwich::hot_dog:
ct_3,Alfred Förg (FredF59),2022-06-18 18:19:10.834794,-1:54,:yt:Start
ct_4,Ian Guiness,2022-06-18 18:25:59.129801,4:48,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_5,Serega Afrika,2022-06-18 18:26:32.666119,5:21,ща спою
ct_6,Сергей Юхновский,2022-06-18 18:27:31.197031,6:20,:thumbs_up::thumbs_up::thumbs_up:
ct_7,Anarch,2022-06-18 18:27:56.789057,6:45,"Great great THX 4 streaming this, really appreciate it, BUT THERE OUGHT TO BE AN GLOBAL UNITED SIGNAL CREATED TO WAKE UP ALL THE STILL DREAMERS IN DER SLEEP......A MEGALOUD THUNDER!!!!!!"
ct_8,Helbert,2022-06-18 18:30:20.622664,9:09,Massa!! Curtindo demais a banda.
ct_9,Ian Guiness,2022-06-18 18:30:21.162384,9:10,Awesome :sign_of_the_horns:
ct_10,Eliz,2022-06-18 18:30:50.740548,9:39,Hello
ct_11,Anarch,2022-06-18 18:33:37.629744,12:26,"SALVE 2 EVERYONE beeing present at the ""VERRY"" moment....."
ct_12,Anarch,2022-06-18 18:36:31.665712,15:20,absolute great Performance Lads:smiling_face_with_sunglasses::thumbs_up:
ct_13,Marcus,2022-06-18 18:38:43.772164,17:32,Endlich ist der Typ weg mit den Seifenblasen. Bleib zu Hause.
ct_14,Wolfgang Gähtgens,2022-06-18 18:39:12.220402,18:01,hypnotic
ct_15,Turbolars,2022-06-18 18:45:18.823735,24:07,"ja moin, ist ja keine Frage das ich es lieber live vor Ort gesehen hätte, aber das ich das Konzert auf Terrasse mit einem Kaltgetränk genießen kann, hat auch was. Danke Rockpalast :clinking_beer_mugs:"
ct_16,Anarch,2022-06-18 18:45:32.694682,24:21,Now c`mon & let´s rumble
ct_17,Davi Crystal,2022-06-18 18:50:00.608234,28:49,Brilliant performance
ct_18,Homunculus,2022-06-18 18:52:16.147386,31:04,what's this song called?
ct_19,TheAzraelCrowley,2022-06-18 18:53:33.766832,32:22,freaks in the valley 
ct_20,Homunculus,2022-06-18 18:54:22.376829,33:11,thanks brother
ct_21,TheAzraelCrowley,2022-06-18 18:55:02.087870,33:51,i dont know the song 
ct_22,Homunculus,2022-06-18 18:57:32.639887,36:21,what's freaks in the valley then
ct_23,TheAzraelCrowley,2022-06-18 18:58:06.711737,36:55,freak valley fest 
ct_24,John Wayne Gacy Victim,2022-06-18 18:58:27.805844,37:16,Prefiro a banda Calypso
ct_25,Homunculus,2022-06-18 18:58:37.773312,37:26,right lol
ct_26,TheAzraelCrowley,2022-06-18 18:59:16.214752,38:04,hippies down in the vally 
ct_27,Anarch,2022-06-18 19:04:25.664382,43:14,starting 2 get better👍🏿
ct_28,Cuba Pete,2022-06-18 19:04:33.287940,43:22,These Guys are Insane..Great Realisation ..and totale Musicians🤘🏻
ct_29,Erwin S.,2022-06-18 19:05:09.369119,43:58,i agree!
ct_30,Anarch,2022-06-18 19:06:03.981496,44:52,beat the Shyt out of these Pots and Panlids & squezze these Fiddles to Tears
ct_31,Erwin S.,2022-06-18 19:07:42.468400,46:31,:clapping_hands:
ct_32,Turbolars,2022-06-18 19:08:26.672999,47:15,great Show:sign_of_the_horns:
ct_33,WDR Rockpalast,2022-06-18 19:08:42.149175,47:31,Thank you for watching! This one Song was called Grace :slightly_smiling_face: 
ct_34,Anarch,2022-06-18 19:08:43.500869,47:32,👍🏿👊🏼
