comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Domaniac,2022-06-04 14:48:16.320215,-52:58,let's goooooo
ct_2,Christopher Gase,2022-06-04 15:41:08.659801,-0:06,Kodex :smiling_face_with_heart_eyes:
ct_3,Domaniac,2022-06-04 15:43:06.039908,1:44,"wie, kein Maiden-Shirt?"
ct_4,Antoni Huguet,2022-06-04 15:43:31.705264,2:10,Doom over the world!!!
ct_5,Walter Pidone,2022-06-04 15:43:35.905084,2:14,Excelente....desde Cordoba Argentina!!
ct_6,Vlada Kostic,2022-06-04 15:44:02.490387,2:41,good...:sign_of_the_horns:🇷🇸
ct_7,VITTORIO PAVAN,2022-06-04 15:44:53.454539,3:32,:love_you_gesture::love_you_gesture::love_you_gesture:
ct_8,Domaniac,2022-06-04 15:45:02.066892,3:40,"Hooooooly, hooooooly..."
ct_9,Chris Musicman,2022-06-04 15:52:20.911360,10:59,Hail to the Kodex🤘🏿🤘🏿🤘🏿
ct_10,Vegard Kopperud,2022-06-04 15:52:41.638405,11:20,:sign_of_the_horns:
ct_11,David Saavedra Romero,2022-06-04 15:56:00.159687,14:39,"SALUDOS desde Ecuador. Primera vez que escucho está banda, y no soy crítico, pero me parecen MUY BUENOS"
ct_12,Sebastian Schlereth,2022-06-04 15:58:33.396783,17:12,:flexed_biceps:
ct_13,Domaniac,2022-06-04 16:03:37.769709,22:16,ach wie geil
ct_14,Domaniac,2022-06-04 16:05:52.076836,24:31,bissle lauter könnt die Cora schon sein
ct_15,Herr Rabe,2022-06-04 16:08:09.676010,26:48,Mein grösster Traum ist es eine liebenswerte Frau zu haben in der kein anderer Mann zum Höhepunkt gekommen ist.
ct_16,TheKarsten75,2022-06-04 16:09:15.398782,27:54,Ich liebe diesen Song! 
ct_17,lisa,2022-06-04 16:11:30.558455,30:09,lol ich sitze hier live wieso bin ich im livestream
ct_18,Domaniac,2022-06-04 16:11:50.372892,30:29,haha
ct_19,Jonny,2022-06-04 16:15:19.650631,33:58,Rock and spit and roll
ct_20,Roberto Gallingani,2022-06-04 16:17:24.425935,36:03,:face_with_tongue::face_with_tongue::face_with_tongue:
ct_21,Domaniac,2022-06-04 16:17:43.778535,36:22,JAAAAAAAA
ct_22,Jonny,2022-06-04 16:19:28.404525,38:07,First time hearing this band. Sounds awesome 🤟🏻
ct_23,Völle Rockt - meine Musiktipps zur Apokalypse!,2022-06-04 16:20:16.925348,38:55,:sign_of_the_horns::smiling_face_with_sunglasses::sign_of_the_horns:
ct_24,Infinitus Channel,2022-06-04 16:20:22.932216,39:01,hello
ct_25,Kit Fox,2022-06-04 16:21:45.839925,40:24,"I just discovered this band literally two days ago, and I'm hooked."
ct_26,Domaniac,2022-06-04 16:22:54.544918,41:33,"saw them last week at Metalheadz Open Air, can't wait to see them again"
ct_27,cristian paez,2022-06-04 16:24:41.680550,43:20,🇨🇱🇨🇱🇨🇱:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:🇨🇱🇨🇱🇨🇱:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_28,Domaniac,2022-06-04 16:26:39.441206,45:18,BEHOLD THE URKRAFT!
ct_29,IDelta_Vengeance,2022-06-04 16:30:51.539307,49:30,you guys know if someone is going to stream Ice Nine Kills set? 
ct_30,Domaniac,2022-06-04 16:30:54.735498,49:33,"Share the Madness, the Fury and the MIght!"
ct_31,ヒロシです,2022-06-04 16:31:05.958351,49:44,🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻
ct_32,Domaniac,2022-06-04 16:32:19.636345,50:58,"etwas wacklig zu Beginn, aber geile Show!"
ct_33,Kit Fox,2022-06-04 16:32:22.871315,51:01,they probably will stream it. go to the Rockpalast page and see if it's coming up.
