comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Stefan Rosbeek,2018-08-18 18:36:46.523717,1:08,"yes, here we go again"
ct_2,EvilJester,2018-08-18 18:37:18.390441,1:40,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_3,Alexandr Borisov,2018-08-18 18:39:59.797315,4:21,SUPER!!!:smiling_face_with_sunglasses:
ct_4,Holy Knight,2018-08-18 18:40:19.317576,4:41,"So, da sind wir wieder! Und weiter gehts!! \m/"
ct_5,İlker,2018-08-18 18:40:42.428382,5:04,Great:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_6,wast3mytim3,2018-08-18 18:40:56.467455,5:18,:sign_of_the_horns:
ct_7,EvilJester,2018-08-18 18:41:03.696812,5:24,endlich gescheite Musik
ct_8,Fabio Borges,2018-08-18 18:41:10.594157,5:32,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_9,Daniel Xfamsty3rrr,2018-08-18 18:44:47.512499,9:09,what the helll is this
ct_10,Holy Knight,2018-08-18 18:44:55.648077,9:16,Dirk Schneider ist eine Legende!
ct_11,EvilJester,2018-08-18 18:45:22.171004,9:43,Mit Sohnemann an den Drums
ct_12,Daniel Xfamsty3rrr,2018-08-18 18:45:46.903551,10:08,das ist suß
ct_13,Holy Knight,2018-08-18 18:45:53.560901,10:15,So muss das sein!
ct_14,Fireleaf,2018-08-18 18:45:55.371853,10:17,RIP Lemmy :disappointed_face:
ct_15,Daniel Xfamsty3rrr,2018-08-18 18:46:10.187970,10:32,korn s JDwife
ct_16,Holy Knight,2018-08-18 18:46:14.424489,10:36,Was hat denn Lemmy jetzt damit zu tun? lol
ct_17,Fireleaf,2018-08-18 18:46:34.722264,10:56,Die wussten noch wie´s geht :winking_face:
ct_18,Holy Knight,2018-08-18 18:46:54.802763,11:16,Das weiß Dirk auch!
ct_19,EvilJester,2018-08-18 18:47:09.802382,11:31,:thumbs_up::thumbs_up:
ct_20,Holy Knight,2018-08-18 18:47:32.098538,11:54,"Ich finde U.D.O, Dirk Schneider und Accept weit besser! Aber das ist Geschmackssache"
ct_21,RockNRoli,2018-08-18 18:47:46.698782,12:08,LEGEND
ct_22,EvilJester,2018-08-18 18:48:09.931794,12:31,Accept ohne Udo is nicht Accept
ct_23,Holy Knight,2018-08-18 18:48:28.586484,12:49,Ahh nicht so hart! Accepts Sänger hat es auch drauf :winking_face:
ct_24,Raimund Martin,2018-08-18 18:48:47.936794,13:08,"1989 durfte ich Dirkschneider, damals als U.D.O das erste mal Live sehen"
ct_25,TheA zraelit,2018-08-18 18:49:43.596804,14:05,In Wacken waren sie und Judas Priest meine highlights
ct_26,Bebetto | Official,2018-08-18 18:50:21.276222,14:43,:flexed_biceps::sign_of_the_horns:
ct_27,EvilJester,2018-08-18 18:50:38.211112,14:59,warum hat Udo mit Metal Heart angefangen???
ct_28,Holy Knight,2018-08-18 18:50:50.918255,15:13,Wieso denn nicht?
ct_29,EvilJester,2018-08-18 18:51:08.176764,15:29,das gehört zum schluss
ct_30,TheA zraelit,2018-08-18 18:51:54.517104,16:16,Da kommen noch ein paar Kracher
ct_31,Lauschangriff13,2018-08-18 18:52:54.264862,17:15,Oh Gott sorry. Aber das ist echt schlecht. Was soll das sein? ACDC für arme?
ct_32,EvilJester,2018-08-18 18:53:12.507935,17:32,lol....klassiker halt:grinning_face:
ct_33,Holy Knight,2018-08-18 18:53:31.052343,17:52,ACDC für arme? Dirk Schneider? Da hat jemand aber mal gar keine Ahnung!
ct_34,RockNRoli,2018-08-18 18:53:57.672117,18:19,METAL 4 EVER
ct_35,TheA zraelit,2018-08-18 18:54:01.568321,18:23,"Wenn man keine Ahnung hat, einfach maul halten"
ct_36,Lauschangriff13,2018-08-18 18:54:06.186693,18:27,Doch. Aber das ist gesanglich echt mies
ct_37,wast3mytim3,2018-08-18 18:54:16.659778,18:38,Accept und UDO sind meiner Ansicht nach besser als ACDC
ct_38,WDR Rockpalast,2018-08-18 18:54:16.985366,18:39,Dirk Schneider macht schon länger Musik als es ACDC gibt
ct_39,RockNRoli,2018-08-18 18:54:25.638216,18:46,UDO IST LEGENDE
ct_40,Holy Knight,2018-08-18 18:54:44.346458,19:06,Ich wollte gerade sagen! Dirk Schneider war VOR AC/DC
ct_41,RockNRoli,2018-08-18 18:54:44.574723,19:06,es hat jeder seine eigene Meinung
ct_42,RockNRoli,2018-08-18 18:54:56.079358,19:17,für mich ist er LEGENDE
ct_43,WDR Rockpalast,2018-08-18 18:55:09.217369,19:30,:folded_hands:
ct_44,Holy Knight,2018-08-18 18:55:22.308103,19:42,:winking_face:
ct_45,EvilJester,2018-08-18 18:55:24.544206,19:46,#metoo
ct_46,Lauschangriff13,2018-08-18 18:55:55.375472,20:16,"Trotzdem schlecht. Aber wie rocknroli sagt hat ja jeder seine eigene Meinung. Is halt nicht meins, gesanglich. Musikalisch voll ok"
ct_47,RockNRoli,2018-08-18 18:56:03.861165,20:25,k
ct_48,TheA zraelit,2018-08-18 18:56:08.053241,20:29,"Einer meiner Helden, brachte mich zum Metal"
ct_49,Gleyson Peres Toledo,2018-08-18 18:56:08.521530,20:30,Metaaaaal :smiling_face_with_horns:
ct_50,RockNRoli,2018-08-18 18:56:45.496293,21:06,METAL HEART dem eine gefällts dem anderen net egal...Wir lieben alle Musik also würden mir gar net sonst zur Musik einschalten
ct_51,Lauschangriff13,2018-08-18 18:57:02.864869,21:24,"Puh.... will hier keine Diskussion entfachen, sorry, ich schalt später wieder ein"
ct_52,Lauschangriff13,2018-08-18 18:57:13.543501,21:34,Viel Spaß noch
ct_53,EvilJester,2018-08-18 18:57:15.726054,21:37,tschöööö
ct_54,Holy Knight,2018-08-18 18:57:21.217494,21:42,jo danke
ct_55,Holy Knight,2018-08-18 18:57:46.739976,22:08,ööö
ct_56,EvilJester,2018-08-18 18:57:53.000019,22:14,Kulturbanause....:beaming_face_with_smiling_eyes:
ct_57,amon amarth,2018-08-18 18:58:21.687958,22:43,vive udo
ct_58,Holy Knight,2018-08-18 18:58:47.688930,23:09,Aber das ist nicht U.D.O sonder Dirk Schneider haha ^^
ct_59,wast3mytim3,2018-08-18 19:00:32.954153,24:54,wasn da der unterschied?
ct_60,EvilJester,2018-08-18 19:00:44.588806,25:06,jetz getz voran.....
ct_61,wast3mytim3,2018-08-18 19:00:53.820869,25:16,das der sohnemann an den drums sitzt?
