comment_id,username,comment_date,time_delta_since_upload,message
ct_1,WDR Rockpalast,2022-06-18 19:30:24.053758,0:58,"Zum ersten Mal seit 2018 spielt die Band überhaupt wieder zusammen, noch nicht mal geprobt haben sie! ""It's in our blood!"" sagte uns Frontmann Steve Moss im Backstage dazu :grinning_face: "
ct_2,The Doctor,2022-06-18 19:31:09.479447,1:43,"I am really enjoying this X-perience , cool ch."
ct_3,♡íris♡,2022-06-18 19:32:24.088785,2:58,Goooddd sound
ct_4,The Doctor,2022-06-18 19:33:22.252804,3:56,Agrree. Real clean sound.
ct_5,Daniel Luna,2022-06-18 19:37:39.123108,8:13,sucks
ct_6,Snow Blind,2022-06-18 19:38:38.512816,9:12,"Great band, digging this Saturday treat"
ct_7,♡íris♡,2022-06-18 19:40:40.338938,11:14,🤘🏼🤘🏼🤘🏼
ct_8,Turbolars,2022-06-18 19:48:31.664983,19:05,nur geil:sign_of_the_horns:
ct_9,Poppy Seed,2022-06-18 19:49:11.404214,19:45,Hammer Band!!!!!
ct_10,Madmars Motorhead,2022-06-18 19:50:01.820802,20:35,:tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass:
ct_11,Zoltan Báno,2022-06-18 19:50:04.977632,20:38,:smiling_face_with_sunglasses::sign_of_the_horns::flexed_biceps::nose::flexed_biceps:
ct_12,Luciana Alves,2022-06-18 19:56:00.115208,26:34,:sign_of_the_horns:
ct_13,Poppy Seed,2022-06-18 19:56:09.448371,26:43,Hope they play BC Trucker:washhands::washhands::washhands:
ct_14,♡íris♡,2022-06-18 19:56:54.247706,27:28,Excelent! True R’n’R 🤘🏼:guitar::guitar::drum:
ct_15,Spaghetti Policy421,2022-06-18 19:57:17.490942,27:51,Friends of mine. Stoked to see they are jamming again
ct_16,Rodrigo Palmeiras Birigui,2022-06-18 19:58:49.361761,29:23,Smoke Weed
ct_17,Snow Blind,2022-06-18 19:59:43.783279,30:17,I do
ct_18,ROSE ANN Ross,2022-06-18 20:00:05.066249,30:39,"Steven great job Buffalo, NY"
ct_19,Miss Ewe,2022-06-18 20:00:06.570454,30:40,:fire: :dashing_away::dashing_away::dashing_away::dashing_away::face_with_steam_from_nose:
ct_20,Bree Vwhyman,2022-06-18 20:00:16.797385,30:50,"jesus, they have HORRIFIC ovedrive pedals or AMPS at this event........it sounds real bad....."
ct_21,Snow Blind,2022-06-18 20:01:24.096811,31:58,"As a guitarist, I like that fuzz e"
ct_22,Bree Vwhyman,2022-06-18 20:02:10.660304,32:44,"it just sounds like a saturated NOISY AMP sound.....it's terrible......ALL THE BANDS HAVE SOUNDED THE SAME WITH A KIND OF SATURATED "" FUZZ"" sound........ugly"
ct_23,Green Cosmos,2022-06-18 20:02:50.141005,33:24,@Bree Vwhyman feel free to leave then
ct_24,Olaf Mertens,2022-06-18 20:03:06.173967,33:40,wrong event for you maybe...
ct_25,Snow Blind,2022-06-18 20:03:32.728307,34:06,"It's not the best but certainly not terrible, to each their own:goodvibes:"
ct_26,Matei Dragos Adrian,2022-06-18 20:03:32.913025,34:06,it sounds just fine
ct_27,kevin burr,2022-06-18 20:03:42.999714,34:16,tell me you don't listen to doom/stoner metal without telling me you don't listen to doom/stoner metal
ct_28,Frequencydead,2022-06-18 20:03:57.263563,34:31,In Fuzz We Trust !!!! 
