comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Desert Rocka,2019-06-20 22:12:52.495249,2:47,The Chiet is Back :grinning_face_with_big_eyes:
ct_2,Desert Rocka,2019-06-20 22:12:59.192306,2:54,Chief
ct_3,Luiz,2019-06-20 22:16:01.736208,5:57,Muito bom!!
ct_4,Desert Rocka,2019-06-20 22:17:40.341668,7:35,hi luiz
ct_5,Doomed and Stoned Latinoamerica,2019-06-20 22:22:32.774207,12:27,El jefe
ct_6,Poppy Seed,2019-06-20 22:26:54.319451,16:49,Awesome!:thumbs_up::thumbs_up::thumbs_up:
ct_7,M4R4CK0 ;D,2019-06-20 22:27:20.470734,17:15,nice music!
ct_8,Thee Muzakman,2019-06-20 22:28:39.459596,18:35,You and me !!!
ct_9,DADDY,2019-06-20 22:31:47.366256,21:42,i see this guy on The Boondock Saints
ct_10,DADDY,2019-06-20 22:31:53.133719,21:48,vocalist
ct_11,Sven Müller,2019-06-20 22:33:12.079777,23:07,Let the truth be known...and get stoned! 424life!
ct_12,András Farsang,2019-06-20 22:36:04.697913,25:59,rock never dies
ct_13,Poppy Seed,2019-06-20 22:37:22.748127,27:17,Holy Brant:folded_hands:
ct_14,Al Crapone,2019-06-20 22:44:56.328495,34:51,Damn! Is that Sean Wheeler on Vocals?
ct_15,Poppy Seed,2019-06-20 22:45:43.107413,35:38,yes!
ct_16,Sascha Schneider,2019-06-20 22:56:43.001982,46:37,:smiling_face_with_smiling_eyes:🤘🏼
ct_17,SuperPunker77,2019-06-20 22:59:48.422073,49:43,hammergeil
ct_18,Luiz Guilherme,2019-06-20 23:04:49.735146,54:44,"Vida longa, Brant Bjork! 🤘🏻:guitar::musical_notes:"
ct_19,Jorge Lopez,2019-06-20 23:05:25.967707,55:21,"ah, carajo!"
ct_20,Jorge Lopez,2019-06-20 23:05:39.629468,55:34,stoner!!!!!
ct_21,Jaro Mihok,2019-06-20 23:07:10.650614,57:05,:sign_of_the_horns::guitar::drum::sign_of_the_horns:
ct_22,Maxim Popoff,2019-06-20 23:07:23.026796,57:18,good idea
ct_23,Poppy Seed,2019-06-20 23:08:51.771050,58:46,Godfather of Stoner🤘🏿
ct_24,Marcelo S A,2019-06-20 23:09:02.720414,58:57,sonzera
