comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Stephonhisbike,2022-06-05 17:08:32.508780,-16:42,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::smiling_face_with_horns:
ct_2,Long Island official,2022-06-05 17:11:46.048715,-13:28,es ist die Branche
ct_3,OldHARRY Productions,2022-06-05 17:14:48.451200,-10:26,Hells yeah from Long Beach ca
ct_4,Anscharius,2022-06-05 17:25:51.284061,0:30,guten tag
ct_5,massimoto,2022-06-05 17:26:35.511037,1:14,:ogre::sign_of_the_horns:
ct_6,cristian paez,2022-06-05 17:26:36.394231,1:15,🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_7,Ramon Schöning,2022-06-05 17:26:42.500118,1:21,Yeah!!
ct_8,Thiagörn,2022-06-05 17:27:23.981161,2:03,crazy band!
ct_9,Swine Brothers,2022-06-05 17:30:22.486697,5:01,My neck already hurts.
ct_10,Xmonkey007X,2022-06-05 17:30:52.528182,5:31,:squinting_face_with_tongue:
ct_11,Ramon Schöning,2022-06-05 17:31:03.754944,5:42,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_12,Arkangel Arkangel,2022-06-05 17:31:10.403754,5:49,yeah!
ct_13,Johann_Caspar Baumgartner,2022-06-05 17:32:55.181852,7:34,Not my cup of tea.... :face_with_rolling_eyes:
ct_14,Chr Klmstr,2022-06-05 17:33:44.310677,8:23,saw em live two days ago with night demon. they are fantastic 
ct_15,Swine Brothers,2022-06-05 17:33:53.447722,8:32,This is totally my thing.
ct_16,Colin Boschma,2022-06-05 17:34:15.768145,8:54,seeing them live saturday
ct_17,Senovuk,2022-06-05 17:34:37.587481,9:16,AWESOME
ct_18,Colin Boschma,2022-06-05 17:35:25.794541,10:04,great band
ct_19,Senovuk,2022-06-05 17:35:40.385758,10:19,Speed Black metal
ct_20,Metalhead das_ METALHEAD,2022-06-05 17:37:19.503206,11:58,Punk Metal 
ct_21,Ramon Schöning,2022-06-05 17:39:54.925181,14:33,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_22,Joao Carlos Sales,2022-06-05 17:40:41.979423,15:20,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:🇧🇷🇧🇷🇧🇷🇧🇷
ct_23,Ruthless Metal,2022-06-05 17:40:55.529088,15:34,Just kidding. haha
ct_24,Dirty Dan,2022-06-05 17:42:39.571075,17:18,"watching you guys out of the restaurant kitchen, you are awesome!!! saw you in Hamburg"
ct_25,fury,2022-06-05 17:43:50.533468,18:29,:sign_of_the_horns::skull::sign_of_the_horns:
ct_26,Ruthless Metal,2022-06-05 17:44:11.719328,18:50,They're killing it!
ct_27,Cristian Cisternas,2022-06-05 17:47:42.433707,22:21,:fire::fire::fire:
ct_28,Heavy Metal Gamer Show,2022-06-05 17:48:32.392384,23:11,One of the best bands ever right here. 
ct_29,Chr Klmstr,2022-06-05 17:49:08.479297,23:47,true
ct_30,der todesking,2022-06-05 17:49:16.860676,23:55,Alter machen die Party!!! :fire:
ct_31,Andreas Becker,2022-06-05 17:50:20.902858,25:00,:rolling_on_the_floor_laughing:
ct_32,Chr Klmstr,2022-06-05 17:50:22.179440,25:01,This is one of their best songs 
ct_33,der todesking,2022-06-05 17:50:28.043578,25:07,Geile live band!!
ct_34,Heavy Metal Gamer Show,2022-06-05 17:50:31.898991,25:10,"Lust, Filth and Sleaze!"
ct_35,fury,2022-06-05 17:51:54.117878,26:33,tippi toppi
ct_36,Hauke Gering,2022-06-05 17:53:30.856278,28:09,wo ist das
ct_37,Chr Klmstr,2022-06-05 17:54:08.116747,28:47,Gelsenkirchen
ct_38,Nords_e87_130i,2022-06-05 17:56:46.144502,31:25,"Das wirklich geil, Midnight.. Noch nie gehört, das würd ich mir auch gern live vor Ort geben :winking_face:"
ct_39,Gloryhammer 84,2022-06-05 18:00:48.842835,35:27,black´n´roll at its finest right there
ct_40,Wannabe,2022-06-05 18:00:54.513535,35:33,geiler Scheiß!
ct_41,mchl_mll,2022-06-05 18:02:18.129782,36:57,es gibt viele geile neue bands 
ct_42,David Sagarra,2022-06-05 18:03:12.679945,37:51,Midnight’s latest album is damn good. First class Punk Metal
ct_43,Chr Klmstr,2022-06-05 18:03:35.780225,38:14,Die gibts schon bald 20 Jahre
ct_44,Rodrigo Subirats Mochales,2022-06-05 18:04:13.184366,38:52,vivan los hitten
ct_45,Heavy Metal Gamer Show,2022-06-05 18:04:16.944673,38:55,"Hell they don't even have a band album. Some better than others, but nothing that could be considered awful. They just straight up kick ass. "
ct_46,Gloryhammer 84,2022-06-05 18:05:08.561504,39:47,@Smoove Eleven also neu sind die jungs wahrlich nicht ^^
ct_47,mchl_mll,2022-06-05 18:05:30.462082,40:09,ja hab mich vertan :grinning_squinting_face:
ct_48,ヒロシです,2022-06-05 18:05:55.819686,40:34,🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻
ct_49,Stephonhisbike,2022-06-05 18:06:14.651741,40:53,raw and dirty metal !!!!!!
ct_50,Keith Darling,2022-06-05 18:06:26.265955,41:05,Yep....I would hide my face too if I had to play with this horrible band!!
ct_51,Gloryhammer 84,2022-06-05 18:07:13.206509,41:52,some have a good taste in music and yo dont @Keith Darling 
ct_52,Stephonhisbike,2022-06-05 18:09:07.537329,43:46,@Gloryhammer 84 well said :face_with_tongue:
ct_53,jose beria,2022-06-05 18:09:39.026887,44:18,"Sounds like Venom, i like it."
ct_54,Chr Klmstr,2022-06-05 18:09:39.448511,44:18,:grinning_squinting_face:
ct_55,Keith Darling,2022-06-05 18:10:13.480440,44:52,You must not have taste buds if you call this tasteful music. I've heard beginners play better than this crap.
ct_56,Nords_e87_130i,2022-06-05 18:10:23.347805,45:02,"The only stupid thing is to complain about something you get for free (okay, we germans pay GEZ, but this is well spend) and can tune out at any time to listen to other stuff. "
ct_57,Chr Klmstr,2022-06-05 18:11:27.350108,46:06,"Now you can express your dislike for the music, but calling these guys bad musicians just shows your lack of knowledge about music and instruments"
ct_58,FedExodus,2022-06-05 18:12:31.197275,47:10,@Keith Darling chill and go listen to Five Finger Death Punch...BRO
ct_59,Nords_e87_130i,2022-06-05 18:13:07.491368,47:46,"They have awesome drive, straight forward. They know what they do! Interesting genre mix as well."
ct_60,Stephonhisbike,2022-06-05 18:14:43.650959,49:22,you can't stop steel !!!!!!!!!
ct_61,Peter Mill,2022-06-05 18:16:02.899829,50:41,Metaller sind Spießer
ct_62,Sandelia Himmelskind,2022-06-05 18:16:13.791913,50:52,nicht ganz so mein Ding
ct_63,Roberto Borges de Oliveira,2022-06-05 18:16:40.077009,51:19,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_64,Heavy Metal Gamer Show,2022-06-05 18:16:46.993517,51:26,I wish they would throw T.A.P from Shox of Violence on their setlist. 
ct_65,Stephonhisbike,2022-06-05 18:17:24.973724,52:04,can't stop headbanging !!!!
ct_66,Meshuggah Mischell,2022-06-05 18:17:47.440841,52:26,Midnight sind nur geil :love_you_gesture::love_you_gesture::love_you_gesture:
ct_67,Vampiria!,2022-06-05 18:18:32.886269,53:11,Unholy and Rotten!
ct_68,Nords_e87_130i,2022-06-05 18:18:48.965027,53:27,Hmmmm Base Line
ct_69,KALFU 💎,2022-06-05 18:19:07.316409,53:46,:sparkles:🤟🏾:black_heart:🤟🏾:sparkles:
ct_70,Alison Rocha,2022-06-05 18:19:14.548035,53:53,Satan is here
ct_71,jose a.,2022-06-05 18:20:11.983635,54:50,The bass sounds like a cannon!!!
ct_72,Chr Klmstr,2022-06-05 18:20:49.619124,55:28,This song is live so much better . Sounds kinda stiff on the record IMO 
ct_73,coltrane1966,2022-06-05 18:21:20.371399,55:59,who is this band?
ct_74,Fernando FX González,2022-06-05 18:21:35.784909,56:14,great festival... can't wait to see Accept :sign_of_the_horns::smiling_face_with_horns:
ct_75,Meshuggah Mischell,2022-06-05 18:22:01.020960,56:39,MIDNIGHT
ct_76,Nords_e87_130i,2022-06-05 18:22:31.778289,57:10,Ohoh that does not look TÜV conform
ct_77,Heavy Metal Gamer Show,2022-06-05 18:22:33.728583,57:12,"@coltrane1966 Midnight, from Cleveland, Ohio. Killer band, has a mix of Motorhead meets Venom, and little rock n roll thrown in there. "
ct_78,coltrane1966,2022-06-05 18:23:39.310398,58:18,"Thanks, I like them."
ct_79,Nords_e87_130i,2022-06-05 18:24:18.780079,58:57,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
