comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Marduk1813,2022-06-18 20:36:34.457241,-4:10,:beaming_face_with_smiling_eyes:
ct_2,demg85,2022-06-18 20:37:39.541367,-3:05,saludos de Tenerife :top_arrow::partying_face::partying_face:
ct_3,evkin,2022-06-18 20:39:01.012052,-1:43,auf gehts
ct_4,Marduk1813,2022-06-18 20:39:29.830378,-1:15,saludos!
ct_5,WDR Rockpalast,2022-06-18 20:41:07.464554,0:16,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_6,Marduk1813,2022-06-18 20:42:49.486248,1:57,:victory_hand:
ct_7,Michael Henaghan,2022-06-18 20:43:01.064387,2:09,:firecracker::firecracker::firecracker::firecracker::firecracker:
ct_8,Zausels Kräuterallerlei,2022-06-18 20:43:03.582331,2:12,Grüße euch :sign_of_the_horns::man_raising_hand:
ct_9,evkin,2022-06-18 20:43:35.517637,2:44,oh ja
ct_10,Mark Wô'Jama,2022-06-18 20:43:39.687763,2:48,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::black_heart::black_heart::black_heart:
ct_11,demg85,2022-06-18 20:43:49.343995,2:58,"beer , weed y elder good"
ct_12,Marduk1813,2022-06-18 20:44:09.412144,3:18,No weed here :disappointed_face:
ct_13,Miss Ewe,2022-06-18 20:44:10.708432,3:19,:ear::red_heart::ear::musical_notes: :musical_note:
ct_14,Madmars Motorhead,2022-06-18 20:44:26.183825,3:33,:pizza::hot_dog::face_savoring_food::tumbler_glass::tumbler_glass::tumbler_glass:
ct_15,evkin,2022-06-18 20:44:56.351287,4:05,Salitos + Kippen für mich
ct_16,Green Cosmos,2022-06-18 20:45:23.232159,4:32,:wind_face::wind_face::wind_face:
ct_17,demg85,2022-06-18 20:45:52.533584,5:01,gracias por los livestream y despues mike pike the fokingbooss
ct_18,Miss Ewe,2022-06-18 20:46:05.146557,5:14,:fire: :kissing_face_with_smiling_eyes::dashing_away::dashing_away::dashing_away::dashing_away:
ct_19,Gerardo Velez,2022-06-18 20:46:25.265720,5:34,:guitar::guitar::guitar::guitar::guitar::guitar:
ct_20,Bill Riddle,2022-06-18 20:46:29.350330,5:38,Today is going to be good.
ct_21,mrbizzarro,2022-06-18 20:46:53.225846,6:02,Woooooo
ct_22,evkin,2022-06-18 20:47:01.082775,6:10,Elder and Fu Manchu!
ct_23,Miss Ewe,2022-06-18 20:47:23.266666,6:32,aye mrbizzarro :smiling_face_with_sunglasses::sign_of_the_horns:
ct_24,Mark Wô'Jama,2022-06-18 20:47:31.500495,6:40,Greetings from Brazil :sign_of_the_horns:🇧🇷:black_heart::black_heart::black_heart:
ct_25,mrbizzarro,2022-06-18 20:48:14.144317,7:23,Haha hey ewe!
ct_26,Marduk1813,2022-06-18 20:48:55.614523,8:04,Aaaaaah fantastic band 
ct_27,Bill Riddle,2022-06-18 20:49:27.902678,8:36,Matt Pike today
ct_28,GyroLamb,2022-06-18 20:49:36.873971,8:45,much better than megadeth thats for sure
ct_29,mrbizzarro,2022-06-18 20:49:41.241662,8:50,Fu Manchu later!! yesss
ct_30,Bill Riddle,2022-06-18 20:50:35.629936,9:44,Crowd will go crazy for FU
ct_31,Mark Wô'Jama,2022-06-18 20:50:51.779063,10:00,"We shouldn't make comparisons between them, GyroLamb, but I also stopped Megadeth and came here to enjoy Elder heheh :sign_of_the_horns::winking_face_with_tongue:"
ct_32,mrbizzarro,2022-06-18 20:50:55.910644,10:04,And high on fire!!! daaaang
ct_33,Marduk1813,2022-06-18 20:51:17.637904,10:26,Killer lineup
ct_34,PEDAL GONG SHOW,2022-06-18 20:51:32.712679,10:41,:right_facing_fist::black_heart::left_facing_fist:
