comment_id,username,comment_date,time_delta_since_upload,message
ct_1,WDR Rockpalast,2022-06-18 21:38:23.123424,-28:26,Ready for High on Fire? :fire::speaker_high_volume::knocked_out_face:
ct_2,G32 RECITALES,2022-06-18 21:38:24.707561,-28:25,GO GO GO GOOOOOOOOOOOOOO 
ct_3,Madmars Motorhead,2022-06-18 21:44:32.587816,-22:17,:tumbler_glass::tumbler_glass::tumbler_glass::hugging_face::cookie:
ct_4,Madmars Motorhead,2022-06-18 21:50:24.581756,-16:25,We need to drink to Rockpalast - thank them for such a broadcast ! Your health! You are gods .:tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass:
ct_5,THE MACHINE,2022-06-18 21:50:26.091200,-16:23,Genau!
ct_6,12 Watt Stack,2022-06-18 21:59:59.484515,-6:50,ODIN AWAKES! HIGH ON FIRE WILL BATTER AND SMITE!
ct_7,Marduk1813,2022-06-18 22:00:52.085265,-5:57,:raised_fist:
ct_8,WDR Rockpalast,2022-06-18 22:02:53.488574,-3:56,Almost there! 
ct_9,demg85,2022-06-18 22:04:53.921450,-1:56,vamos mike pike es nuestro dios 
ct_10,Franco Colapinto,2022-06-18 22:05:05.146350,-1:44,si
ct_11,12 Watt Stack,2022-06-18 22:05:12.073691,-1:37,It’s cool. They’re such great guys!
ct_12,G32 RECITALES,2022-06-18 22:05:21.778687,-1:28,@demg85 aguante matt carajooo
ct_13,El Ciervo Carmesí,2022-06-18 22:06:05.140229,-0:44,Si ahuevo
ct_14,WDR Rockpalast,2022-06-18 22:07:16.225365,0:20,Here we goooo :fire::fire::fire::fire::fire::fire:
ct_15,Miss Ewe,2022-06-18 22:07:34.286796,0:38,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_16,mrbizzarro,2022-06-18 22:07:41.205460,0:45,Yesssssss
ct_17,Marduk1813,2022-06-18 22:07:41.634023,0:45,:raised_fist::raised_fist::raised_fist:
ct_18,G32 RECITALES,2022-06-18 22:07:48.711829,0:52,VAMOOOOOOOOOOOOOOOOOOOOOO
ct_19,defshrimp,2022-06-18 22:08:15.614461,1:19,MATT PIKE!!!!! 
ct_20,Henrik W,2022-06-18 22:08:28.648419,1:32,FIrst song? I just came back
ct_21,NikosP,2022-06-18 22:08:36.904117,1:40,Coady is a BEAST.
ct_22,mrbizzarro,2022-06-18 22:08:49.740090,1:53,My favorite band on this bill
ct_23,ALPHATRAZ ,2022-06-18 22:08:51.336753,1:55,Hell yeah!
ct_24,Marduk1813,2022-06-18 22:08:56.232040,2:00,@Henrik W Just started like a minute ago
ct_25,AJ206,2022-06-18 22:09:04.202832,2:08,:folded_hands::guitar::fire::musical_note:
