comment_id,username,comment_date,time_delta_since_upload,message
ct_1,snaer,2022-06-03 21:19:09.716011,-16:15,🤘🏻:partying_face::clinking_beer_mugs:👌🏻
ct_2,Infinitus Channel,2022-06-03 21:22:34.977051,-12:50,Hello 
ct_3,Haydee Carrasco,2022-06-03 21:26:32.164226,-8:52,:goodvibes:
ct_4,Dirk Hougardy,2022-06-03 21:27:03.197617,-8:21,Hab mir gerade ein paar Minuten Broilers gegeben.. Gähn:sleeping_face::winking_face_with_tongue:
ct_5,Rodrigo Palmeiras Birigui,2022-06-03 21:30:13.954671,-5:11,PALMEIRAS - BRASIL!
ct_6,McMalt,2022-06-03 21:33:17.775224,-2:07,Hello 🤘🏼
ct_7,lesegut,2022-06-03 21:35:33.515843,0:02,Cheers
ct_8,Dhannerla,2022-06-03 21:37:43.722049,2:12,servus :flexed_biceps::thumbs_up::tumbler_glass:
ct_9,Domaniac,2022-06-03 21:37:55.691186,2:24,und weiter gehts
ct_10,Sergio Andreas,2022-06-03 21:38:02.061881,2:30,here in arizona rock on
ct_11,Madmars Motorhead,2022-06-03 21:39:34.978842,4:03,:tumbler_glass:🤘🏻
ct_12,Schrottfresse 666,2022-06-03 21:40:04.940837,4:33,Prost :beer_mug::clinking_beer_mugs:
ct_13,Boris Alberto Rujano,2022-06-03 21:40:26.173315,4:55,excelente :sign_of_the_horns:🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦🇵🇦
ct_14,Baalphemor,2022-06-03 21:40:41.907906,5:10,hell yeah !
ct_15,Domaniac,2022-06-03 21:41:01.464683,5:30,:clinking_beer_mugs::clinking_beer_mugs:
ct_16,Tiago Borssato,2022-06-03 21:41:36.099423,6:05,lengendary
ct_17,DADDY,2022-06-03 21:41:47.651551,6:16,:partying_face::party_popper::confetti_ball::jack_o_lantern:
ct_18,VITTORIO PAVAN,2022-06-03 21:42:17.113803,6:45,:love_you_gesture::love_you_gesture::love_you_gesture:
ct_19,Vinicius Carvalho Nicolau,2022-06-03 21:42:22.939322,6:51,Great
ct_20,Infinitus Channel,2022-06-03 21:43:37.797517,8:06,ImI
ct_21,Domaniac,2022-06-03 21:46:17.737513,10:46,auf den Pit hätt ich jetzt au bissle Bock
ct_22,Torvophaganax,2022-06-03 21:46:48.111991,11:17,oh he grew some hair since i saw him last
ct_23,azwris,2022-06-03 21:46:59.721029,11:28,I'm glad he's back after the health problems!
ct_24,azwris,2022-06-03 21:48:04.386746,12:33,Come on Sacred Reich!
ct_25,azwris,2022-06-03 21:49:24.039862,13:52,Gooooooo!!! 
ct_26,La lumière étoilée qui rayonne nos cœurs,2022-06-03 21:52:20.613402,16:49,"Hello. Nice, very nice Sacred Reich. Thrash rules yeah ! See you at Graspop :sign_of_the_horns:🇧🇪"
ct_27,svelle,2022-06-03 21:52:31.720858,17:00,McClain!
ct_28,azwris,2022-06-03 21:53:11.949121,17:40,Classic 
ct_29,terry_the_strangler,2022-06-03 21:56:01.097811,20:29,Ja Ja \m/
ct_30,TheThinkersTavern,2022-06-03 21:56:06.573914,20:35,better than metallica
ct_31,La lumière étoilée qui rayonne nos cœurs,2022-06-03 21:56:20.453450,20:49,Oh yes
ct_32,Madmars Motorhead,2022-06-03 21:56:46.208341,21:15,🤘🏻:tumbler_glass:
ct_33,Aras L,2022-06-03 21:57:51.219804,22:20,:spade_suit::spade_suit::spade_suit::spade_suit:
ct_34,TehTruhe,2022-06-03 22:00:05.242256,24:34,:grinning_squinting_face:
ct_35,Aurelio Caetano Da Silva,2022-06-03 22:01:35.788767,26:04,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_36,Roberto Gallingani,2022-06-03 22:02:43.862352,27:12,people who say they are better than Metallica.....the asylum awaits you:grinning_face_with_big_eyes::grinning_face_with_big_eyes::grinning_face_with_big_eyes::grinning_face_with_big_eyes::grinning_face_with_big_eyes::grinning_face_with_big_eyes:
ct_37,Raider,2022-06-03 22:03:36.955781,28:05,Alcoholica was great but Metallica sucks
ct_38,TehTruhe,2022-06-03 22:04:31.904858,29:00,randalica ftw
ct_39,Rooky 81,2022-06-03 22:06:40.052349,31:08,super
ct_40,MrPixelbinge,2022-06-03 22:08:15.752261,32:44,for 'tallica it's just another day at the office.... for bands like SR it's just the thrill to be cool again :star_struck:
ct_41,azwris,2022-06-03 22:08:35.236183,33:04,Very strong return once again for Sacred Reich
ct_42,azwris,2022-06-03 22:09:38.169471,34:07,Who's to....
ct_43,La lumière étoilée qui rayonne nos cœurs,2022-06-03 22:16:01.426981,40:30,Bang your Head
ct_44,Blast-exe,2022-06-03 22:16:13.576575,40:42,excelentes festival
