comment_id,username,comment_date,time_delta_since_upload,message
ct_1,WDR Rockpalast,2022-06-15 23:03:47.749176,-25:52,Are you ready? :sign_of_the_horns:
ct_2,Ricardo Barandiaran,2022-06-15 23:04:17.169522,-25:22,Can't wait!!!!!
ct_3,evkin,2022-06-15 23:05:18.836985,-24:21,auf gehts!
ct_4,Gleisson Cardozo,2022-06-15 23:30:32.344790,0:46,:sign_of_the_horns:
ct_5,WDR Rockpalast,2022-06-15 23:30:49.977308,1:03,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_6,BONGTOWER Psychedelic/Stoner/Doom,2022-06-15 23:30:53.782445,1:07,yeah
ct_7,hakashaq,2022-06-15 23:31:12.013810,1:25,what?
ct_8,Stephen OK,2022-06-15 23:31:59.800054,2:13,:sign_of_the_horns:
ct_9,AnPsychNexus,2022-06-15 23:32:16.213845,2:30,Blue Record!
ct_10,hakashaq,2022-06-15 23:32:16.352042,2:30,sounds good from here
ct_11,Doomed and Stoned Latinoamerica,2022-06-15 23:33:08.753750,3:22,YESSSSSSSSS!!
ct_12,Aluísio Cervelle Santos,2022-06-15 23:33:37.072093,3:51,Rock on! 
ct_13,lucalone,2022-06-15 23:34:06.966343,4:20,ROCKPALAAAAST !!
ct_14,Tornado Cósmico,2022-06-15 23:34:39.129167,4:53,rockpalast Danke 
ct_15,Chris Kepner,2022-06-15 23:35:25.067273,5:39,:love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture::red_heart:
ct_16,SirSupertyp,2022-06-15 23:35:57.524558,6:11,14 Jahre nach dem letzten Rockpalast!
ct_17,Aldo “The Apache” Raine,2022-06-15 23:36:18.879337,6:32,Rockpalast:washhands::washhands::washhands:
ct_18,Mariano Arnaiz,2022-06-15 23:36:40.251815,6:54,🤘🏼
ct_19,Debbie Lee,2022-06-15 23:36:47.269080,7:01,:fire::fire::fire:
ct_20,wayne francois,2022-06-15 23:37:04.648086,7:18,:musical_notes::musical_notes::goblin::goblin::guitar::guitar::guitar:
ct_21,AnnMarie,2022-06-15 23:37:09.158551,7:23,:black_heart:
ct_22,WDR Rockpalast,2022-06-15 23:37:14.913128,7:28,Where in the world are you watching from? :globe_showing_europe_africa::satellite_antenna:
ct_23,Vee3,2022-06-15 23:37:29.125856,7:43,Florida
ct_24,Fawaz Azim,2022-06-15 23:37:35.715257,7:49,Toronto!
ct_25,Carolina Palacios,2022-06-15 23:37:39.443160,7:53,Costa Rica
ct_26,Chris Kepner,2022-06-15 23:37:39.934691,7:53,USA Pennsylvania
ct_27,Gleisson Cardozo,2022-06-15 23:37:40.382474,7:54,Brazil :sign_of_the_horns:
ct_28,SirSupertyp,2022-06-15 23:37:53.077305,8:07,Munich
ct_29,HupnHann,2022-06-15 23:37:54.361539,8:08,germany
ct_30,Lani,2022-06-15 23:37:58.266054,8:12,Brazil
ct_31,evkin,2022-06-15 23:38:02.127762,8:16,"duisburg, germany"
ct_32,Tornado Cósmico,2022-06-15 23:38:12.664680,8:26,"chapineria , madrid, españa"
ct_33,Aldo “The Apache” Raine,2022-06-15 23:38:17.690478,8:31,"Offenbach, germany"
ct_34,Paul Schlachter,2022-06-15 23:38:20.357287,8:34,hollow earth
ct_35,hakashaq,2022-06-15 23:38:22.381420,8:36,Los Angeles 
ct_36,stblkanger,2022-06-15 23:38:33.641400,8:47,Rays On Pinion!!!!
ct_37,TOTAL HEAVY METAL,2022-06-15 23:38:39.150053,8:53,Argentina 🇦🇷
ct_38,Sebastodon,2022-06-15 23:38:48.299960,9:02,te amo Baroness
ct_39,OutbreakOfEvil666,2022-06-15 23:38:57.928088,9:11,Slovenia
ct_40,Lighthouse Photography,2022-06-15 23:39:21.780341,9:35,"Hello everyone - hugs and love from Long Island, NY!"
ct_41,Manuel Solís A.,2022-06-15 23:39:25.233049,9:39,Costa Rica:goodvibes:
ct_42,Alejandro Meza,2022-06-15 23:39:30.564350,9:44,🇲🇽
ct_43,Teppich Opfer,2022-06-15 23:39:30.909839,9:44,Berlin am Start
ct_44,SirSupertyp,2022-06-15 23:39:45.621705,9:59,@stblkanger My favorite Baroness song!
ct_45,Father Fintan Stack,2022-06-15 23:39:51.735982,10:05,Thundera
ct_46,Alejandro Meza,2022-06-15 23:40:32.370242,10:46,💪🏻:skull::beer_mug:
ct_47,stblkanger,2022-06-15 23:40:46.146178,11:00,@SirSupertyp enjoy!!
ct_48,Paul Schlachter,2022-06-15 23:41:50.528745,12:04,Drinking strong beer from the skull?
ct_49,Doomed and Stoned Latinoamerica,2022-06-15 23:42:43.405999,12:57,Vamos Baroness !! 
ct_50,SirSupertyp,2022-06-15 23:43:08.359735,13:22,Thanks! Saw them a week ago live in Munich! What a treat!
ct_51,evkin,2022-06-15 23:44:07.364721,14:21,@ putting a skeleton into a headlock wjile drinking beer
ct_52,Teppich Opfer,2022-06-15 23:44:57.360661,15:11,Gina is fabulous!
ct_53,Vee3,2022-06-15 23:45:24.748122,15:38,They always sound better live 
ct_54,AnnMarie,2022-06-15 23:47:15.513596,17:29,Amazing song 
ct_55,Alejandro Meza,2022-06-15 23:47:16.740302,17:30,Perro temazo
ct_56,TheMullerClan,2022-06-15 23:47:57.995380,18:11,:guitar::musical_note::musical_notes:
ct_57,Álvaro Furtado,2022-06-15 23:49:24.791931,19:38,"Belo Horizonte, Brazil :sign_of_the_horns:"
ct_58,Guitar Floog,2022-06-15 23:52:42.080281,22:56,"Brasília, Brazil"
ct_59,Shillian,2022-06-15 23:58:12.940564,28:26,is this live?
ct_60,Vee3,2022-06-15 23:58:33.952038,28:48,Yes it is live
ct_61,AnnMarie,2022-06-15 23:58:35.283128,28:49,They sound amazing 
ct_62,evkin,2022-06-15 23:58:36.229220,28:50,yes
ct_63,lucalone,2022-06-15 23:58:41.132924,28:55,as live as it gets^
ct_64,lucalone,2022-06-16 00:00:02.225121,30:16,"heute viel besserer sound als beim hard rock festival, liebes rockpalast team !^"
ct_65,Mike Carroll,2022-06-16 00:01:27.167325,31:41,"Saw Baroness at Mystic Festival and they were amazing . Got a pic with John who was casually walking around the festival earlier,stopped for a chat. True gent!!!!"
ct_66,Evandson Morais,2022-06-16 00:02:36.906668,32:50,"Natal, Brasil! "
ct_67,Foxy Foxtrot,2022-06-16 00:02:53.789732,33:07,Awesome :smiling_face_with_sunglasses: 
ct_68,Basilisk,2022-06-16 00:03:13.204890,33:27,sounded good till he started singing.. ouch
ct_69,RIZOMA,2022-06-16 00:03:44.319916,33:58,Gina rocks!!!!
ct_70,Evandson Morais,2022-06-16 00:03:49.163580,34:03,"Essa parceria da Gina com o John é maravilhosa, sintonia demais"
ct_71,hakashaq,2022-06-16 00:04:05.779173,34:19,I learned of these guys through the Two Minutes To Late Night vids
ct_72,NGC_4NDROMEDA,2022-06-16 00:04:10.053266,34:24,brasil:yougotthis:
ct_73,AnnMarie,2022-06-16 00:04:19.873790,34:33,Love that show 
ct_74,Álvaro Furtado,2022-06-16 00:04:19.998921,34:34,Haha Brasil em peso!
ct_75,NGC_4NDROMEDA,2022-06-16 00:05:12.305238,35:26,ainda tem gente aqui que curte musica boa kkk:elbowcough:
ct_76,Mike Carroll,2022-06-16 00:05:29.234859,35:43,Thin Lizzyesque riffs!!!’:thumbs_up::thumbs_up:
ct_77,Vee3,2022-06-16 00:05:38.015076,35:52,"2 mins to late night was awesome, Mutoid man was good on there "
ct_78,Roberto Benavente,2022-06-16 00:06:02.027306,36:16,Gina is the best addition to this band
ct_79,Pedro Monteiro,2022-06-16 00:07:13.678389,37:27,Salve! Haha
ct_80,Gleisson Cardozo,2022-06-16 00:07:48.180527,38:02,Noix!
ct_81,stblkanger,2022-06-16 00:08:08.389928,38:22,swollen
ct_82,hakashaq,2022-06-16 00:08:32.274070,38:46,Mutoid Man shreds 
ct_83,Paul Schlachter,2022-06-16 00:09:08.990110,39:23,That song is AWESOME!
ct_84,NGC_4NDROMEDA,2022-06-16 00:09:45.794152,39:59,:chillwcat::elbowcough::yougotthis:
ct_85,Herbert Hofmann,2022-06-16 00:10:27.771496,40:41,:collision::collision::collision:
ct_86,Vee3,2022-06-16 00:10:49.916912,41:03,:guitar: :elbowcough:
ct_87,MrFlouzy,2022-06-16 00:11:03.069899,41:17,damn Gina
ct_88,Álvaro Furtado,2022-06-16 00:16:06.736055,46:20,Cocainium
ct_89,hakashaq,2022-06-16 00:20:31.202488,50:45,Stephen Brodsky and Gina on Van Halen tune Hot for Teacher was awesome
ct_90,Turbolars,2022-06-16 00:20:43.383651,50:57,"wieder mal eine grandiose Live Performance, danke Rockpalast, danke Baroness "
ct_91,Rafael de Alvarenga Reis,2022-06-16 00:21:45.144207,51:59,"São Bernardo do Campo, SP"
ct_92,Vee3,2022-06-16 00:22:28.994984,52:43,going to see Baroness open up for Killswitch and Lamb of God in Sept
ct_93,AnnMarie,2022-06-16 00:22:44.449131,52:58,Same!
ct_94,Rafael de Alvarenga Reis,2022-06-16 00:22:52.255627,53:06,já tocou Take My Bones Away?
ct_95,Gleisson Cardozo,2022-06-16 00:24:06.017327,54:20,acho que já
ct_96,Rafael de Alvarenga Reis,2022-06-16 00:24:37.007621,54:50,sério? poxa que pena
ct_97,EduardoTob,2022-06-16 00:26:00.853052,56:14,Amazing! 
ct_98,WDR Rockpalast,2022-06-16 00:26:18.554596,56:32,Thank you all for tuning in :sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_99,Teppich Opfer,2022-06-16 00:27:33.015512,57:46,"Super Livestream, danke WDR Rockpalast"
ct_100,Doomed and Stoned Latinoamerica,2022-06-16 00:27:37.808443,57:51,GRACIAS Rockpalast 
ct_101,Jeffrey Vincent,2022-06-16 00:27:54.183504,58:08,Take my Bones Away was 1st you got here late sorry
ct_102,Vee3,2022-06-16 00:28:06.989308,58:20,which I remembered about these livestreams earlier 
ct_103,hakashaq,2022-06-16 00:28:29.282961,58:43,"@ Vee3going to see Baroness open up for Killswitch and Lamb of God in Sept ,,,that sounds like a fun time..."
