comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Franco Norambuena,2022-06-18 22:32:03.021351,-1:02:47,Primero
ct_2,Xanthippe Ogg,2022-06-18 23:14:40.556524,-20:09,Thriller
ct_3,Henrik W,2022-06-18 23:19:40.081815,-15:09,Listening to the Elder concert while waiting.. What an incredible performance.
ct_4,Mark K,2022-06-18 23:20:55.676924,-13:54,"@Henrik W I watched it earlier, bands like this should headline, not tonight, but any other night. "
ct_5,Guilherme Queiroz,2022-06-18 23:21:47.848795,-13:02,I just watch the last song from Elder and it's amazing. Need to watch the entire concert after Fu Manchu.
ct_6,Untold Mizery,2022-06-18 23:24:08.745357,-10:41,get the likes UP!!!!!!!!!!!!
ct_7,Mark K,2022-06-18 23:25:22.348337,-9:27,@Guilherme Queiroz You will enjoy the musical journey. I did. 
ct_8,Guilherme Queiroz,2022-06-18 23:31:17.874225,-3:32,"@Mark K i don't know the band, but the last song makes me remember Los Natas."
ct_9,Franco Norambuena,2022-06-18 23:32:39.268378,-2:10,se me paro la corneta
ct_10,WDR Rockpalast,2022-06-18 23:35:06.574352,0:10,Here we go!!! :sign_of_the_horns::fire::fire:
ct_11,12 Watt Stack,2022-06-18 23:35:25.053306,0:28,FU MANCHU!!
ct_12,Luis Lohse Villablanca,2022-06-18 23:35:35.913372,0:39,yess!
ct_13,defshrimp,2022-06-18 23:35:40.118508,0:43,FU MANCHU!!!!
ct_14,TeGa,2022-06-18 23:35:42.725905,0:46,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_15,Ivan Dxpe,2022-06-18 23:36:25.520664,1:29,luis hazte unas croquetas
ct_16,mrbizzarro,2022-06-18 23:36:29.128602,1:32,Say wooooo for Fu !
ct_17,Iggy,2022-06-18 23:36:33.998282,1:39,Lola te quiero :red_heart:
ct_18,20bstone,2022-06-18 23:36:39.239039,1:43,LET'S GOOOOOO
ct_19,Miss Ewe,2022-06-18 23:36:39.866452,1:43,woooooo
ct_20,Henrik W,2022-06-18 23:36:49.860345,1:53,LET's GOOOOOOOOOO! 
ct_21,♡íris♡,2022-06-18 23:37:01.201947,2:05,Fu Manchu 🙌🏼
ct_22,defshrimp,2022-06-18 23:37:13.170898,2:17,STONER ROCK!!!!:evergreen_tree:
ct_23,Daniel Carlberg,2022-06-18 23:37:38.851654,2:42,:sign_of_the_horns:
ct_24,Taí Chaves,2022-06-18 23:37:42.348067,2:46,skate meus irmãos 
ct_25,mrbizzarro,2022-06-18 23:37:50.650618,2:54,"Now you know why i chose fu, last night. hahahaaaa"
ct_26,Henrik W,2022-06-18 23:38:17.734668,3:21,HELL ON WHEEEEEELS
ct_27,Larissa Coelho,2022-06-18 23:38:30.757928,3:34,Fuzzerama
ct_28,Miss Ewe,2022-06-18 23:38:30.923652,3:34,facts :fire::fire::fire::fire::fire:
ct_29,Herbert Hofmann,2022-06-18 23:38:41.690022,3:45,FUZZ MANCHU
ct_30,Henrik W,2022-06-18 23:39:25.414510,4:29,They need to raise the voice in the mix
ct_31,Taí Chaves,2022-06-18 23:39:55.769624,4:59,heheheh fuzz!! very Fuzz
ct_32,Miss Ewe,2022-06-18 23:40:10.910097,5:14,Dobbie :raised_fist::dashing_away::dashing_away::dashing_away::dashing_away::pirate_flag:
ct_33,mrbizzarro,2022-06-18 23:40:17.837871,5:21,sk8 or die
ct_34,Guilherme Queiroz,2022-06-18 23:40:54.787206,5:58,"Fuzzzzz, more fuzz!!!"
ct_35,Eudes Støner,2022-06-18 23:40:56.102745,6:00,Rock do Deserto da Califórnia.
ct_36,Cuba Pete,2022-06-18 23:41:17.082864,6:20,BOB rock´s
ct_37,mrbizzarro,2022-06-18 23:41:30.483571,6:34,:clapping_hands::dashing_away::dashing_away::dashing_away::dashing_away:
ct_38,Eudes Støner,2022-06-18 23:42:01.422553,7:05,:clinking_beer_mugs:🇧🇷✌🏿:smiling_face_with_horns:🤘🏿
ct_39,Metalrulez,2022-06-18 23:42:07.640816,7:11,uga buga
ct_40,Miss Ewe,2022-06-18 23:42:10.304528,7:14,mrbizzarro :smiling_face_with_sunglasses::sign_of_the_horns::dashing_away::dashing_away::dashing_away::dashing_away:
ct_41,mrbizzarro,2022-06-18 23:42:41.011667,7:44,Glad to turn ewe and dobbie onto the jams
ct_42,Xanthippe Ogg,2022-06-18 23:42:41.831167,7:45,:sign_of_the_horns:
