comment_id,username,comment_date,time_delta_since_upload,message
ct_1,wast3mytim3,2018-08-18 23:46:28.591986,0:45,:sign_of_the_horns:
ct_2,Macceswe,2018-08-18 23:46:47.211307,1:04,HYPE!!
ct_3,Brodiiie,2018-08-18 23:47:05.646009,1:22,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_4,Brodiiie,2018-08-18 23:48:21.713117,2:38,His vocals are better
ct_5,Juanjo Valdez,2018-08-18 23:49:39.475520,3:55,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_6,rebeca rosinha gamer,2018-08-18 23:51:20.875912,5:37,ieeeeeeee
ct_7,rebeca rosinha gamer,2018-08-18 23:51:25.585739,5:41,brasil
ct_8,ZionismoEsFascismo,2018-08-18 23:52:05.781647,6:22,"can't hear the guitars, just the bass"
ct_9,Frank,2018-08-18 23:53:39.082034,7:55,Old Nick
ct_10,WDR Rockpalast,2018-08-18 23:57:49.227773,12:05,@Un Tal Mr. X guitars should be there!
ct_11,Brodiiie,2018-08-18 23:58:23.772983,12:40,Love this song!
ct_12,Артем Темнозорь,2018-08-18 23:58:24.487434,12:41,россия есть ебы
ct_13,WDR Rockpalast,2018-08-18 23:59:19.470746,13:35,:smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns:
ct_14,WDR Rockpalast,2018-08-19 00:00:07.003140,14:23,Where is everyone watching from? :globe_showing_americas::globe_showing_europe_africa::globe_showing_asia_australia:
ct_15,Brodiiie,2018-08-19 00:00:19.065632,14:35,England
ct_16,Luis Lara,2018-08-19 00:00:29.658982,14:46,I0m from Mexico
ct_17,Gianni Santin,2018-08-19 00:00:35.654605,14:51,Italy
ct_18,Brodiiie,2018-08-19 00:00:48.722508,15:05,The chorus sounds so much better live
ct_19,Idalino Oliveira,2018-08-19 00:00:58.212500,15:14,Brazil
ct_20,Vlad “Astronaut” Neuromancer,2018-08-19 00:01:03.548470,15:19,Ukraine
ct_21,Hasan İlhan Üzümcü,2018-08-19 00:01:07.466426,15:22,türkiye
ct_22,Gianni Santin,2018-08-19 00:01:25.237105,15:42,In avere with Adam Seeve
ct_23,Gianni Santin,2018-08-19 00:01:39.512875,15:56,*i agree
ct_24,Carlos No Surname,2018-08-19 00:02:11.657575,16:28,Spain
ct_25,slaytanic wehrmacht,2018-08-19 00:02:29.820017,16:46,Yes bloodbath
ct_26,Gianni Santin,2018-08-19 00:02:51.100047,17:07,It’s a opeth drummer?
ct_27,Brodiiie,2018-08-19 00:03:06.800432,17:23,"yeah, that's Axe"
ct_28,AtmadjaCharp,2018-08-19 00:03:09.979558,17:26,"Can’t hear the guitars too, just the bass. 👋🏻 from Mexico City :slightly_smiling_face:"
ct_29,slaytanic wehrmacht,2018-08-19 00:03:11.284742,17:27,Hello from Norway
ct_30,Gianni Santin,2018-08-19 00:03:41.721634,17:58,A warranty!🤘🏻
ct_31,Drumming Fer Klaus,2018-08-19 00:03:43.246544,18:00,Axenrot !!
ct_32,Lucas Lazzarotto,2018-08-19 00:04:42.166861,18:59,yes
ct_33,Gianni Santin,2018-08-19 00:05:09.457542,19:25,Yeah Adam
ct_34,Martin Kuehner,2018-08-19 00:05:31.781174,19:49,meddl
ct_35,Brodiiie,2018-08-19 00:05:48.503542,20:04,Do you think they'll play a new song tonight
ct_36,Martin Kuehner,2018-08-19 00:06:04.913763,20:21,no
ct_37,Alex,2018-08-19 00:06:17.905549,20:34,Español?
ct_38,WDR Rockpalast,2018-08-19 00:06:30.073640,20:46,It's certainly how they set their guitars on their amps like @Adam Seeve said
ct_39,Gianni Santin,2018-08-19 00:06:34.474558,20:50,I hope to listen eaten
ct_40,gabriel luna,2018-08-19 00:06:59.971190,21:16,new album 26th october right?
ct_41,Brodiiie,2018-08-19 00:07:31.347974,21:47,Love this song
ct_42,Drumming Fer Klaus,2018-08-19 00:08:13.754132,22:30,"Es hat mit dem Ton zu tun, den sie aus der Konsole nehmen, und sie senden an Video"
ct_43,Guilherme Nacif,2018-08-19 00:09:08.094486,23:24,Ta muito bom
ct_44,1bertl,2018-08-19 00:09:24.154276,23:40,the mix is far better then any of their previous recorded live shows to be fair
ct_45,Lucas Lazzarotto,2018-08-19 00:09:24.213572,23:40,melhor supergrupo do metal extremo
ct_46,Metal Music Physical Review ,2018-08-19 00:10:02.961358,24:19,greats!
ct_47,Drumming Fer Klaus,2018-08-19 00:10:10.349715,24:27,"Wenn Sie Kopfhörer benutzen, klingt es viel besser"
ct_48,Drumming Fer Klaus,2018-08-19 00:10:20.044806,24:36,con audifonos suena mejor !!
ct_49,1bertl,2018-08-19 00:10:20.290222,24:36,"however i dont like their new vocalist, sounds like every other DM guy, Akerfeldt / Lindgren were outstanding in every case"
ct_50,Lucas Lazzarotto,2018-08-19 00:10:32.106472,24:49,com certeza
ct_51,Brodiiie,2018-08-19 00:11:03.208086,25:18,I love Axe. Huge inspiration to me
ct_52,Brodiiie,2018-08-19 00:11:50.863357,26:07,Hell yeah
ct_53,P,2018-08-19 00:12:10.251502,26:26,KILL THEM FOR THEY MUST DIEE
ct_54,Drumming Fer Klaus,2018-08-19 00:13:07.991632,27:24,Nick Holmes from Pardise Lost !
ct_55,Ctin Deniel,2018-08-19 00:13:17.509580,27:34,"check devil-the darkest night, right the fuck ater this show, proof that rock n roll isn't necessarily to sound metal ;) ;) 666"
ct_56,gabriel luna,2018-08-19 00:14:03.600235,28:20,This voice is for Gothic/Death metal imo
ct_57,Drew Dowty,2018-08-19 00:15:26.668487,29:43,With how they have their tone the mids are probably maxed out.
ct_58,"Carlos Calegari, PMP",2018-08-19 00:15:40.129512,29:56,BANDA MUITO FODAAAAA
ct_59,P,2018-08-19 00:15:55.859492,30:10,Like fireeeeeee
ct_60,Old Skratch,2018-08-19 00:16:23.156628,30:39,CHAINSAW \m/
ct_61,Brodiiie,2018-08-19 00:17:36.846122,31:53,Lol. Into the minds Of the fucked
ct_62,Air Jordan,2018-08-19 00:17:55.352464,32:12,Would rather listen to DRI
ct_63,GJ_O)))),2018-08-19 00:20:08.372061,34:25,this year billing was just crap
ct_64,Lucas Lazzarotto,2018-08-19 00:21:31.527184,35:48,essa musica é foda
ct_65,P,2018-08-19 00:22:03.157423,36:19,outnumbering the daay
ct_66,Ctin Deniel,2018-08-19 00:24:22.381847,38:38,"I know it's not a good time to ask but I have no choise, they say to keep the Magik expériences for you, but they alzo say do what u want :) what obe should do??"
ct_67,Roynni Fuentes Rodriquez,2018-08-19 00:25:09.135237,39:25,Good man
ct_68,Rodrigo Palmeiras Birigui,2018-08-19 00:26:28.947507,40:45,Cheers from Brazil!
ct_69,FullMetalGuy,2018-08-19 00:26:29.332725,40:45,"Sounds like they've tuned up here. Not sure if I'm fond of that, but the mids are way too high and there's not enough low-end. Speaking of fast tracks, Nick, they need to perform Famine of God's Word."
ct_70,Vengeance_Falls_96,2018-08-19 00:27:35.281841,41:51,Where's Michael
ct_71,jonathas Alexandre,2018-08-19 00:27:45.701233,42:02,BLOODBATH CARALHOOO!!!!!
ct_72,StigmADiabolicuM,2018-08-19 00:27:47.229583,42:03,long gone
ct_73,alrockmetal,2018-08-19 00:28:59.737577,43:16,Nick Fucking Holmes !!!!
ct_74,Wellington Andrade,2018-08-19 00:29:21.548590,43:38,eita porra crl
ct_75,Wellington Andrade,2018-08-19 00:30:21.285582,44:38,vida longa a bloodbath
ct_76,Drumming Fer Klaus,2018-08-19 00:30:27.096633,44:44,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_77,Ctin Deniel,2018-08-19 00:30:32.284059,44:49,where I find the behemoth wacken air2018 full theres only god=dog
ct_78,Sister Of Self Destruction,2018-08-19 00:30:34.978517,44:52,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_79,Guitar Abei,2018-08-19 00:31:51.749673,46:08,DEATH METAL YEAH
ct_80,Guitar Abei,2018-08-19 00:32:03.275099,46:18,COOL
ct_81,Ricardo Bravo Litardo,2018-08-19 00:32:04.841681,46:19,Brutal!
ct_82,Guitar Abei,2018-08-19 00:32:10.776919,46:27,METAL UP YOUR ASS
ct_83,Midnight Anxiety,2018-08-19 00:32:11.400945,46:27,Nick looks like bald Varg.
ct_84,forda esploder,2018-08-19 00:32:19.170728,46:35,needs more blood
ct_85,Guitar Abei,2018-08-19 00:32:38.538587,46:54,FUCKING BLOODBATH AWESOME
ct_86,Guitar Abei,2018-08-19 00:32:50.919450,47:07,KING OF ALL KINGS
ct_87,Wellington Andrade,2018-08-19 00:32:57.657883,47:14,eita porra sai da frente
ct_88,olsonuf,2018-08-19 00:32:59.192305,47:15,YEEEEEEEEEEEEEEEEEES
ct_89,olsonuf,2018-08-19 00:33:26.373044,47:42,:smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns:
ct_90,Drumming Fer Klaus,2018-08-19 00:33:33.321419,47:50,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_91,Wellington Andrade,2018-08-19 00:34:40.129706,48:57,:smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns:
ct_92,Idalino Oliveira,2018-08-19 00:35:14.917183,49:31,Primitive Death Metal
ct_93,olsonuf,2018-08-19 00:35:19.601000,49:36,HAIL BLOODBATH !
ct_94,gabriel luna,2018-08-19 00:35:27.088815,49:43,EATEEEEN!
ct_95,Guitar Abei,2018-08-19 00:35:29.752745,49:46,:face_savoring_food::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns:
ct_96,oninojohn,2018-08-19 00:35:31.708190,49:48,hahaha death metal
ct_97,P,2018-08-19 00:35:32.844894,49:49,SINCE I WAS BORN
ct_98,Lucas Lazzarotto,2018-08-19 00:35:38.307093,49:54,killer
ct_99,P,2018-08-19 00:35:38.966859,49:55,TO SEE MY BODY RIPPED AND TOOOOOORNED
ct_100,Drumming Fer Klaus,2018-08-19 00:35:40.266963,49:56,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_101,olsonuf,2018-08-19 00:35:45.325875,50:01,EATEN IS INSANE LYRICS
ct_102,olsonuf,2018-08-19 00:35:51.167213,50:07,HAS
ct_103,forda esploder,2018-08-19 00:36:01.954834,50:18,is peter tatgren in this band?
ct_104,StigmADiabolicuM,2018-08-19 00:36:11.135169,50:27,not rly
ct_105,Guitar Abei,2018-08-19 00:36:11.328495,50:27,:eject_button:
ct_106,StigmADiabolicuM,2018-08-19 00:36:16.163171,50:32,guest vocal
ct_107,olsonuf,2018-08-19 00:36:23.708625,50:40,:knocked_out_face::knocked_out_face::knocked_out_face:
ct_108,forda esploder,2018-08-19 00:36:42.660153,50:59,"10-4 , I cant read below"
ct_109,Guitar Abei,2018-08-19 00:37:07.671534,51:24,COOL
ct_110,batistabomb,2018-08-19 00:37:26.156170,51:42,"Peter only sang in Nightmares Made Flesh, their most famous album"
ct_111,gabriel luna,2018-08-19 00:37:32.743978,51:49,@Florida Explorer he was in their best album
ct_112,olsonuf,2018-08-19 00:37:59.019198,52:15,YUMMIE YUMMIE
ct_113,ModzTheMantis,2018-08-19 00:38:10.718279,52:27,who is playing bass? it's not Jonas
ct_114,forda esploder,2018-08-19 00:38:49.969681,53:06,"I have Inferior Devoties on cassette tape , that's how old I am"
ct_115,Wellington Andrade,2018-08-19 00:38:50.416179,53:06,wow
ct_116,Kimi Metal,2018-08-19 00:40:06.048218,54:22,"Don't ask after Michael, he is playing flute somewhere. Nick rules!"
ct_117,olsonuf,2018-08-19 00:40:12.399626,54:28,VERY GOOD
ct_118,StigmADiabolicuM,2018-08-19 00:40:15.799468,54:32,:grinning_face:
