comment_id,username,comment_date,time_delta_since_upload,message
ct_1,iron c. Gate,2022-06-05 20:31:55.500163,-56:04,hi
ct_2,iron c. Gate,2022-06-05 20:33:16.040308,-54:44,lol
ct_3,Daniel Luna,2022-06-05 20:36:20.405049,-51:39,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
ct_4,iron c. Gate,2022-06-05 20:36:31.765812,-51:28,:love_you_gesture::love_you_gesture:
ct_5,Sergio Palacios,2022-06-05 20:41:56.072227,-46:03,hi from Argentina 🇦🇷
ct_6,iron c. Gate,2022-06-05 20:42:22.115873,-45:37,german here hi
ct_7,Sergio Palacios,2022-06-05 20:43:22.983053,-44:37,how many time for the ACCEPT show?
ct_8,iron c. Gate,2022-06-05 20:43:44.923113,-44:15,:person_shrugging:
ct_9,Sergio Palacios,2022-06-05 20:47:08.103760,-40:51,what?
ct_10,iron c. Gate,2022-06-05 20:47:28.608987,-40:31,i dont no how long
ct_11,ds ds,2022-06-05 20:48:37.875459,-39:22,Starts in 40 minutes
ct_12,Sergio Palacios,2022-06-05 20:48:41.077156,-39:18,what hour is there?
ct_13,iron c. Gate,2022-06-05 20:49:03.728928,-38:56,in germany 21:48
ct_14,ds ds,2022-06-05 20:50:24.160852,-37:35,Hello from Argentina!
ct_15,Sergio Palacios,2022-06-05 20:51:01.030675,-36:59,hola ds
ct_16,iron c. Gate,2022-06-05 20:52:06.821450,-35:53,my Band is Irongate a German Metal Band
ct_17,Sergio Palacios,2022-06-05 20:52:45.686371,-35:14,21:30 was announced
ct_18,iron c. Gate,2022-06-05 20:53:17.343440,-34:42,yes
ct_19,Sergio Palacios,2022-06-05 20:54:08.200882,-33:51,with wine:wine_glass:
ct_20,Sergio Palacios,2022-06-05 20:55:33.974210,-32:26,mp3 of your band
ct_21,iron c. Gate,2022-06-05 20:56:15.930087,-31:44,here on youtube
ct_22,Sergio Palacios,2022-06-05 20:59:30.265766,-28:29,i di
ct_23,iron c. Gate,2022-06-05 21:01:12.545704,-26:47,my artwork is from pzycho design
ct_24,Rogério Atanásio,2022-06-05 21:04:57.160161,-23:02,🤘🏿
ct_25,iron c. Gate,2022-06-05 21:05:15.256829,-22:44,the artwork cost 200 dollars
ct_26,Long Island official,2022-06-05 21:09:33.040954,-18:27,sargy yes irongate is a metaldream come true.
ct_27,iron c. Gate,2022-06-05 21:10:02.013108,-17:58,he alles klar daniel:smiling_face_with_smiling_eyes::love_you_gesture:
ct_28,Long Island official,2022-06-05 21:10:39.243854,-17:20,Logo alles tutti in der Branche
ct_29,Sergio Palacios,2022-06-05 21:11:23.433666,-16:36,20 minutes
