comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Edu Game player,2018-08-17 18:50:10.215490,6:53,Hail From Brasil!!!
ct_2,fernando abadia,2018-08-17 18:56:48.188786,13:31,a question and the arch enemy live because it's not uploaded?
ct_3,Notes From The Underground,2018-08-17 18:57:26.740435,14:08,I think they are on later
ct_4,fernando abadia,2018-08-17 18:58:05.837858,14:48,ok
ct_5,fernando abadia,2018-08-17 18:58:07.330218,14:50,ty
ct_6,WDR Rockpalast,2018-08-17 18:58:48.524372,15:31,We're going to stream Arch Enemy at :backhand_index_pointing_right: rockpalast.de
ct_7,fernando abadia,2018-08-17 19:00:35.380821,17:18,ty
ct_8,Karin Simon,2018-08-17 19:01:47.794906,18:30,thanks Rockpalast
ct_9,Drumming Fer Klaus,2018-08-17 19:01:52.812855,18:35,My aunt Doro !!!!! yeah !!!
ct_10,Michele Pereira,2018-08-17 19:06:35.329377,23:18,We love you Doro !!! :smiling_face_with_heart_eyes::sign_of_the_horns:
ct_11,PETT3R TEIXEIRA,2018-08-17 19:07:47.379210,24:30,:smiling_face_with_horns::raised_fist:
ct_12,Mikko-Tapio Koskinen,2018-08-17 19:13:01.634367,29:44,Metal Queen
ct_13,Gleyson Peres Toledo,2018-08-17 19:17:00.467450,33:43,Doro :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_14,eMKay rockt,2018-08-17 19:18:31.884887,35:15,Sehr geil! Vielen Dank! :sign_of_the_horns::beaming_face_with_smiling_eyes::sign_of_the_horns:
ct_15,Вл Мирг,2018-08-17 19:21:25.879957,38:08,:smiling_face_with_smiling_eyes:
ct_16,EvilJester,2018-08-17 19:22:49.609253,39:31,@heady1984 forza racer Du auch hier?:sign_of_the_horns::sign_of_the_horns:
ct_17,Александр Вильгельм,2018-08-17 19:24:46.764725,41:29,:sign_of_the_horns:
ct_18,eMKay rockt,2018-08-17 19:26:55.254349,43:38,"Sie ist zwar echt etwas omnipräsent, aber sie weiß immer noch, wie man die Leute begeistert. :sign_of_the_horns::smiling_face_with_sunglasses::sign_of_the_horns:"
ct_19,Stuttgart,2018-08-17 19:27:05.717962,43:48,Meddl
ct_20,Stuttgart,2018-08-17 19:27:43.527573,44:26,Kommt Doro auch zum Schanzenfest?
ct_21,EvilJester,2018-08-17 19:28:06.632986,44:49,das fällt wohl aus
ct_22,eMKay rockt,2018-08-17 19:28:45.309682,45:27,"Ich hoffe, es gibt heute Abend auch AE!!!"
ct_23,WDR Rockpalast,2018-08-17 19:29:23.521324,46:06,"Gibt es, aber aus rechtlichen Gründen nur auf :right_arrow: rockpalast.de"
ct_24,eMKay rockt,2018-08-17 19:29:52.509282,46:35,"Schade, aber läuft. :grinning_face:"
ct_25,eMKay rockt,2018-08-17 19:29:57.204326,46:39,Danke schön!
ct_26,WDR Rockpalast,2018-08-17 19:30:14.822580,46:57,Gerne doch :sign_of_the_horns:
ct_27,KroganCharr,2018-08-17 19:30:42.562850,47:25,Danke für den Stream Rockpalast! \m/
ct_28,eMKay rockt,2018-08-17 19:31:09.558227,47:52,Freue mich drauf. Auf dem WOA haben die brutal abgeliefert.
ct_29,Patrick,2018-08-17 19:32:49.487372,49:32,"ja ich muss sagen ja doro spielt echt auf fast jedem Festival aber sie geht halt echt immer noch gut ab und auch wenn sie viele ""nicht mögen"" hat sie ihre große fanbase ^^"
ct_30,eMKay rockt,2018-08-17 19:37:15.269256,53:58,Definitiv.
ct_31,eMKay rockt,2018-08-17 19:37:27.119961,54:10,Die darf auch zu jedem auf die Bühne. Das find eich so geil.
ct_32,Iron Savior,2018-08-17 19:37:40.944243,54:23,Wie Geil ist das denn Vielen dank
ct_33,Patrick,2018-08-17 19:38:05.149889,54:47,ja die bands lieben sie wirklich und viele haben ja nen gemeinsamen song mit ihr ^^ selbst helge schneider hat nen lied mit ihr auf der neuen platte von ihr haha
ct_34,KroganCharr,2018-08-17 19:38:10.147822,54:53,"Ich denke es sagt schon alles über Doro wie lange sie schon so unglaublich erfolgreich ist. Das geht über Generationen hinweg, ich war noch nichtmal geboren als sie anfing."
ct_35,Warnod,2018-08-17 19:38:28.979651,55:11,@WDR Rockpalast schade dass ihr kein Chat auf eurer Seite habt ^^
ct_36,eMKay rockt,2018-08-17 19:38:47.302004,55:30,Und Doro war echt verdammt weit unten. Und von da hat sie sich GANZ NACH VORNE gekämpft!!!
ct_37,WDR Rockpalast,2018-08-17 19:38:56.286177,55:38,"Wir haben auch Wacken Videos auf rockpalast.de online, aber da waren wir jetzt länger nicht vor Ort. Uns gefällt's hier auch ganz gut :smiling_face_with_horns:"
ct_38,Patrick,2018-08-17 19:39:35.762265,56:17,ja das stimmt sie war sehr tief unten ^^ ihr solltet nächstes jahr auch mal graspop oder andere ausländische metalfestivals übertragen .D
ct_39,eMKay rockt,2018-08-17 19:39:45.759399,56:27,Jetzt bitte keinen besser-schlechter-Scheiß. Jedes Fest hat seinen eigenen Charakter und ist nicht besser oder schlechter...
ct_40,KroganCharr,2018-08-17 19:40:09.135606,56:51,Jedes Fest auf dem die Leute Spaß haben ist geil
ct_41,Patrick,2018-08-17 19:40:32.384719,57:14,@WDR Rockpalast die GEZ gebühren xD ^^
ct_42,Edu Game player,2018-08-17 19:40:38.678366,57:21,DORO COME TO BRASIL PLEASE
ct_43,EvilJester,2018-08-17 19:40:50.081267,57:33,:thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up:
ct_44,Warnod,2018-08-17 19:41:10.452541,57:52,was wird denn in der metal-community so als das highlight des summer breeze 2018 gesehen?
ct_45,KroganCharr,2018-08-17 19:41:55.448473,58:38,@NickFisher Jeweils die Lieblingsband jedes Einzelnen nehme ich an :winking_face:
ct_46,WDR Rockpalast,2018-08-17 19:42:21.424006,59:04,Du meinst wohl den Rundfunkbeitrag :winking_face: Für uns springt da leider nicht gaaaanz so viel raus - aber wir machen das beste draus :flexed_biceps:
ct_47,KroganCharr,2018-08-17 19:43:11.232138,59:54,Dabei gehören Metalfestivals doch zum Bildungsauftrag! ;)
ct_48,Patrick,2018-08-17 19:43:13.848891,59:56,@WDR Rockpalast ja ok damals GEZ ^^ und ja naja wäre cool auch ausländische metal Festivals zu sehen (arte concert gehört ja auch zu ard zdf etc zeigt ja z.b hellfest jedes jahr ^^) rockpalast hat
ct_49,Patrick,2018-08-17 19:43:15.940077,59:58,es auch drauf ^^
ct_50,KroganCharr,2018-08-17 19:44:43.724882,1:01:26,Ja @Zecke Rote wir haben verstanden du findest ihren Akzent witzig
ct_51,WDR Rockpalast,2018-08-17 19:45:10.346048,1:01:52,"Ja, wir wären auch gerne noch mehr on tour :raising_hands:"
ct_52,KroganCharr,2018-08-17 19:46:12.130831,1:02:55,"Es heißt du kannst jetzt aufhören Unsinn zu posten, danke"
ct_53,eMKay rockt,2018-08-17 19:46:12.547714,1:02:55,Danke Rockpalast.
ct_54,eMKay rockt,2018-08-17 19:46:24.850662,1:03:06,jetzt eben auf rp.de wechseln für AE. :grinning_face:
ct_55,guitar storms,2018-08-17 19:47:02.912501,1:03:45,hail metal
ct_56,EvilJester,2018-08-17 19:47:54.657156,1:04:36,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_57,KroganCharr,2018-08-17 19:47:59.714966,1:04:42,"Danke für den Stream Rockpalast, hat Spaß gemacht!"
ct_58,Nordlicht,2018-08-17 19:48:52.065692,1:05:35,Einfach nur geil !
