comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Rubens santos Santos,2022-06-04 18:12:13.902240,-8:11,:sign_of_the_horns::sign_of_the_horns:
ct_2,Christopher Gase,2022-06-04 18:13:41.101134,-6:43,@WDR Rockpalast warum spielen heute Asphyx und nicht Phil Campbell?
ct_3,Metal Tommy “Tommy”,2022-06-04 18:13:55.858522,-6:29,Heavy Metal Breakdown
ct_4,Robert Leonardsson,2022-06-04 18:17:59.095015,-2:25,Grave Digger!!!!!!!!
ct_5,frenchy,2022-06-04 18:18:20.979497,-2:04,Last es krachen :sign_of_the_horns::sign_of_the_horns:
ct_6,Metal Tommy “Tommy”,2022-06-04 18:18:28.914954,-1:56,:Ich denk die spielen um 18:15 Uhr auf wen warten die denn jetzt
ct_7,Urick Lins,2022-06-04 18:18:49.122667,-1:35,Recife-Brazil na área!
ct_8,frenchy,2022-06-04 18:19:32.106835,-0:52,"nach 2jahren Corona ist die Blase bestimmt nervöser, und die haben alle nochmals ne pippibox besucht :partying_face::partying_face:"
ct_9,Metalhead das_ METALHEAD,2022-06-04 18:20:03.288276,-0:21,"Ok ich bin da, die Können Anfangen"
ct_10,Gabriel McPolin,2022-06-04 18:22:09.465863,1:38,:sign_of_the_horns::skull::shield::crossed_swords:GRAVE DIGGER:crossed_swords::shield::skull::sign_of_the_horns:
ct_11,Ado Andriu,2022-06-04 18:23:58.037211,3:27,:love_you_gesture::love_you_gesture::love_you_gesture:
ct_12,VITTORIO PAVAN,2022-06-04 18:24:21.178440,3:50,:love_you_gesture::love_you_gesture::love_you_gesture:
ct_13,Fabiano Gaucho,2022-06-04 18:25:18.643281,4:47,Great!
ct_14,MetalCornerFromTheDepths,2022-06-04 18:25:42.825814,5:11,Great as always! Looking forward to the new album!
ct_15,MetalCornerFromTheDepths,2022-06-04 18:26:53.208619,6:22,"This is also a band without a bad album IMHO, very consistent, also live"
ct_16,Metalhead das_ METALHEAD,2022-06-04 18:28:59.314931,8:28,Man merkt richtig das Chris Bock auf Live hat
ct_17,Gislene Lima Sousa,2022-06-04 18:29:33.311396,9:02,🤟🏻🤘🏻
ct_18,Mara Felicia Scoton,2022-06-04 18:29:42.284889,9:11,🇧🇷:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_19,#PassionItalian🇮🇹,2022-06-04 18:29:42.883062,9:11,Grave Digger :ok_hand::top_arrow::flexed_biceps:
ct_20,Fabiano Gaucho,2022-06-04 18:30:20.266751,9:49,🇧🇷🇧🇷
ct_21,Gislene Lima Sousa,2022-06-04 18:31:53.743040,11:22,🤟🏻🤘🏻🇧🇷🇧🇷
ct_22,Metalhead das_ METALHEAD,2022-06-04 18:31:54.146514,11:23,Teutonischer Metal ist back
ct_23,vogtland-souvenirs Uhlig,2022-06-04 18:32:40.576717,12:09,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_24,MetalCornerFromTheDepths,2022-06-04 18:32:56.777275,12:25,"Live ist back, das ist ja noch viel geiler, habe Tickets für schon 6 Konzerte diesen Sommer..."
ct_25,U. W.,2022-06-04 18:34:08.584579,13:37,der Gesang ist voll daneben :see_no_evil_monkey:
ct_26,Mustis,2022-06-04 18:35:51.764669,15:20,yeahhh 🇧🇷🇧🇷🤘🏾🤘🏾🤘🏾:hammer::hammer:
ct_27,Fabio Tironi Mardones,2022-06-04 18:36:02.283316,15:31,🤘🏻🤘🏻🤘🏻 cheers from Chile
ct_28,Christian Hohbach,2022-06-04 18:36:06.316093,15:35,Gesang?????????????????:face_vomiting:
ct_29,U. W.,2022-06-04 18:36:25.731861,15:54,:face_with_tears_of_joy:
ct_30,MetalCornerFromTheDepths,2022-06-04 18:36:53.413673,16:22,"Man muss ehrlich sagen, dass er Live nie der ""Das klingt wie auf dem Album""-Typ war..."
ct_31,Yuri Lucena,2022-06-04 18:36:55.140615,16:24,🇧🇷🇧🇷🇧🇷
ct_32,Christopher Gase,2022-06-04 18:38:29.331577,17:58,"Der Background Sänger liest den Text vom Blatt ab, sehr professionell 👍🏻"
ct_33,MetalCornerFromTheDepths,2022-06-04 18:39:19.823332,18:48,"Aber anscheinend ist das jetzt so, Gamma Ray haben ja jetzt auch einen zweiten mit an Bord, da Kai es nicht mehr alleine richtig gut schafft..."
ct_34,The Blacker Metal,2022-06-04 18:39:54.504410,19:23,En que país se está dando el Festival?
ct_35,robergott,2022-06-04 18:40:37.051974,20:06,creo que alemania
