comment_id,username,comment_date,time_delta_since_upload,message
ct_1,KALFU 💎,2022-06-05 20:46:17.433584,5:26,:sparkles:🤟🏾:orange_heart::black_heart:✌🏽:sparkles: HELL YEAH
ct_2,ヒロシです,2022-06-05 20:46:27.747067,5:36,🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻
ct_3,German Cuevas,2022-06-05 20:46:39.249411,5:48,vamoooo 
ct_4,zmudakere,2022-06-05 20:47:15.938326,6:24,🤘🏼🤘🏼🤘🏼
ct_5,KALFU 💎,2022-06-05 20:47:43.131012,6:52,:sparkles:🤟🏾:pirate_flag:🤟🏾:sparkles:
ct_6,Tiago Mourão,2022-06-05 20:47:57.932921,7:06,:sign_of_the_horns::expressionless_face:
ct_7,Maximilian Schmidt,2022-06-05 20:48:06.684452,7:15,He jst cant play... stop this solo :grinning_face:
ct_8,Aurelio Caetano Da Silva,2022-06-05 20:50:05.297516,9:14,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:
ct_9,KALFU 💎,2022-06-05 20:50:19.919525,9:28,SODOM :sparkles:🤘🏽:skull:🤘🏽:sparkles::black_heart::sparkles::pirate_flag::sparkles:
ct_10,Roberto Gallingani,2022-06-05 20:50:48.236477,9:57,not so good....
ct_11,Eugene Pribytok,2022-06-05 20:52:07.170292,11:16,Thanks for the opportunity to see you LIVE!!!:television:
ct_12,zmudakere,2022-06-05 20:52:16.990756,11:25,"Well, in general there are four of them now, but I don’t understand this old concert"
