comment_id,username,comment_date,time_delta_since_upload,message
ct_1,WDR Rockpalast,2022-06-18 17:04:12.507485,-6:27,Ready for Psychlona? :tornado:
ct_2,Alfred Förg (FredF59),2022-06-18 17:07:00.044306,-3:39,:thumbs_up:🤘🏻
ct_3,The Jedwardo,2022-06-18 17:07:27.837447,-3:12,"My Brother in law is this the bass player of psychlona, Martyn, great to see the band go so far and wide"
ct_4,WDR Rockpalast,2022-06-18 17:08:11.885629,-2:28,@The Jedwardo cool story! We'll say Hi from you :winking_face: 
ct_5,Davi Crystal,2022-06-18 17:09:13.583186,-1:26,Yes!
ct_6,MARTIN WERTHEIM,2022-06-18 17:19:07.636067,8:21,haben ein paar coole Sachen drauf ... top !
ct_7,AllyRdr,2022-06-18 17:19:44.161295,8:57,@The Jedwardo is that Del Boy tattooed on his leg? :grinning_face:
ct_8,Madmars Motorhead,2022-06-18 17:21:44.425582,10:58,:tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass::tumbler_glass:
ct_9,MARTIN WERTHEIM,2022-06-18 17:30:05.973708,19:19,stringbrains
ct_10,The Jedwardo,2022-06-18 17:31:33.900007,20:47,@AllyRdr yes it is!
ct_11,Art Mooney,2022-06-18 17:32:13.814662,21:27,Rock'n'rock🤘🏿
ct_12,Olaf Mertens,2022-06-18 17:32:45.721493,21:59,wo ist das freak valley?
ct_13,Olaf Mertens,2022-06-18 17:33:56.906158,23:10,tag zusammen!
ct_14,AllyRdr,2022-06-18 17:34:40.729624,23:54,@The Jedwardo that's awesome
ct_15,MARTIN WERTHEIM,2022-06-18 17:34:47.741479,24:01,Raum Siegen oestlich .. im bergischen Wald
ct_16,MARTIN WERTHEIM,2022-06-18 17:41:00.534486,30:14,so die Hoehe von koeln
ct_17,♡íris♡,2022-06-18 17:42:14.904059,31:28,Good sound
ct_18,Regis Robin,2022-06-18 17:44:35.163204,33:49,un des meilleurs groupe du moment stoner/desert :fire::fire::fire::beer_mug:
ct_19,JorgeLui,2022-06-18 17:45:12.547086,34:26,e ao vivo ??
ct_20,♡íris♡,2022-06-18 17:45:56.808892,35:10,Sim
ct_21,MyOne's Multhazam,2022-06-18 17:48:04.307513,37:18,:collision::collision::collision::collision::collision::collision:
ct_22,MARTIN WERTHEIM,2022-06-18 17:48:51.217882,38:05,haette ja geschworen dass das Amis sind .... leider verloren ... MaMaMaMaMade in England ....
ct_23,Dr.Magnus Nyhus Urgent Care Bar and Grill,2022-06-18 17:49:13.312542,38:27,Great show guys!
ct_24,Herbert Hofmann,2022-06-18 17:49:18.484889,38:32,:thumbs_up::thumbs_up::thumbs_up:
ct_25,Regis Robin,2022-06-18 17:50:04.437293,39:18,play it loud :face_with_raised_eyebrow:
ct_26,MARTIN WERTHEIM,2022-06-18 17:50:49.577860,40:03,Regis !!!!
ct_27,Miro Master,2022-06-18 17:51:52.313836,41:06,"wow. cool, dass james hetfield da mitspielt."
ct_28,♡íris♡,2022-06-18 17:53:22.481670,42:36,Bass on fire
ct_29,Olaf Mertens,2022-06-18 17:54:31.929947,43:45,gefällt mir - publikum sieht auch nett aus
ct_30,MARTIN WERTHEIM,2022-06-18 17:54:55.462202,44:09,Ricardo !!!
ct_31,Regis Robin,2022-06-18 17:55:44.285307,44:58,love this band:black_heart::black_heart::black_heart:
