comment_id,username,comment_date,time_delta_since_upload,message
ct_1,Olivier Barasch,2024-06-11 19:12:04.570372,-48:01,:pinched_fingers:
ct_2,Josh Hofer,2024-06-11 19:31:57.097989,-28:09,omg what! hell yes.
ct_3,Ismael Pérez,2024-06-11 20:02:11.763257,0:06,vamooooosss!!!
ct_4,Hopesomo,2024-06-11 20:02:14.510626,0:09,ohh I did not planed for this. thank u arte!
ct_5,SyntMuza,2024-06-11 20:02:19.328194,0:13,HEY
ct_6,slawomir maciejewski,2024-06-11 20:02:38.283391,0:32,when live natura one end parada street zurich
ct_7,Vinicius Salles,2024-06-11 20:02:43.588816,0:38,:head_shaking_vertically::headphone::play_button:
ct_8,Henkjan Olthuis,2024-06-11 20:03:06.136836,1:00,:face-orange-tv-shape:
ct_9,Vinicius Salles,2024-06-11 20:03:24.662357,1:19,:gloves:
ct_10,ARTE Concert,2024-06-11 20:03:25.738921,1:20,@Hopesomo you're welcome 
ct_11,Robert Varner,2024-06-11 20:03:31.733413,1:26,:musical_score::musical_note::musical_notes::musical_note::musical_notes::musical_note::musical_notes:
ct_12,Sushruta Ghosh,2024-06-11 20:03:43.777250,1:38,nils frahm is a master of counterpoint in music. He builds complex and beautiful music through simple elements.
ct_13,Patbrdh,2024-06-11 20:03:50.416211,1:44,nilsss!!!!!!
ct_14,Patbrdh,2024-06-11 20:03:59.658583,1:54,"love you , nilsss!!!"
ct_15,Robert Varner,2024-06-11 20:04:10.290398,2:04,:musical_keyboard::musical_keyboard::musical_keyboard::musical_keyboard::musical_keyboard:
ct_16,Vesna dr.Dread,2024-06-11 20:04:20.458047,2:14,:hand-pink-waving:
ct_17,Hopesomo,2024-06-11 20:04:21.041985,2:15,:face-fuchsia-wide-eyes:
ct_18,The Art of the Sun,2024-06-11 20:04:39.759691,2:34,Nils you are my true inspiration thank you I love you 
ct_19,R. K.,2024-06-11 20:05:41.440162,3:35,i never thought i'd get to see the day when i could watch nils frahm live; this is *fantastic*
ct_20,Emilie Bo,2024-06-11 20:05:42.907128,3:37,Goosebumps 
ct_21,Patbrdh,2024-06-11 20:05:57.523890,3:52,nilsss
