comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@iggycieplinski2082,2022-06-11T12:25:40+00:00,"5 days, 15:16:46",Wow. They sound awesome. EXCELLENT set list! Loved hearing Objection Overruled!
ct_2,@mikejelinek1413,2022-06-11T06:49:29+00:00,"5 days, 9:40:35","If someone asked me what true Heavy Metal is? I would tell them to watch this show! Accept is Heavy Metal, great show!"
ct_3,@charlesjohnson9396,2022-06-11T06:11:02+00:00,"5 days, 9:02:08",I saw Accept in Des Moines in the early 80's along with Ozzie and Motley Crue.  Accept hasn't skipped a beat in all these years!
ct_4,@woojongson5431,2022-06-11T05:36:08+00:00,"5 days, 8:27:14",Salute to Accept!!!
ct_5,@johnj752,2022-06-11T04:51:03+00:00,"5 days, 7:42:09","They are really one of the best heavy metal bands, but they are more good if Peter Baltes is there he play good bass and good back up vocals and his stage performance was amazing,it’s sounds different with out him.hope he will be back soon"
ct_6,@ronylemos4797,2022-06-11T02:59:31+00:00,"5 days, 5:50:37","...""your hevy metal definitions have been successfully updated""...That's why I have a Flying V..."" Restless and wild""... Accept... Cheers from Brazil.🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘"
ct_7,@Ricardo-dz9xf,2022-06-11T02:56:46+00:00,"5 days, 5:47:52",🤘🏻🤘🏻
ct_8,@matiascontreras2106,2022-06-11T01:29:58+00:00,"5 days, 4:21:04",Gracias por tanto metal Accept
ct_9,@thomaspeiker5577,2022-06-10T22:48:22+00:00,"5 days, 1:39:28",Wo ist Udo 🤔
ct_10,@eduardoreal6899,2022-06-10T22:02:37+00:00,"5 days, 0:53:43",lo puedo demostrar
ct_11,@eduardoreal6899,2022-06-10T22:01:24+00:00,"5 days, 0:52:30",pero mucho mejor
ct_12,@eduardoreal6899,2022-06-10T22:00:51+00:00,"5 days, 0:51:57",yo las canto mucho mejor
ct_13,@viniciusv4086,2022-06-10T19:44:01+00:00,"4 days, 22:35:07",Bass????
ct_14,@bonscottgermany,2022-06-10T18:56:50+00:00,"4 days, 21:47:56",Hofmann King of Poser
ct_15,@brunouchoa80,2022-06-10T18:04:55+00:00,"4 days, 20:56:01",Good thing Bruce Willis is still going strong and playing guitar.
ct_16,@JimmyJam184,2022-06-10T17:43:39+00:00,"4 days, 20:34:45",Der Drumsound ist ja mega kacke wie generell die Abmischung. Da hab ich schon viel Besseres von der Band gehört. Oder es ist YouTube.
ct_17,@TheSt1ffy,2022-06-10T16:15:25+00:00,"4 days, 19:06:31",Its not ACCEPT without Udo.
ct_18,@ЕвгенийКарпачев-т9т,2022-06-10T15:57:04+00:00,"4 days, 18:48:10",!!! СПА-СИ-БО !!!
ct_19,@re8746,2022-06-10T15:37:38+00:00,"4 days, 18:28:44","I saw this lineup in San Antonio probably 15 years ago.    The sound was loud, yet crystal clear.    Had no idea  band could be that loud yet sound so good.   The guitar was in your face  yet played note for note."
ct_20,@flajelflajel7760,2022-06-10T07:01:10+00:00,"4 days, 9:52:16",Это НЕ Accept!Без Удо Accept быть не может...
ct_21,@erfn1992,2022-06-10T04:17:21+00:00,"4 days, 7:08:27",In Wolf We Trust 🤘
ct_22,@horaciorocha6778,2022-06-10T00:03:18+00:00,"4 days, 2:54:24",brazil
ct_23,@quadhelix7749,2022-06-09T23:09:40+00:00,"4 days, 2:00:46",Is it Bruce Willis or I am mistaken?
ct_24,@paulopacheco8310,2022-06-09T22:28:54+00:00,"4 days, 1:20:00",00:32 - Zombie Apocalypse (Too Mean To Die)06:19 - Symphony Of Pain (Too Mean To Die)11:01 - Living For Tonite (Metal Heart)14:34 - Restless And Wild (Restless And Wild)19:37 - Overnight Sensation (Too Mean To Die)24:04 - Worlds Colliding (The Rise Of Chaos)30:10 - Objection Overruled (Objektion Overruled)34:21 - Shadow Soldiers (Stalingrad)40:29 - Princess Of The Dawn (Restless And Wild)48:04 - Fast As Shark (Restless And Wild)52:43 - Metal Heart (Metal Heart)59:08 - Teutonic Terror (Blood Of The Nations)1:04:28 - Pandamic (Blood Of The Nations)1:12:05 - Demon's Night (Restless And Wild)1:14:05 - Starlight (Breaker)1:16:50 - Loosers And Winners (Balls To The Wall)1:18:35 - Flash Rockin' Man (Restless And Wild)1:21:15 - Balls To The Wall (Balls To The Wall)1:28:16 - I'm A Rebel (I'm A Rebel) - Oldest Song of this set
ct_25,@EricRPinzonOfficial,2022-06-09T19:29:03+00:00,"3 days, 22:20:09",there is something curious.... Wolf is having someone else play some of his solos? Is he planning a KISS alike retirement plan?........
ct_26,@christianneumann7608,2022-06-09T18:00:25+00:00,"3 days, 20:51:31","Better than ever before. Three Flying Vs on stage, Great. Best musicians in Accept today."
ct_27,@accept8762,2022-06-09T16:25:02+00:00,"3 days, 19:16:08","Моя самая любимая группа. Только с UDO, от оригинального состава остался только wolf."
ct_28,@dwaynejohnson8858,2022-06-09T15:44:02+00:00,"3 days, 18:35:08",Accept always deliver great Heavy Metal 🤘🤘🤘🤘🤘
ct_29,@alexanderandil3423,2022-06-09T14:21:51+00:00,"3 days, 17:12:57",it´s always pleasure to see Bruce Willis on the stage.
ct_30,@yvesrivalan2586,2022-06-09T12:20:17+00:00,"3 days, 15:11:23",Enorme !!!!!
ct_31,@RainersZahnAKAZahnstudioDKM,2022-06-09T11:16:39+00:00,"3 days, 14:07:45","eigentlich ein cooler gig, nur diese kapastrophal runterkomprimierte mp3 qualität..grausam bei jedem anflug an ""höhen"""
ct_32,@СашаКучер-х1ъ,2022-06-09T08:37:06+00:00,"3 days, 11:28:12",🇺🇦🇺🇦🇺🇦🤘🤘🤘🇩🇪
ct_33,@matteh5531,2022-06-09T07:14:04+00:00,"3 days, 10:05:10",Wolfs ego seem to be in the same league as Yngwie Malmsteens ever since Baltes left the group
ct_34,@holymariner1,2022-06-09T03:23:03+00:00,"3 days, 6:14:09","I don´t know much about Accept´s history, what´s up with the three guitars?"
ct_35,@Heavy-Franky,2022-06-09T02:20:24+00:00,"3 days, 5:11:30","JAAA . . .  WAS  ist  mit  dem  ""Sound""  los ?  Wollen  die  vom  WDR  uns  VERARSCHEN ? !DAS  klingt  sooo  grottenschlecht, dass  es  einfach  NICHT  der  Originalsound  sein  kann !"
ct_36,@franciscojaviersahaguncisn2209,2022-06-08T22:53:57+00:00,"3 days, 1:45:03",ES EL CANTANTE ORIGINAL O ESTOY VIENDO A OTRO
ct_37,@furball5543,2022-06-08T22:28:02+00:00,"3 days, 1:19:08","attn paul stanley, this is real no tracks !"
ct_38,@steveclem,2022-06-08T22:04:38+00:00,"3 days, 0:55:44",I still don't see the need for a 3rd guitarist.
