comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@godofdeadlydeath,2022-06-22T13:43:04+00:00,"6 days, 14:48:36",Seb is such a beast on the drums. I could watch that guy play all day.
ct_2,@Wammlor,2022-06-22T11:39:06+00:00,"6 days, 12:44:38",I'm glad I was there. Definitely one of the best shows at the wohle festival. ♥️🍻
ct_3,@andreluiznevessilva7635,2022-06-22T02:22:34+00:00,"6 days, 3:28:06","Que vibe massa esse show. A banda tem uma química foda e a Gina, como sempre, arrebentando!"
ct_4,@mr-chiefton,2022-06-21T23:09:09+00:00,"6 days, 0:14:41",This is a future classic.
ct_5,@puppetmaster8551,2022-06-21T21:03:05+00:00,"5 days, 22:08:37",John and Gina’s vocals always sound so good together on borderlines.
ct_6,@puppetmaster8551,2022-06-21T20:54:23+00:00,"5 days, 21:59:55",Swollen and halo fuckin rules and this performance of it is amazing.
ct_7,@puppetmaster8551,2022-06-21T20:53:47+00:00,"5 days, 21:59:19","Baroness kicks ass, great performance as usual"
ct_8,@mechanik,2022-06-21T10:26:24+00:00,"5 days, 11:31:56",not enough songs from gold & grey
ct_9,@svobodasimon1185,2022-06-20T21:22:08+00:00,"4 days, 22:27:40",and sorry John lost his voice...............it was not like this live this is so bad
ct_10,@svobodasimon1185,2022-06-20T21:20:46+00:00,"4 days, 22:26:18","saw them years ago in berlin. that was something else. great gig. great line up,  this is ok roskich whatever but nothing can compare with BLUE AND RED ALBUMS- i even like green and purple but nothing after that"
ct_11,@svobodasimon1185,2022-06-20T21:17:41+00:00,"4 days, 22:23:13",baroness i know and love are dead and gone since some time
ct_12,@shelliusfidtraus3012,2022-06-20T18:53:14+00:00,"4 days, 19:58:46",Sensacional!!!
ct_13,@kiryanov1,2022-06-20T10:26:05+00:00,"4 days, 11:31:37",Setlist is Gold!
ct_14,@goncaloferreira48,2022-06-19T17:57:38+00:00,"3 days, 19:03:10","Love this band. Not the typical rockstats, just normal people who love to play their music.Thank you very much for the upload."
ct_15,@leeroden7900,2022-06-19T08:23:24+00:00,"3 days, 9:28:56",They're on fire right now. Wish they were playing a show in Sweden that isn't the other side of the country
ct_16,@fernandovazquez7550,2022-06-18T22:58:50+00:00,"3 days, 0:04:22",The hat of the drummer...is a footbal club of Argentina???? C.A.R.P...Club Atlético River Plate????????
ct_17,@DonTheMoron716,2022-06-18T19:47:50+00:00,"2 days, 20:53:22","i have not heard Baroness in a long time. Being a pretty big fan about 15 years ago, they sound excellent here."
