comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@Danny-87,2022-06-11T03:12:11+00:00,"6 days, 6:01:02",Ewige Liebe ❤️🤘🏻
ct_2,@DouglasdJesuss,2022-06-11T00:31:58+00:00,"6 days, 3:20:49","Welcome to The Other Side, we love Blind Guardian"
ct_3,@gildoaraujo2175,2022-06-10T23:02:59+00:00,"6 days, 1:51:50",Blind guardian é foda 🤘😜🇧🇷🇧🇷🇧🇷
ct_4,@rrcmed,2022-06-10T21:06:10+00:00,"5 days, 23:55:01","Hansi precoce na time whats time hehe, mas tem muita moral crédito ! 🤟🏻"
ct_5,@JayTor2112,2022-06-10T19:57:37+00:00,"5 days, 22:46:28",Entire SFB album?  Hopefully they will relase a live recording of it like they did with Imaginations.  In the meantime I'll search for a high quality TV rip to burn on blu-ray.Found it...
ct_6,@stefanoOFsteel,2022-06-09T21:48:09+00:00,"5 days, 0:37:00","Würde gern noch ein paar Daumen nach oben geben. Gibt nur einen. Schade! Danke, für diese Übertragung - für die Fans, die nicht dabei waren! Cool!"
ct_7,@heavymetalthundercyprus4882,2022-06-09T21:32:43+00:00,"5 days, 0:21:34","Yeah!!! This is the setlist that we want, Blind Guardian always must start with the “Into The Storm”.. 🤘🍺"
ct_8,@old_school_death_metal,2022-06-09T20:52:20+00:00,"4 days, 23:41:11",Hansi sollte einfach NICHTS Reden. Was für beschissene und arrogante Ansagen.
ct_9,@bfmpbestfreemusicpromotion1581,2022-06-09T18:53:56+00:00,"4 days, 21:42:47",Damals wie Heute mega gut ❤️🤘🤘🤘
ct_10,@carlosraudez,2022-06-09T18:25:44+00:00,"4 days, 21:14:35",No matter how many years had passed Hansi have a great voice without any doubt
ct_11,@damianocarrara2818,2022-06-09T17:24:55+00:00,"4 days, 20:13:46",Wow! I love hansi voice! So powerful!
ct_12,@erksst_film,2022-06-09T16:42:13+00:00,"4 days, 19:31:04","Sie spielen nur alte Lieder. Ok, verständlich. (Auch wenn nicht alles nach 98 schlecht ist.) Aber irgendwie tun alle so, als ob zwischen Somewhere und Nightfalls nichts gewesen wäre. Hallo? Bin ich der einzige, der Imaginations für das beste Album hält?"
ct_13,@d-ta,2022-06-09T15:43:42+00:00,"4 days, 18:32:33",somewhere完全再現とか俺得以外の何者でもないじゃん。日本でやってよ。
ct_14,@dwaynejohnson8858,2022-06-09T15:38:21+00:00,"4 days, 18:27:12",Blind Guardian show us here how really good they are 🤘🤘🤘😎
ct_15,@MichaelHolmgaard,2022-06-09T15:36:42+00:00,"4 days, 18:25:33","I will never understand why Blind Guardian backing vocals are constantly put to low in the mix?! Seriously, for a band that relies so heavily on them, these vocals need to get pushed a bit more..."
ct_16,@marcellointraina4887,2022-06-09T11:14:12+00:00,"4 days, 14:03:03","Time What Is Time... Epic, the first song I listened to of them ! I bought ""Somewhere Far Beyond"" as their first CD of mine."
ct_17,@flywithseaguls,2022-06-09T11:13:37+00:00,"4 days, 14:02:28",1:15:21 Valhalla! Die Leberwurst! ( was keinesfalls despektierlich gemeint ist! Nur ein zusätzlicher Spaß zu der großartigen Performance!)
ct_18,@MeckiMatschbirne,2022-06-09T04:58:01+00:00,"4 days, 7:46:52","Alter Falter, ist das eine miese Soundqualität. In Zeiten von Breitband-Internet sollte doch eine Tonqualität von mehr als 96 kbsp machbar sein"
ct_19,@flaviosales3485,2022-06-09T03:17:24+00:00,"4 days, 6:06:15","phenomenal presentation, Blind Guardian in its essence, amazing how they evolve with each passing year, they played in full one of the albums that made me love the band ❤️🤘🤘🤘"
ct_20,@AdokingMetal,2022-06-09T01:51:34+00:00,"4 days, 4:40:25",Great perfomance!!!!! BG forever!!!!!!!!!!!!!
ct_21,@celsoferreiradeoliveira8272,2022-06-09T00:02:09+00:00,"4 days, 2:51:00",♥️🎸👏👏👏👏🤘
ct_22,@King_Alistair6723,2022-06-08T23:35:12+00:00,"4 days, 2:24:03","Seen BG live 9 times since 2002. Sadly Hansi got old and it really shows now. Still, I will never complain as they are by favourite band and I have so many fond memories all these years. Cant wait for July 21st to see them for the 10th time. Hope the set list is more varied though."
ct_23,@friedrichvonrothbard,2022-06-08T22:51:46+00:00,"4 days, 1:40:37",GODS as always
ct_24,@prowlers,2022-06-08T19:05:07+00:00,"3 days, 21:53:58",What a great setlist!
ct_25,@tonyme7426,2022-06-08T18:25:28+00:00,"3 days, 21:14:19",Solars....damn that Swede is getting everywhere.
ct_26,@dontanton7775,2022-06-08T17:31:48+00:00,"3 days, 20:20:39","Quest for Tanelorn live. Seriously? I'm blow away. Masterpiece, even with the chant in the middle section!"
ct_27,@sandrokienel8517,2022-06-08T14:56:27+00:00,"3 days, 17:45:18","Hammergeil, 🤘geile Show von Blind Guardian.Die Jungs haben immer noch voll drauf!!!"
ct_28,@guillermomaldonado6277,2022-06-08T14:52:37+00:00,"3 days, 17:41:28",🍺🍺🤘!!
ct_29,@popitzikaliou7,2022-06-08T12:42:28+00:00,"3 days, 15:31:19",Hey thank youuu. Looking forward to see them livee
ct_30,@Aru233,2022-06-08T11:01:59+00:00,"3 days, 13:50:50",This was incredible.
ct_31,@mirkowagner264,2022-06-08T08:19:53+00:00,"3 days, 11:08:44","Schön viel von der ""Somewhere.."",Klasse!"
ct_32,@gorkahalford4739,2022-06-08T03:09:13+00:00,"3 days, 5:58:04",Hansi increscendo cantante formidable sabiendo dosificar
ct_33,@gustavoriosautranfilho2866,2022-06-08T02:49:42+00:00,"3 days, 5:38:33",How the actually fuck he can still sing like this....
ct_34,@carlosluismendez7392,2022-06-08T01:49:28+00:00,"3 days, 4:38:19","Andre had a really good night too, fast fingers and bends with insane precision. I guess he has been practicing during the whole pandemic."
ct_35,@jorgf.6737,2022-06-07T21:13:09+00:00,"3 days, 0:02:00",Einfach nur geil. Somewhere far beyond in voller Länge. Und ich war dabei🤘 Leider waren die Shirts dazu schnell ausverkauft
ct_36,@snakeeyes3308,2022-06-07T20:58:16+00:00,"2 days, 23:47:07",Ach du scheisse wie geil ist das denn bitte??😍😍😍
ct_37,@SebastianGomez-lf8ne,2022-06-07T20:37:36+00:00,"2 days, 23:26:27",Group Of cult
ct_38,@Paul78oliva,2022-06-07T20:22:36+00:00,"2 days, 23:11:27",Hansi's voice Is perfect!❤️
ct_39,@santiagoalfaro7855,2022-06-07T19:01:57+00:00,"2 days, 21:50:48",Es Marcus Siepen  ò Gandalf?
ct_40,@RockNRoli,2022-06-07T18:01:06+00:00,"2 days, 20:49:57","Ich bin kein ""Fan"" von Guardian, verfolge sie eher weniger. Musikalisch gesehn war das meiner Meinung nach nah an der Perfektion. Respekt an die Band. Publikum hat den Rest zu einem tollen Abend beigetragen. Glückwunsch an alle die live dabei waren beim RockHard"
ct_41,@domitoro_ua,2022-06-07T17:23:01+00:00,"2 days, 20:11:52",Marcus looks like Witcher
ct_42,@inasiemers8418,2022-06-07T15:05:41+00:00,"2 days, 17:54:32","Ich war dort und freu mir grad die Gänsepelle auf die Haut, dass das hier so grossartig rüberkommt, wie es live war ❤❤❤"
ct_43,@Jordy666sic,2022-06-07T14:23:00+00:00,"2 days, 17:11:51",1:04:23 is the most aggressive sounding Hansi I've heard yet!
ct_44,@TieLay,2022-06-07T12:39:37+00:00,"2 days, 15:28:28",War ein geiles Festival. Perfekten tag ausgesucht samstag war einfach nur geil. Headliner Blind Guardian mit hansi den ich von Avantasia Book of Shallows kenne war auch perfekt gewählt. Bis nächstes Jahr 🤟
