comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@wrok88,2018-08-20T05:54:17+00:00,"1 day, 7:06:25","Cool performance. Indeed the guitars are too low in the mix on this recording, but the power and intensity of the show does transfer to the screen. New vocalist takes getting used to, but isnt too bad"
ct_2,@dimassetiawansantoso4727,2018-08-20T04:32:43+00:00,"1 day, 5:44:51",in my opinion nick is lack of evil aura & powerless in his voice (compared to akerfeldt)bring back akerfeldt......
ct_3,@CarcPazu,2018-08-20T04:19:26+00:00,"1 day, 5:31:34","Woo, Holmes voice is powerless here. Something is off. Also I don't like the set list, only one song from The Fathomless Mastery. I don't think I'd be happy if I paid to see this."
ct_4,@deathdoomdarkness6124,2018-08-20T04:11:31+00:00,"1 day, 5:23:39",I prefer Nick's work in Paradise Lost over his work in Bloodbath. Love both bands.
ct_5,@EduardoHenrique-vf4id,2018-08-20T02:08:45+00:00,"1 day, 3:20:53","Poar, kd que n tem um festival desse no Brasil.By the way... why Renske isnt playing the bass?"
ct_6,@Gerald_G._Odrauts,2018-08-20T01:54:05+00:00,"1 day, 3:06:13",BLOODBATH IS TRUE DEATH METAL!!!GREETINGS FROM CHILE
ct_7,@a.lopez555,2018-08-20T01:53:29+00:00,"1 day, 3:05:37",Is that jonas Renkse? I think no.
ct_8,@gustenar,2018-08-20T01:28:05+00:00,"1 day, 2:40:13",Too bad I can't hear the guitars
ct_9,@Angel-gz9xk,2018-08-19T23:45:17+00:00,"1 day, 0:57:25",Y el De arch enemy? Para cuando?
ct_10,@Corpsefiend91,2018-08-19T23:30:16+00:00,"1 day, 0:42:24",Thumbs up if you're here for Eaten. 49:19
ct_11,@kainovergard3749,2018-08-19T23:29:39+00:00,"1 day, 0:41:47",... why did they take nick holmes?!?
ct_12,@Nickersons-Theme,2018-08-19T23:16:10+00:00,"1 day, 0:28:18",Vocals weak af
ct_13,@svenstani,2018-08-19T20:42:11+00:00,21:54:19,Going to see them as support along with Hatebreed for Kreator and Dimmu Borgir on their European Apocalypse Tour. I'm more hyped after watching this \m/
ct_14,@scheibengucker_chris,2018-08-19T19:58:50+00:00,21:10:58,The sound of this stream is crap compared to the live sound I witnessed in front of the stage. Heavy as fuck and Nick´s vocals sounded great for the first time. I am absolutely no fan of him doing the vocals in bloodbath but yesterday was great
ct_15,@baalieel,2018-08-19T19:56:39+00:00,21:08:47,I miss when Bloodbath was a death metal band... before this dude joined
ct_16,@Andre-d3t8o,2018-08-19T19:43:59+00:00,20:56:07,Nick sounded amazing this night. Unfortunately on this video it sucks.
ct_17,@luizguilherme2702,2018-08-19T16:19:07+00:00,17:31:15,🤘🏻💀🇧🇷🎸🎼
ct_18,@HeavyMetalGamingHD,2018-08-19T15:52:03+00:00,17:04:11,"Was an awsome final show for summer breeze 2018. After that we left, the festival. The actual live sound was really brutal not like this flat sound in the stream"
ct_19,@geovannyarroyo5141,2018-08-19T15:24:47+00:00,16:36:55,"The mix is ​​a shame, the guitars are too low, only the voice, the bass and the drums are appreciated ..."
ct_20,@Shirouthrash512,2018-08-19T14:42:20+00:00,15:54:28,Martin axenrot!!!
ct_21,@rainerwahnsinn8411,2018-08-19T13:56:33+00:00,15:08:41,Gonna see them with Kreator an Dimmu Borgir🤘
ct_22,@paulbrady6983,2018-08-19T13:39:54+00:00,14:52:02,Nick Holmes > The rest
ct_23,@francoalexanderacuna5560,2018-08-19T13:16:57+00:00,14:29:05,nick master!!!!!!!!!!!
ct_24,@christiankratsch2845,2018-08-19T11:19:50+00:00,12:31:58,"Time for a new shouter?! Sorry, I think Nicks vocals don't fit here. Never heared Cancer of the soul with such wannabe growls... very sad."
ct_25,@herminiomartins8275,2018-08-19T11:11:26+00:00,12:23:34,BEST DEATH METAL ACT OF TODAY.HAIL FROM PORTUGAL.
ct_26,@sploit777,2018-08-19T09:00:28+00:00,10:12:36,+WDR Rockpalast Will you be uploading WASP?
ct_27,@Kali666,2018-08-19T08:19:29+00:00,9:31:37,"I love Niklas Sandin so much. But if I went to see Bloodbath and Jonas Renkse wasn't there, I would definitely cry."
ct_28,@severusblack9462,2018-08-19T07:57:38+00:00,9:09:46,omg the next album is gonna suck with those vocals i hope it comes with an instrumental version wth could'nt you bring mikael or peter back or any death metal vocalist
ct_29,@Zeyfrid,2018-08-19T07:05:03+00:00,8:17:11,Cool dass ihr livestreamt hier auf YT
ct_30,@badred3955,2018-08-19T06:50:11+00:00,8:02:19,1:57  Let The Stillborn Come To6:50  Cry My Name12:04 So You Die15:58 Breeding Death21:18 Anne25:50 Cancer Of The Soul29:50 Like fire35:20 Outnumbering the Day39:30 Bathe In Blood44:46 Mock the Cross49:19 Eaten
ct_31,@sebastiangatica3946,2018-08-19T05:41:58+00:00,6:54:06,mikael and dan swano are bloodbath
ct_32,@RuiArtur,2018-08-19T03:38:29+00:00,4:50:37,"These songs are too slow! Also, where's Jonas?"
ct_33,@SadistikButcher666,2018-08-19T02:57:12+00:00,4:09:20,I'm not convinced of Nick's work in bloodbath
ct_34,@nemular1,2018-08-19T02:25:15+00:00,3:37:23,What is going on with the mix.  It is possible the guitars were unplugged?  Good to see them (Blakkheim)still playing live.
ct_35,@d3nGu3,2018-08-19T01:37:16+00:00,2:49:24,This is more than cringeworthy (Nick Holmes this one goes to you!) and why is a deaf person allowed to be in charge of the mix?
ct_36,@thokol,2018-08-19T01:33:30+00:00,2:45:38,Danke Rockpalast!!! Das war ´ne Glanztat (auch von der Band;)) Ich liebe Bloodbath!!!
ct_37,@peterpain5352,2018-08-19T01:07:17+00:00,2:19:25,sehr geil grüße aus germany/nrw
ct_38,@gonzaloescobar984,2018-08-19T00:44:11+00:00,1:56:19,Bloodbath is the best...hail from Chile 🇨🇱 🤘🤘🤘
ct_39,@joseaugustodossantos6488,2018-08-19T00:34:21+00:00,1:46:29,"""BR""    MUITO, MUITO BOM"""
ct_40,@miketoland8746,2018-08-19T00:19:06+00:00,1:31:14,I can't hear the guitars almost at all. Horrible sound mix for the recording. I can hear the bass and vocals too much and should be bled out with guitar. I love Bloodbath but this did not impress me.
ct_41,@retrorenaissance9497,2018-08-19T00:11:43+00:00,1:23:51,i heard sodomizer wasnt in the band anymore but wheres Jonas?
ct_42,@ronaldmarin1071,2018-08-19T00:05:27+00:00,1:17:35,Bloodbass
ct_43,@sebastianch001,2018-08-18T23:47:55+00:00,1:00:03,We all miss Mikael
