comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@ОлегГливинский,2018-10-06T19:04:58+00:00,"50 days, 18:56:10","Тот самый момент, когда ищешь русские коменты)"
ct_2,@ОлегГливинский,2018-10-06T18:59:13+00:00,"50 days, 18:50:25",Excellent !!!
ct_3,@ozguus,2018-09-20T08:32:14+00:00,"34 days, 8:23:26",Great for reminding myself their performance at Wacken. Setlist was more or less the same. Great band und unfassbar Show!
ct_4,@sheogorath601,2018-08-23T11:38:13+00:00,"6 days, 11:29:25",Er macht eindeutig kein Playback^^ gute Band
ct_5,@bayernundmetal,2018-08-23T06:43:19+00:00,"6 days, 6:34:31","war leider nicht dabei, sehr geiles Konzi , vermisse trotzdem die alten Reiter  a la  ""Unter der Asche""  oder  ""Erhelle Meine Seele""  !!!  wie gesagt dennoch sehr gut  :-)"
ct_6,@TheHerzblut91,2018-08-20T11:23:48+00:00,"3 days, 11:15:00",ich war leider zu voll um sie zu sehn :D :D
ct_7,@DD-cd1jc,2018-08-20T04:55:06+00:00,"3 days, 4:46:18",Für mich das Highlight dieses Jahr am Summer Breeze! Ride on!
ct_8,@АндрейГорх-б5ь,2018-08-20T03:28:48+00:00,"3 days, 3:20:00","Позитив сплошной, класс"
ct_9,@olf9832,2018-08-19T15:10:35+00:00,"2 days, 15:01:47","spitzen liveband,machen bock!"
ct_10,@FadingVitals,2018-08-19T09:29:31+00:00,"2 days, 9:20:43",Sound könnte besser sein
ct_11,@Diegocrue,2018-08-18T02:07:35+00:00,"1 day, 1:58:47","Es war supergeil, einfach nur Klasse."
ct_12,@ACosmicCastaway,2018-08-17T23:43:58+00:00,23:35:10,00:00 Intro01:22 Wir Sind Züruck05:23 Er Wird Schlimmer09:35 Der Adler12:51 Seemann16:04 Reitermania19:55 Auf und Nieder23:14 Drum Solo25:08 Der Rote Reiter30:08 The Fire32:43 Hört Mich An37:17 Friede Sei Mit Dir42:39 Franz Weiss46:41 Herz in Flammen51:49 Wir55:30 ...von Ende der Welt
ct_13,@Projekt0ify,2018-08-17T22:47:37+00:00,22:38:49,Danke für´s hochladen wenn ich schon leider nicht dabei sein kann :-)
