comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@NIKONKRILLE,2018-10-05T19:53:56+00:00,"49 days, 1:53:24","Spritz Nicht, straBe, bundestag"
ct_2,@klausthiel7162,2018-10-04T09:27:43+00:00,"47 days, 15:27:11","metal muss gefährlich,bedrohlich wirken,eben maskulin.doro macht mit ihrem dauergrinsen,,,plüsch sofa metal,,ein gutes beispiel dafür,wie man metal kastriert und  daraus schlager mit verzerrten gitarren.macht.ausserdem ist ihre stimme wenig facettenreich.hat man ihre stimme ,,einmal gehört,,kommt keine überaschung mehr.da zieh ich mir lieber lzzy hale rein.da kommen echte agressionen rüber.und hale hat einen grösseren stimmumfang als doro.ich bin ein fan von old scool metal,aber ihre eintönige stimme macht mich nicht an.und dann dieses ewige,,hey hey,wie in einem bierzelt.so genug gelästert.das muste mal raus.und den einzigen song,den ich saucool von ihr finde,,für immer,,verbrät sie in einem mix,a la james last.alles gute,doro,trotzdem,respect vor ihrer pionierarbeit im frauen metal,"
ct_3,@klausthiel7162,2018-10-04T09:02:20+00:00,"47 days, 15:01:48","sehr unprofesionell,vor publikum einen viel zu langen soundcheck zu machen.ich habe persönlich nix gegen doro.ich kenne sie flüchtig.aber was 84 neu und innovativ klang ist zu einer sammlung von angeranzten klischees geworden.sorry doro.nix für ungut ,mädel,aber du bist nur noch peinlich.und hör doch mal auf,zu lächeln.das passt nicht zur musik.und warlock zugunsten einer solokarriere zu chassen,war keine gute idee.nix für mich.hey hey hey jaaar jaar hey hey,und so weiter.muss nicht sein.alles gute trotzdem.denn solange dich die leute hören wollen,hast du eine existenzberechtigung im classic-metal.is und war nur nix für mich."
ct_4,@klausthiel7162,2018-10-04T08:48:07+00:00,"47 days, 14:47:35","i was never into doro,but i wanted it lol"
ct_5,@ИгорьКарпов-ь3к,2018-10-01T16:01:54+00:00,"44 days, 22:01:22","Немцы в музыке всегда нравились, начиная с пудис,карат,диалог!!!!"
ct_6,@МиланаШиробокова-с1з,2018-09-29T13:19:41+00:00,"42 days, 19:19:09",Я люблю тебя 🤟
ct_7,@jensbaumann6945,2018-09-27T21:04:30+00:00,"41 days, 3:03:58","23:45 peinlichster Gitarrist des jahres.... mindestensAnsonsten, abgeschmackter 0815 metal. Immer etwas peinlich  das ganze. Textlich sowie die posige Darbietung... wie immer halt."
ct_8,@Bargeonin,2018-09-26T02:53:15+00:00,"39 days, 8:52:43",5:25 The old guys in the rain gear smiling as they reminisce in their memories of masturbating to Warlock videos as teens.
ct_9,@vidsforsquids,2018-09-25T10:55:45+00:00,"38 days, 16:55:13",Is Dorothy a guy?!
ct_10,@ОлегЕлисеев-я7б,2018-09-24T20:04:23+00:00,"38 days, 2:03:51",DORO PESCH
ct_11,@alexanderkummerow99,2018-09-24T18:40:52+00:00,"38 days, 0:40:20","Oh yes, sie kann es immer noch...schon in der Jugend Warlock gehört..."
ct_12,@manuelafonsoronaldo5805,2018-09-23T18:23:52+00:00,"37 days, 0:23:20",grande  merda  não vale   nada
ct_13,@ДжеффЖартівник,2018-09-21T18:11:20+00:00,"35 days, 0:10:48",Жаркая тетя.
ct_14,@RictusMetallicus,2018-09-20T20:52:52+00:00,"34 days, 2:52:20",Für immer meine Metal Queen.
ct_15,@СергейГабышев-э2й,2018-09-20T17:52:08+00:00,"33 days, 23:51:36",Пох .. дождь !
