comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@keflexx,2022-06-26T22:57:28+00:00,"8 days, 3:16:42",2:30 best cross stage face communication between nick & mike :D
ct_2,@kerrymuir7147,2022-06-26T19:50:08+00:00,"8 days, 0:09:22",Instrumentation phenomenal!
ct_3,@teppichopfer7294,2022-06-25T01:29:23+00:00,"6 days, 5:48:37",WDR Rockpalast dafür bezahl ich sehr gerne GEZ. Danke für dieses Angebot. Neben Arte das Kulturprogramm im Internet auf Youtube. Einfach danke.
ct_4,@jasonanderson5980,2022-06-24T16:37:39+00:00,"5 days, 20:56:53","Fantastic!!! Beautiful pro-shot live greatness from an amazing band; killer performance (of course), really good sound quality. These guys are special, thx to Rockpalast for capturing this set so well."
ct_5,@TheRichieC78,2022-06-24T14:04:07+00:00,"5 days, 18:23:21","Every boomer: ""Music just isn't good anymore"".Try not listening to your main radio station, my friends"
ct_6,@-joe90,2022-06-23T20:53:23+00:00,"5 days, 1:12:37",Super band !!!  Coole jungs ....desert festival berlin
ct_7,@rub_n5999,2022-06-23T17:20:08+00:00,"4 days, 21:39:22",MeeeeeemamaaaaaElderalv
ct_8,@blutos,2022-06-23T14:21:20+00:00,"4 days, 18:40:34",What a fucking band man
ct_9,@hsrmlo,2022-06-23T14:16:17+00:00,"4 days, 18:35:31",Amazing Risberg's solo starts at 22:13
ct_10,@olivierpautonnier7280,2022-06-23T12:17:30+00:00,"4 days, 16:36:44",Great music......pour vocals
ct_11,@GWOutsider,2022-06-23T08:07:05+00:00,"4 days, 12:26:19",Unreal band
ct_12,@chadissimusrex8038,2022-06-22T20:42:49+00:00,"4 days, 1:02:03",Gänsehaut
ct_13,@omarramirez6114,2022-06-22T17:19:13+00:00,"3 days, 21:38:27",I'm traveling so far I'm so happy
ct_14,@dvader7272,2022-06-22T15:45:09+00:00,"3 days, 20:04:23","When the gods ascended and left us with their gifts, it became the music of Elder."
ct_15,@collectingspacemusic,2022-06-22T14:38:00+00:00,"3 days, 18:57:14",This is awesome. Would love a Delving pro-shot video too.
ct_16,@captaincoconut8967,2022-06-22T13:04:44+00:00,"3 days, 17:23:58",They sound really good 🤘🤘🤘🤘🤘
ct_17,@MickaelSchaack,2022-06-22T12:41:17+00:00,"3 days, 17:00:31",They are the best
ct_18,@VangeliRock,2022-06-22T01:44:21+00:00,"3 days, 6:03:35",Fantastic band.
ct_19,@mattgriffin999,2022-06-21T15:02:38+00:00,"2 days, 19:21:52",Nick displaying his coolness with a Motorpsycho T-shirt.  Sweet!
ct_20,@Tom__Wolf,2022-06-21T13:56:59+00:00,"2 days, 18:16:13",love this band!
ct_21,@hekakain4108,2022-06-20T18:59:22+00:00,"1 day, 23:18:36",The first song was reminiscent of Steve Hillage and a lil bit of Zeppelin with Rush and a whole lot of Elder...great set!
ct_22,@eduardoentr1,2022-06-20T12:08:46+00:00,"1 day, 16:28:00",Absolutely fantastic!
ct_23,@tplambert,2022-06-20T11:38:13+00:00,"1 day, 15:57:27","First time I’ve seen these dudes live on Saturday, each instrument, these guys were absolutely clear, and the songs translate so well in concert. Hopefully I get to see them live again. Absolute highlight of the festival."
ct_24,@christianhohbach4304,2022-06-19T12:39:25+00:00,16:58:39,"Guter Sound,was tatsächlich möglich sein muss,wenn man eine Band hatdie auf allen Ebenen weiß was siemacht.Alle blicken wie mansein Instrument beherrscht.💪👍ELDER.Noch nie gehört.Jetzt habe ich sie mir „heiß“gehalten.Danke"
ct_25,@tommymaier3017,2022-06-19T11:38:45+00:00,15:57:59,ty so much
ct_26,@Tom-gr4em,2022-06-19T09:02:46+00:00,13:22:00,One of the coolest bands out there!
ct_27,@nicgarcia497,2022-06-19T01:55:02+00:00,6:14:16,Halcyon is a freakin monster of a song.
ct_28,@nicgarcia497,2022-06-19T01:44:50+00:00,6:04:04,Always remember to respect your ELDER!
ct_29,@LauroSlayer,2022-06-18T23:15:39+00:00,3:34:53,The Equalization is on point! Great job! Cheers!
ct_30,@emrage78,2022-06-18T22:33:30+00:00,2:52:44,"Wer auch immer diese Konzerte abmischt, good job!"
ct_31,@dogdeath83,2022-06-18T21:57:14+00:00,2:16:28,0:00 Compendium11:23 Blind26:04 Dead Roots Stirring39:12 Halcyon
ct_32,@alexjonatas4779,2022-06-18T20:50:24+00:00,1:09:38,Amo essa banda
ct_33,@rickytomato2055,2022-06-18T19:40:52+00:00,0:00:06,"😌Yaaaaa ! ! ! Cheers🍻🍺 I'll Drink2That ! ! ! ✌❤ 'N Rock&Roll,,,ReallyDigsMySoul 😎"
