comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@robmarten5670,2021-10-03T10:58:03+00:00,"145 days, 15:23:03","This show;e is gayer than gay;e itself;e.,"
ct_2,@cam7762,2021-08-13T08:36:44+00:00,"94 days, 13:01:44","I have to thank whoever uploaded this, because this video made me discover and fall in love with one of the best bands I have ever heard in my life and right now I am very obsessed with Faith No More and other Mike Patton projects. Thanks a lot! <3"
ct_3,@micahmetzker3620,2021-08-06T06:49:24+00:00,"87 days, 11:14:24",be aggressive was fucking amazing
ct_4,@generalhammond461,2021-07-24T19:57:36+00:00,"75 days, 0:22:36",This is wild!!
ct_5,@TheWillitrack,2021-07-24T05:45:11+00:00,"74 days, 10:10:11","Buen español para ""Evidence""...."
ct_6,@fultonvillejetfan8342,2021-07-24T01:34:30+00:00,"74 days, 5:59:30",F yeah!!!!!’
ct_7,@franciscojunior6,2021-07-24T00:41:39+00:00,"74 days, 5:06:39",Muita energia
ct_8,@amandazanatta4315,2021-07-20T10:19:03+00:00,"70 days, 14:44:03",delicioso
ct_9,@deathmetaldouglas69,2021-07-17T12:21:04+00:00,"67 days, 16:46:04","This garbage popped up on my computer whilst I was on the john. I'd love to flush it down that john. Yes Mike Patton is so ""versatile"" (ie: contrived and cheesy) maybe he should be gigging with a cover band in Vegas or something. He ruined Faith No More and Tomahawk recordings could be incredible if the vocals were erased and/or replaced."
ct_10,@Mac-Attack,2021-07-16T20:17:12+00:00,"67 days, 0:42:12",Caffeine is such a great song!
ct_11,@robertodiasdasilvajunior9465,2021-07-15T20:47:39+00:00,"66 days, 1:12:39",Faith no More  e foda mano
ct_12,@jorgecap8367,2021-07-14T17:23:27+00:00,"64 days, 21:48:27",Muito bom 🖖
ct_13,@andresantiago4673,2021-07-14T14:25:57+00:00,"64 days, 18:50:57",I was there. I had an incredible day. Met Farin from FURT and my beloved friend Nessi.It was a great gig.
ct_14,@fabriciosoundman666,2021-07-14T05:53:47+00:00,"64 days, 10:18:47",The first song is absolute garbage
ct_15,@nger3647,2021-07-10T12:47:11+00:00,"60 days, 17:12:11",F n awesome
ct_16,@rubemcosta1623,2021-07-09T00:47:25+00:00,"59 days, 5:12:25",FNM PHENOMENON
ct_17,@norrin_falk,2021-07-07T22:13:15+00:00,"58 days, 2:38:15","Watch the hip thrust when ""I started the joke"" started, our man Pat wasn't wearing underwear. Thought you should know, ok bye."
ct_18,@LJTEAM0723,2021-07-03T17:50:41+00:00,"53 days, 22:15:41","If he spent more time actually singing as we know he can, rather than just yelling obnoxiously itd be a decent show.."
ct_19,@LJTEAM0723,2021-07-03T17:42:13+00:00,"53 days, 22:07:13",I stand with Jim Martin✊
ct_20,@MusicLoversBrasil,2021-07-03T17:40:15+00:00,"53 days, 22:05:15","I wish you guys could upload here the classic concert from 1997, ""The BIzarre Festival transmission"", in HD :)"
ct_21,@eir3apps,2021-07-01T21:56:06+00:00,"52 days, 2:21:06",reunited > careless whisper
