comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@michaelbell75,2022-06-26T22:24:24+00:00,"7 days, 23:29:33","Great band, great set, lame crowd"
ct_2,@frunction,2022-06-26T20:17:40+00:00,"7 days, 21:22:49",Holy shit don't need to move the cameras so much
ct_3,@VangeliRock,2022-06-26T14:56:06+00:00,"7 days, 16:01:15",Need more of this.
ct_4,@mickeytompkins5198,2022-06-25T20:33:01+00:00,"6 days, 21:38:10",INCREDIBLE! Thank you WDR Rockplast for sharing this!!!!!!!
ct_5,@reigersshit,2022-06-25T12:45:18+00:00,"6 days, 13:50:27",Wow this is great!
ct_6,@guylhermef1219,2022-06-24T13:57:47+00:00,"5 days, 15:02:56",19:48 é muito Planet Hemp hahahah!
ct_7,@mattgriffin999,2022-06-23T18:56:18+00:00,"4 days, 20:01:27",Railhammers working OVERTIME!
ct_8,@sdthor27,2022-06-23T17:38:07+00:00,"4 days, 18:43:16",Balch still delivering that fuzzcrunchy riffage.  Absolute badass.
ct_9,@dvader7272,2022-06-22T15:38:56+00:00,"3 days, 16:44:05",Living legends. They never fail to deliver.
ct_10,@javierantoniomantillarodri5856,2022-06-22T06:52:59+00:00,"3 days, 7:58:08",La mata que no te mata. Old stoner
ct_11,@jondubb35,2022-06-21T21:56:20+00:00,"2 days, 23:01:29",What the fuck Bob! He’s playing me signature Gold Top Rev….. 😒 😬
ct_12,@andevil777,2022-06-21T14:58:24+00:00,"2 days, 16:03:33","At this point, these guys have forgotten more riffs than most bands have in their entire catalogs. Legends!"
ct_13,@PushedBox,2022-06-21T08:32:56+00:00,"2 days, 9:38:05",Absolutely legendary band! Pure pleasure to see them live
ct_14,@Saftritze,2022-06-21T07:08:22+00:00,"2 days, 8:13:31","Fuck, please take me back. This was one of the greatest experiences in my life.The sound and the selection of songs were just perfect! 🤘✌"
ct_15,@drumgold23,2022-06-20T21:48:29+00:00,"1 day, 22:53:38",Magnificent. Fu  rule 🤘
ct_16,@babbelicious687,2022-06-20T18:58:22+00:00,"1 day, 20:03:31","I've been playing Tony Hawk Pro Skater 2 myself back in the days, and now 20 years later they totally surprised me by playing the evil eye right in front of my own eyes <3 ... was pure fire being there, awesome festival :)!"
ct_17,@KitchenCraftFood,2022-06-20T17:55:39+00:00,"1 day, 19:00:48",Hell yes!!! Fu is the absolute shit. Love these guys! 🤘
ct_18,@borisbabba3746,2022-06-20T15:15:15+00:00,"1 day, 16:20:24",Hab grade mal den Auftritt von 2014 mit diesem verglichen und die Jungs sind mal gepflegt gealtert. Aber der Sound ist unverändert : Dampfwalze. Grossartig.
ct_19,@johnzavradinos4677,2022-06-20T14:57:17+00:00,"1 day, 16:02:26",Only 3 words are needed to describe this band...Fu Manchu Rocks!!  And they always have.
