comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@pendragus007,2022-06-10T02:08:03+00:00,"5 days, 8:41:41",this guitarist ruins the show...he ruins all the original melodic solos
ct_2,@fei-fun2856,2022-06-09T23:49:17+00:00,"5 days, 6:22:55","What a poor guitar sound and distortion, this dude can’t put a heavy riff on his guitar! Every concert he messes the heavy, tight and heavy distortion that this band use to have live is stage"
ct_3,@hmrvargas,2022-06-09T23:40:33+00:00,"5 days, 6:14:11","El peor guitarrista que ha tenido Grave Digger, es incapaz de replicar ningún solo de Manni Schmidt o Uwe Lullis, este grupo para mi valió la pena hasta Ballads of a Hangman."
ct_4,@gildoaraujo2175,2022-06-09T20:43:25+00:00,"5 days, 3:17:03","Ole ole ole ole , digger digger digger 🇧🇷🇧🇷🇧🇷🤘🤘🤘"
ct_5,@dwaynejohnson8858,2022-06-09T15:46:07+00:00,"4 days, 22:19:45",Grave digger still kicks ass 🤘🤘
ct_6,@ВладимирГраждан-й6м,2022-06-08T10:29:57+00:00,"3 days, 17:03:35",Grave Digger супер! Слушаю давно
ct_7,@thorstentrabold8398,2022-06-07T21:38:46+00:00,"3 days, 4:12:24","Tja, hätte er mal Stefan Arnold behalten 🤔"
ct_8,@christian3519,2022-06-07T15:55:06+00:00,"2 days, 22:28:44",Metal on
ct_9,@Alexandre-RZ,2022-06-07T13:23:25+00:00,"2 days, 19:57:03",Definitely this is not best concert of Grave Digger
ct_10,@felipevaccaro6615,2022-06-06T20:59:40+00:00,"2 days, 3:33:18",no words JUST listen is Grave Digger MOTHAFUCK ... keep the rock stills roll
ct_11,@lelambertini,2022-06-06T19:27:11+00:00,"2 days, 2:00:49",greetings from Brazil 🤘🤘🤘🤘🤘🤘🤘!!!!
ct_12,@danieldenigris6353,2022-06-06T18:24:27+00:00,"2 days, 0:58:05",great and excelent show i from argentina and remenber in doctor jeckyll with rage the best concert in my  life carry on digger we salute you
ct_13,@dermettwok3386,2022-06-06T17:39:47+00:00,"2 days, 0:13:25",wie heißt der Hintergrundsänger?
ct_14,@TheScelestus,2022-06-06T14:49:34+00:00,"1 day, 21:23:12",Setlist:The Dark of the SunExcaliburThe Clans Will Rise AgainLions of the SeaThe Ballad of Mary (Queen of Scots)The Heart of ScotlandHighland FarewellHell Is My PurgatoryRebellion (The Clans Are Marching)Heavy Metal Breakdown
ct_15,@georgpost9793,2022-06-06T11:37:49+00:00,"1 day, 18:11:27","Ist schon ein Paradoxum.Einerseits wird sich beschwert, daß das Line Up immer die gleichen Bands sind und wenn sie was ändern, ist es auch falsch, oder nicht true.Der Grave Digger Auftritt war mächtig geil, inklusive Pipes & Drums und Lippi als Background Sänger.Grave Digger weiß halt, wie es geht eine geile Rock'n'Roll Show abzuliefern.Grosses Kino."
ct_16,@paranormalpuzziez2917,2022-06-06T09:20:48+00:00,"1 day, 15:54:26",Andrew 😍👌✌👊👍
ct_17,@aiorkkk,2022-06-06T07:46:51+00:00,"1 day, 14:20:29","oh boy, i miss Uwe Lulis and Manni Schmidt!!!"
ct_18,@StaticYonder,2022-06-06T00:04:29+00:00,"1 day, 6:38:07",Chris Boltendahl is such an underrated vocalist
ct_19,@AsphaltBoogie,2022-06-05T22:04:35+00:00,"1 day, 4:38:13",I wonder who pays for the inclusion of the bagpipers and kettle drummers?
ct_20,@leandrofrancisco1327,2022-06-05T21:23:26+00:00,"1 day, 3:57:04",Grave Digger é foda!!!! 🤘🎸🇧🇷🤘🎸🇧🇷🤘🎸🇧🇷🤘🎸🇧🇷🤘🎸🇧🇷🤘🎸🇧🇷🤘🎸🇧🇷
ct_21,@Nilsi_,2022-06-05T19:18:50+00:00,"1 day, 1:52:28",playlist bitte
ct_22,@robertoborges1972,2022-06-05T16:17:54+00:00,22:51:32,🤘🤘🤘🤘
ct_23,@stefan5433,2022-06-05T16:13:28+00:00,22:47:06,"War richtig geil,  leider waren wir danach schon so voll,  dass wir abhauen mussten😂"
ct_24,@metalreligion4497,2022-06-05T15:17:57+00:00,21:51:35,Go home the second singer
ct_25,@Eaglesixbikewoman,2022-06-05T13:17:46+00:00,19:51:24,"Danke für die Show, richtig GEIL! Ich stand ganz vorne und es war einfach spektakulär"
ct_26,@PomboGuitar,2022-06-05T10:14:23+00:00,16:48:01,Grave Digger rules!!!!!
ct_27,@alexschmidt5055,2022-06-05T08:43:28+00:00,15:17:06,Die 3 Trommler in der Mitte sind mehr als peinlich. Damit tun sich Grave Digger keinen Gefallen :-D
ct_28,@alexschmidt5055,2022-06-05T08:41:16+00:00,15:14:54,"Finde Grave Digger wirklich geil. Geht Live für mich immer. Aber das Konzept des Rockhard Festivals scheint zunehmend zu sein, dass die Bands entweder uralt sein müssen oder hässlich....oder beides."
ct_29,@deekinscalesinger2806,2022-06-05T07:19:38+00:00,13:53:16,Boomer Metal and it's best..Amazing show
ct_30,@chrisizzy1801,2022-06-05T04:10:41+00:00,10:44:19,"Wow, this sounds horrible!Seems they haven't practiced at all during corona"
ct_31,@manwithoutfear9,2022-06-05T01:05:26+00:00,7:39:04,can't wait to watch this!!! thank you again WDR rockpalast for proving us overseas a chance to see our fave bands sets!
ct_32,@ahornimmobilien,2022-06-05T00:21:43+00:00,6:55:21,sooo viele Trommeln und Dudelsäcke ... das war klasse. Danke
ct_33,@memyselfandi_69,2022-06-04T23:15:32+00:00,5:49:10,"Wäre mal interessant, das Durchschnittsalter der auftretenden Bands auszurechnen. Wo sind denn junge, giftige Bands. Combos alt, Publikum alt...wie ein Mittelalterrollenspiel, verkleiden und alte Zeiten feiern. Liebe Metal, aber einiges ist echt traurig und ich bin selber alt, in den 80ern mit 18 voll im Metal aufgegangen. Will ich 2022 Grave Digger hören? Zum 100 Mal Valhalla bei den Guardians grölen?Ich spür da wenig vom Geist des Metals, Protest, Wut, Texte, die aufs Maul hauen. Wäre ich heute jung, würde ich das milde belächeln, die Alten und ihre Folklore. Vielleicht versteht der ein oder andere was ich meine. Der Sänger von Axxis hat es auf der Bühne selbst gesagt, bald steh ich hier mit meinem Rollator. Dschises gerade die Ballade...die Gesangsleistung...das sollte sich ne junge Band leisten...Bin raus. Natürlich gilt auch hier das Prinzip der Toleranz, soll jeder halten wie es ihm beliebt. Ich fühle eben so."
ct_34,@pedrusklatsch2756,2022-06-04T22:17:19+00:00,4:50:57,Was sich der Ritt hier mal wieder zusammenschrammelt......
ct_35,@Cugel,2022-06-04T21:02:45+00:00,3:36:23,🍺😎🤘
ct_36,@saulcopca1841,2022-06-04T20:58:33+00:00,3:32:11,SET LIST PLEASE
ct_37,@ernoballai3588,2022-06-04T20:45:29+00:00,3:19:07,War mega geil 😁🤘🏻
ct_38,@matheuspaes604,2022-06-04T20:14:03+00:00,2:47:41,wheres the setlist
ct_39,@Matze.1893,2022-06-04T20:07:30+00:00,2:41:08,Wer ist denn der Typ hinter dem Drummer? hat auf jeden Fall ne geile Stimme !
ct_40,@josemariacazorla1152,2022-06-04T19:57:14+00:00,2:30:52,Los putos amos!!! 🤘🏼😜🤘🏼
ct_41,@EURfurPropaganda,2022-06-04T18:58:36+00:00,1:32:14,Wahnsinn
ct_42,@x_Tarra,2022-06-04T18:57:16+00:00,1:30:54,🤘🤘🤘🖤🖤
ct_43,@trabalhocanada,2022-06-04T18:35:27+00:00,1:09:05,Awesome 🤘
ct_44,@alannovatoloza,2022-06-04T17:36:46+00:00,0:10:24,Long Live to the Digger!
ct_45,@javierborgh3650,2022-06-04T17:20:36+00:00,"-1 day, 23:54:14",☠🍺🇦🇷🍺☠
