comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@EricRPinzonOfficial,2022-06-09T17:07:22+00:00,"5 days, 21:59:20",Kragen is an amazing guitarrist!!!!
ct_2,@michaelkennedy5126,2022-06-07T16:17:54+00:00,"3 days, 21:09:52",Kragen is incredible
ct_3,@kaputtnik3901,2022-06-07T15:56:04+00:00,"3 days, 20:48:02",...and Captain Spaulding on drums :)
ct_4,@remorvs75,2022-06-07T15:03:37+00:00,"3 days, 19:55:35",Malo el sonido
ct_5,@DegobaSystem-ox1ig,2022-06-06T23:47:19+00:00,"3 days, 4:39:17",Great production quality on all parts!!....the band sounds tight as ever and the crew that filmed did an awesome job at bringing it to the world!......Oh how that Fine Wine tastes sooooooo SWEEEEEEET!!!!!!!!!!!!!!!!   =)
ct_6,@victorwho744,2022-06-06T17:14:39+00:00,"2 days, 22:06:37",Goblins blade is still a cool song..Old school..
ct_7,@modelbass,2022-06-05T11:40:59+00:00,"1 day, 16:32:57",Awesome show! Only the second time in 3 plus uears they played live! Such an under appreciated band. They have been around since the beginning of Thrash.
ct_8,@mikenoble690,2022-06-05T02:26:12+00:00,"1 day, 7:18:10",Killer Band!!! Heathen Thrash!!!
ct_9,@justicia1966,2022-06-04T22:45:48+00:00,"1 day, 3:37:46",….Awesome blast of a show….sad to see Heathen without Leonid ! (No Vaccination No Europe Shows)
ct_10,@immanuel_cunt7688,2022-06-04T19:36:02+00:00,"1 day, 0:28:00",why the music between the talking...
ct_11,@CurbBlurbs,2022-06-04T15:15:50+00:00,20:07:48,Opiate of the masses is the best song ever!!!
ct_12,@sparrowhawk3216,2022-06-04T11:18:37+00:00,16:10:35,where is Altus?
ct_13,@inutropie9874,2022-06-04T11:17:13+00:00,16:09:11,Kyle Edissi war richtig gut. Noch nie vorher von gehört!
ct_14,@PxExPx,2022-06-03T23:42:21+00:00,4:34:19,onsta el lee . no lee no heathen
ct_15,@RuthlessMetalYT,2022-06-03T22:33:44+00:00,3:25:42,Legends!
ct_16,@ramonschoning5335,2022-06-03T19:18:53+00:00,0:10:51,🤘🤘🤘 Leave no stone unturned
