comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@patrickkelly7258,2022-06-20T00:56:18+00:00,"1 day, 3:42:00",Best festival set I've seen this weekend. Second was Offspring from Hellfest
ct_2,@juliann_mma9419,2022-06-19T23:50:12+00:00,"1 day, 2:35:54","“Heavy is about being pissed off and being a Warlord and laying down… Just like someone that was in battle… If they had an axe and chopped some dude in the head, and it landed, and you had a riff that plays the same way… That’s heavy.” matt pike"
ct_3,@pim2paul,2022-06-19T16:28:34+00:00,19:14:16,so nice
ct_4,@bluesonkel,2022-06-19T14:00:54+00:00,16:46:36,der sound von diesen ÜBERTRIEBEN LAUTEN Amps it hier aber nich schön geworden :( kingt wie ein billiges zerrpedal...
ct_5,@tommymaier3017,2022-06-19T11:32:49+00:00,14:18:31,ty
ct_6,@PraiseIommi,2022-06-19T11:13:08+00:00,13:58:50,"Setlist0:00 Turk5:05 Spewn From the Earth9:07 Madness of an Architect15:45 Speedwolf20:34 Cyclopian Scape25:54 Fertile Green31:25 Rumors of War34:36 Baghdad40:46 Blood From Zion45:55 Fury Whip52:37 Snakes for the DivineAlso, please appreciate The Wizard over the PA at 1:02:37"
ct_7,@tommymaier3017,2022-06-19T11:07:37+00:00,13:53:19,WOW  matt lost some of his hair and his voice lol  HE  still is awesome
ct_8,@tommymaier3017,2022-06-19T10:54:08+00:00,13:39:50,YESSSSSSSSSSSSSSS!!!
ct_9,@martialbessou6743,2022-06-19T10:25:13+00:00,13:10:55,yes .that s the way i wanna rock n roll
ct_10,@jeanchristophemercier2639,2022-06-19T09:48:23+00:00,12:34:05,Love this band
ct_11,@MattTheScholar,2022-06-19T07:58:41+00:00,10:44:23,Awesome! Only two weeks to see them live at Tuska😎
ct_12,@artofinvading,2022-06-19T06:28:01+00:00,9:13:43,matt pike for president…wherever…..
ct_13,@metalprophet7000,2022-06-19T05:57:04+00:00,8:42:46,What a Badass Song do open a show🔥🔥🔥 Turk🙌🏼
ct_14,@woodeye56,2022-06-19T04:05:10+00:00,6:50:52,ROCK-N-Roll !!!!!!
ct_15,@carlosalbertogonzalez1019,2022-06-19T04:04:04+00:00,6:49:46,Epic performance 🤘
ct_16,@yomanb258,2022-06-19T02:01:42+00:00,4:47:24,Coady Willis is such a monster on the drums !
ct_17,@brianvanderveen9536,2022-06-18T23:11:51+00:00,1:57:33,FUUUUUCK YEEEEAAAAAHHHHH!!!!!!! I'VE BEEN WAITING ALL DAY!!!!
ct_18,@footagetogo,2022-06-18T22:27:33+00:00,1:13:15,Mind-blowing performance!🤘
ct_19,@123merino,2022-06-18T22:17:38+00:00,1:03:20,High on fucking fire!
