comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@juergenstrauss5672,2019-05-09T21:42:08+00:00,"264 days, 5:16:50",Finland...in love it....Best sound I've ever heard.......Jonne and your team go on...go on..go on..Finnish..wonderful language...barely learnable ( I'm German)....I attempted it til I grew desperate..but to no avail..........
ct_2,@matzemi76,2019-03-01T15:59:56+00:00,"194 days, 23:34:38",See you in Köln 2019!
ct_3,@niklaszink6435,2019-02-18T05:25:38+00:00,"183 days, 13:00:20",Hopefully this year again
ct_4,@NurmiSinnerfin,2019-02-07T03:24:09+00:00,"172 days, 10:58:51",Seventeen imbeciles put dizlike
ct_5,@elizabethchavero4951,2019-01-30T03:02:33+00:00,"164 days, 10:37:15",Eahhh de lujo!!! Cuando nos tocara verlos aca en mexico!!
ct_6,@AmaSobral92,2019-01-01T03:21:15+00:00,"135 days, 10:55:57",Amo mais que cerveja hahaha 🤘 vida longa Korpiklaani!!!
ct_7,@ДмитрийКуприянов-р6с,2018-11-24T09:21:53+00:00,"97 days, 16:56:35","Мне одному кажется, что солист не вывозит свои песни???!!!"
ct_8,@ajflkafdajskfas6153,2018-10-22T15:55:05+00:00,"64 days, 23:29:47",18:29 that guy on the right looks like the Korpiklaani's singer from the past xD
ct_9,@MrJasonbecker,2018-10-20T01:53:22+00:00,"62 days, 9:28:04",Metsamies!!!!!!
ct_10,@LG-pp3lo,2018-09-18T16:33:02+00:00,"31 days, 0:07:44",The style. The hair. The clothes. This is me lol
ct_11,@liamburke1303,2018-09-15T04:25:33+00:00,"27 days, 12:00:15",Been so cool to see Korpiklaani grow and mature over the years. Always staying true to their roots and making amazing music. Thank you for uploading this video!
ct_12,@karabasbarabas1975,2018-09-12T02:30:07+00:00,"24 days, 10:04:49",Йонне щеки наел)))
ct_13,@israelmadrigalcubillo9214,2018-09-09T23:47:19+00:00,"22 days, 7:22:01","Best band, T-T I love you guys you're the best continue like that I want to see you soon here in Costa Rica lml folk forever lml"
ct_14,@AlexShumm,2018-09-07T19:04:13+00:00,"20 days, 2:38:55",Отличный концерт!
ct_15,@argenisjesusramosfuentes7476,2018-09-06T01:30:10+00:00,"18 days, 9:04:52",Maldito maduro
ct_16,@nickkohlmann,2018-09-03T14:57:37+00:00,"15 days, 22:32:19",The sound was way better in the very front than on this stream to be honest.
ct_17,@NumberSpace,2018-09-02T14:37:50+00:00,"14 days, 22:12:32",Wow. Excellent band live.
ct_18,@gabrielgunnzalez,2018-08-31T20:03:03+00:00,"13 days, 3:37:45",Hahaha at 5:56. I did not just see someone's ball sack getting flicked!
ct_19,@troylandzerep8045,2018-08-31T13:14:30+00:00,"12 days, 20:49:12","Lempo is a pork dish in the philippines made from Pork BellyAnd using it as Pulutan  with Vodka in Inuman Session ""Drinking Session"" makes it awesomeKorpiklannis love singing songs about food"
ct_20,@clebersondepaula81,2018-08-30T01:42:10+00:00,"11 days, 9:16:52",🤘🇧🇷🤘🎸🇧🇷Brasil na área.
ct_21,@alissonmendes7074,2018-08-28T03:14:46+00:00,"9 days, 10:49:28",Adoro o som dessa banda. Muito foda!
ct_22,@EliMD,2018-08-27T23:54:38+00:00,"9 days, 7:29:20","Finally, I've been searching for this performance for 2 weeks now! thanks"
ct_23,@brunolima4117,2018-08-27T18:27:01+00:00,"9 days, 2:01:43",Desafinando demais... Nem parece eles.
ct_24,@Mcdonovan23,2018-08-27T12:50:55+00:00,"8 days, 20:25:37","Seguro que son los mismos?? Madre mía, es obvio que en un directo siempre se escucha ""diferente"", pero es que en varias canciones, si no miro el titulo, pienso que canta mi vecino el borracho. Lo que hacen los arreglos de las discográficas..."
ct_25,@lucashotspur,2018-08-27T01:38:04+00:00,"8 days, 9:12:46",Heidevolk em Novembro eu vou.
